"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(907) 512-","Unknown","Kodiak Island","Kodiak","AK","Alaska","99615","(UTC-9)","57.762816","-152.472876"
"(907) 453-","Landline","Yukon Koyukuk","Grayling","AK","Alaska","99590","(UTC-9)","65.226375","-151.025085"
"(907) 535-","Landline","Juneau","Douglas","AK","Alaska","99824","(UTC-9)","58.276308","-134.397642"
"(907) 304-","Unknown","Nome","Nome","AK","Alaska","99762","(UTC-9)","63.888671","-163.80076"
"(907) 695-","Landline","Bethel","Akiak","AK","Alaska","99552","(UTC-9)","60.314735","-163.118947"
"(907) 796-","Landline","Juneau","Juneau","AK","Alaska","99803","(UTC-9)","58.377074","-134.617383"
"(907) 835-","Landline","Valdez Cordova","Valdez","AK","Alaska","99686","(UTC-9)","61.68557","-145.775152"
"(907) 237-","Landline","Bethel","Tununak","AK","Alaska","99681","(UTC-9)","60.314735","-163.118947"
"(907) 778-","Landline","Southeast Fairbanks","Northway","AK","Alaska","99764","(UTC-9)","63.870552","-144.002648"
"(907) 554-","Landline","Valdez Cordova","Chitina","AK","Alaska","99566","(UTC-9)","61.470966","-144.991027"
"(907) 380-","Landline","Anchorage","Anchorage","AK","Alaska","99599","(UTC-9)","61.187188","-149.880393"
"(907) 766-","Landline","Haines","Haines","AK","Alaska","99827","(UTC-9)","59.312688","-135.681153"
"(907) 787-","Landline","Anchorage","Anchorage","AK","Alaska","99599","(UTC-9)","61.187188","-149.880393"
"(907) 336-","Landline","Anchorage","Anchorage","AK","Alaska","99599","(UTC-9)","61.187188","-149.880393"
"(907) 556-","Landline","Bethel","Quinhagak","AK","Alaska","99655","(UTC-9)","60.314735","-163.118947"
"(907) 569-","Landline","Anchorage","Anchorage","AK","Alaska","99599","(UTC-9)","61.187188","-149.880393"
"(907) 788-","Landline","Skagway Hoonah Angoon","Angoon","AK","Alaska","99820","(UTC-9)","57.500525","-134.585954"
"(907) 895-","Landline","Southeast Fairbanks","Delta Junction","AK","Alaska","99737","(UTC-9)","63.107461","-143.422478"
"(907) 230-","Cell Number","Anchorage","Anchorage","AK","Alaska","99599","(UTC-9)","61.187188","-149.880393"
"(907) 280-","Landline","Anchorage","Anchorage","AK","Alaska","99599","(UTC-9)","61.187188","-149.880393"
"(907) 781-","Landline","Lake And Peninsula","Port Alsworth","AK","Alaska","99653","(UTC-9)","58.268704","-156.648418"
"(907) 785-","Landline","Wrangell Petersburg","Kake","AK","Alaska","99830","(UTC-9)","56.973554","-133.935996"
"(907) 272-","Landline","Anchorage","Anchorage","AK","Alaska","99599","(UTC-9)","61.187188","-149.880393"
"(907) 988-","Cell Number","Wrangell Petersburg","Wrangell","AK","Alaska","99929","(UTC-9)","56.449893","-132.364407"
"(907) 683-","Landline","Denali","Healy","AK","Alaska","99743","(UTC-9)","63.543571","-149.986676"
"(907) 854-","Cell Number","Anchorage","Eagle River","AK","Alaska","99577","(UTC-9)","61.303131","-149.424518"
"(907) 574-","Unknown","Yukon Koyukuk","Nikolai","AK","Alaska","99691","(UTC-9)","65.226375","-151.025085"
"(907) 220-","Unknown","Ketchikan Gateway","Ketchikan","AK","Alaska","99901","(UTC-9)","55.400674","-131.67409"
"(907) 839-","Landline","Aleutians West","Atka","AK","Alaska","99547","(UTC-9)","54.24018","-176.787412"
"(907) 822-","Landline","Valdez Cordova","Glennallen","AK","Alaska","99588","(UTC-9)","61.470966","-144.991027"
"(907) 444-","Cell Number","Anchorage","Anchorage","AK","Alaska","99599","(UTC-9)","61.187188","-149.880393"
"(907) 587-","Landline","Yukon Koyukuk","Arctic Village","AK","Alaska","99722","(UTC-9)","65.226375","-151.025085"
"(907) 226-","Landline","Kenai Peninsula","Homer","AK","Alaska","99603","(UTC-9)","60.056453","-151.362422"
"(907) 876-","Landline","Southeast Fairbanks","Delta Junction","AK","Alaska","99737","(UTC-9)","63.107461","-143.422478"
"(907) 948-","Landline","Northwest Arctic","Kobuk","AK","Alaska","99751","(UTC-9)","66.868442","-159.843924"
"(907) 779-","Landline","Nome","White Mountain","AK","Alaska","99784","(UTC-9)","64.755604","-165.672344"
"(907) 768-","Landline","Denali","Cantwell","AK","Alaska","99729","(UTC-9)","63.543571","-149.986676"
"(907) 714-","Landline","Kenai Peninsula","Soldotna","AK","Alaska","99669","(UTC-9)","60.110034","-151.247935"
"(907) 843-","Unknown","Dillingham","Dillingham","AK","Alaska","99576","(UTC-9)","59.040181","-158.523138"
"(907) 722-","Landline","Yukon Koyukuk","Hughes","AK","Alaska","99745","(UTC-9)","65.226375","-151.025085"
"(907) 757-","Landline","Bethel","Kwethluk","AK","Alaska","99621","(UTC-9)","60.314735","-163.118947"
"(907) 945-","Landline","Skagway Hoonah Angoon","Hoonah","AK","Alaska","99829","(UTC-9)","58.097655","-135.431561"
"(907) 557-","Landline","Bethel","Kwigillingok","AK","Alaska","99622","(UTC-9)","60.314735","-163.118947"
"(907) 653-","Landline","Kenai Peninsula","Hope","AK","Alaska","99605","(UTC-9)","60.036583","-151.655567"
"(907) 479-","Landline","Fairbanks North Star","Fairbanks","AK","Alaska","99790","(UTC-9)","64.856055","-146.27598"
"(907) 363-","Landline","Northwest Arctic","Deering","AK","Alaska","99736","(UTC-9)","66.868442","-159.843924"
"(907) 498-","Landline","Wade Hampton","Alakanuk","AK","Alaska","99554","(UTC-9)","62.117231","-163.237636"
