"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(256) 674-","Cell Number","De Kalb","Valley Head","AL","Alabama","35989","Central","34.4879","-85.689133"
"(251) 631-","Landline","Mobile","Mobile","AL","Alabama","36602","Central","30.692389","-88.046698"
"(256) 573-","Landline","Lawrence","Town Creek","AL","Alabama","35672","Central","34.633251","-87.418659"
"(334) 866-","Unknown","Elmore","Eclectic","AL","Alabama","36024","Central","32.645178","-86.036529"
"(256) 834-","Landline","Coosa","Goodwater","AL","Alabama","35072","Central","33.058725","-86.079106"
"(256) 987-","Unknown","Madison","Meridianville","AL","Alabama","35759","Central","34.88186","-86.555622"
"(256) 848-","Landline","Calhoun","Anniston","AL","Alabama","36204","Central","33.762195","-85.837828"
"(256) 401-","Landline","Talladega","Sylacauga","AL","Alabama","35151","Central","33.175552","-86.357359"
"(334) 574-","Unknown","Covington","Florala","AL","Alabama","36442","Central","31.019653","-86.329568"
"(205) 913-","Cell Number","Jefferson","Birmingham","AL","Alabama","35234","Central","33.513505","-86.83244"
"(205) 671-","Landline","Shelby","Columbiana","AL","Alabama","35051","Central","33.232849","-86.554849"
"(205) 744-","Landline","Jefferson","Bessemer","AL","Alabama","35023","Central","33.478989","-86.944763"
"(251) 216-","Landline","Conecuh","Evergreen","AL","Alabama","36401","Central","31.489241","-87.052004"
"(256) 561-","Landline","Etowah","Boaz","AL","Alabama","35957","Central","34.280737","-86.229092"
"(334) 660-","Unknown","Dale","Ariton","AL","Alabama","36311","Central","31.455485","-85.633907"
"(334) 281-","Landline","Montgomery","Montgomery","AL","Alabama","36191","Central","32.233377","-86.208528"
"(205) 788-","Landline","Jefferson","Birmingham","AL","Alabama","35234","Central","33.513505","-86.83244"
"(256) 822-","Unknown","Morgan","Decatur","AL","Alabama","35603","Central","34.53832","-86.96556"
"(256) 429-","Landline","Madison","Huntsville","AL","Alabama","35899","Central","34.733898","-86.645592"
"(205) 306-","Unknown","Jefferson","Birmingham","AL","Alabama","35234","Central","33.513505","-86.83244"
"(251) 827-","Landline","Washington","Chatom","AL","Alabama","36518","Central","31.436682","-88.245363"
"(205) 628-","Landline","Shelby","Calera","AL","Alabama","35040","Central","33.138832","-86.725315"
"(205) 474-","Cell Number","Choctaw","Butler","AL","Alabama","36904","Central","32.115939","-88.273598"
"(205) 396-","Landline","Jefferson","Birmingham","AL","Alabama","35234","Central","33.513505","-86.83244"
"(205) 759-","Landline","Tuscaloosa","Tuscaloosa","AL","Alabama","35485","Central","33.306606","-87.453224"
"(205) 668-","Landline","Shelby","Calera","AL","Alabama","35040","Central","33.138832","-86.725315"
"(334) 983-","Landline","Dale","Midland City","AL","Alabama","36350","Central","31.33494","-85.511331"
"(251) 690-","Landline","Mobile","Mobile","AL","Alabama","36602","Central","30.692389","-88.046698"
"(256) 325-","Landline","Madison","Madison","AL","Alabama","35758","Central","34.710815","-86.742478"
"(334) 530-","Unknown","Montgomery","Montgomery","AL","Alabama","36191","Central","32.233377","-86.208528"
"(256) 466-","Cell Number","Morgan","Decatur","AL","Alabama","35603","Central","34.53832","-86.96556"
"(334) 732-","Landline","Russell","Phenix City","AL","Alabama","36867","Central","32.375318","-85.203923"
"(205) 658-","Landline","Pickens","Ethelsville","AL","Alabama","35461","Central","33.413277","-88.209276"
"(205) 300-","Cell Number","Walker","Jasper","AL","Alabama","35504","Central","33.818309","-87.235474"
"(334) 560-","Cell Number","Chambers","Phenix City","AL","Alabama","36867","Central","32.375318","-85.203923"
"(256) 818-","Unknown","Jackson","Estillfork","AL","Alabama","35745","Central","34.925315","-86.190432"
"(205) 527-","Cell Number","Jefferson","Birmingham","AL","Alabama","35234","Central","33.513505","-86.83244"
"(205) 594-","Landline","Saint Clair","Ashville","AL","Alabama","35953","Central","33.785173","-86.216884"
"(205) 539-","Unknown","Marion","Brilliant","AL","Alabama","35548","Central","34.038126","-87.75667"
"(334) 419-","Cell Number","Dallas","Selma","AL","Alabama","36701","Central","32.43372","-87.055532"
"(256) 617-","Cell Number","Madison","Madison","AL","Alabama","35758","Central","34.710815","-86.742478"
"(251) 727-","Unknown","Escambia","Brewton","AL","Alabama","36427","Central","31.091784","-87.26404"
"(334) 564-","Unknown","Clarke","Thomasville","AL","Alabama","36762","Central","31.940191","-88.00336"
"(205) 372-","Landline","Greene","Eutaw","AL","Alabama","35462","Central","32.836298","-87.893016"
"(205) 471-","Cell Number","Walker","Jasper","AL","Alabama","35504","Central","33.818309","-87.235474"
"(256) 496-","Cell Number","Tallapoosa","Alexander City","AL","Alabama","35011","Central","32.990191","-85.958001"
"(334) 552-","Cell Number","Macon","Tuskegee","AL","Alabama","36083","Central","32.372144","-85.66671"
"(256) 610-","Cell Number","Randolph","Wedowee","AL","Alabama","36278","Central","33.318053","-85.498377"
"(334) 358-","Landline","Autauga","Prattville","AL","Alabama","36066","Central","32.50919","-86.440879"
"(256) 456-","Landline","Etowah","Gadsden","AL","Alabama","35902","Central","33.984062","-85.803434"
"(334) 648-","Unknown","Houston","Dothan","AL","Alabama","36305","Central","31.219697","-85.4828"
"(256) 460-","Landline","Franklin","Russellville","AL","Alabama","35654","Central","34.46752","-87.647762"
