"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(870) 364-","Landline","Ashley","Crossett","AR","Arkansas","71635","Central","33.180855","-91.806256"
"(501) 687-","Landline","Pulaski","Little Rock","AR","Arkansas","72217","Central","34.830158","-92.170174"
"(870) 725-","Landline","Union","Smackover","AR","Arkansas","71762","Central","33.194725","-92.523809"
"(479) 831-","Cell Number","Sebastian","Fort Smith","AR","Arkansas","72901","Central","35.231245","-94.339412"
"(501) 686-","Landline","Pulaski","Little Rock","AR","Arkansas","72217","Central","34.830158","-92.170174"
"(870) 905-","Landline","Montgomery","Mount Ida","AR","Arkansas","71957","Central","34.550661","-93.585206"
"(870) 652-","Landline","Stone","Pleasant Grove","AR","Arkansas","72567","Central","35.91896","-92.127207"
"(870) 683-","Landline","Miller","Garland City","AR","Arkansas","71839","Central","33.25024","-93.612966"
"(870) 815-","Cell Number","Mississippi","Osceola","AR","Arkansas","72370","Central","35.646832","-90.094653"
"(501) 397-","Landline","Jefferson","Redfield","AR","Arkansas","72132","Central","34.436424","-92.150356"
"(870) 892-","Landline","Randolph","Pocahontas","AR","Arkansas","72455","Central","36.324042","-91.084748"
"(870) 266-","Landline","Sharp","Sidney","AR","Arkansas","72577","Central","36.066371","-91.64203"
"(870) 895-","Landline","Fulton","Salem","AR","Arkansas","72576","Central","36.425836","-91.699502"
"(870) 224-","Landline","Drew","Monticello","AR","Arkansas","71656","Central","33.590601","-91.732829"
"(479) 460-","Landline","Washington","Springdale","AR","Arkansas","72765","Central","36.172541","-94.153512"
"(870) 662-","Unknown","Lee","Marianna","AR","Arkansas","72360","Central","34.768479","-90.783138"
"(479) 435-","Cell Number","Washington","Fayetteville","AR","Arkansas","72702","Central","35.99403","-94.219977"
"(870) 934-","Landline","Craighead","Jonesboro","AR","Arkansas","72401","Central","35.835847","-90.623071"
"(479) 820-","Landline","Washington","Springdale","AR","Arkansas","72765","Central","36.172541","-94.153512"
"(479) 222-","Unknown","Sebastian","Fort Smith","AR","Arkansas","72901","Central","35.231245","-94.339412"
"(870) 508-","Landline","Baxter","Mountain Home","AR","Arkansas","72654","Central","36.23638","-92.372635"
"(479) 243-","Landline","Polk","Mena","AR","Arkansas","71953","Central","34.503699","-94.194756"
"(479) 484-","Landline","Sebastian","Fort Smith","AR","Arkansas","72901","Central","35.231245","-94.339412"
"(479) 597-","Cell Number","Sebastian","Greenwood","AR","Arkansas","72936","Central","35.181209","-94.206011"
"(870) 624-","Landline","Jackson","Tuckerman","AR","Arkansas","72473","Central","35.71528","-91.173296"
"(870) 483-","Landline","Poinsett","Trumann","AR","Arkansas","72472","Central","35.588215","-90.561977"
"(870) 379-","Landline","Pike","Delight","AR","Arkansas","71940","Central","34.146678","-93.653733"
