"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(684) 633-","Landline","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
"(684) 258-","Cell Number","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
"(684) 770-","Unknown","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
"(684) 655-","Landline","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
"(684) 252-","Cell Number","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
"(684) 677-","Landline","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
"(684) 688-","Landline","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
"(684) 254-","Unknown","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
"(684) 691-","Landline","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
"(684) 731-","Landline","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
"(684) 733-","Cell Number","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
"(684) 699-","Landline","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
"(684) 256-","Unknown","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
"(684) 622-","Landline","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
"(684) 644-","Landline","American Samoa","Pago Pago","AS","American Samoa","96799","(UTC-11)","-7.209975","-170.7716"
