"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(408) 754-","Landline","Santa Clara","San Jose","CA","California","95106","Pacific","37.189396","-121.705327"
"(408) 930-","Cell Number","Santa Clara","San Jose","CA","California","95106","Pacific","37.189396","-121.705327"
"(909) 291-","Landline","San Bernardino","Upland","CA","California","91785","Pacific","34.839964","-115.967051"
"(661) 220-","Cell Number","Los Angeles","Lancaster","CA","California","93584","Pacific","33.786594","-118.298662"
"(323) 659-","Cell Number","Los Angeles","Los Angeles","CA","California","90031","Pacific","33.786594","-118.298662"
"(707) 219-","Landline","Humboldt","Garberville","CA","California","95542","Pacific","40.65136","-123.862815"
"(760) 493-","Cell Number","San Bernardino","Twentynine Palms","CA","California","92277","Pacific","34.234411","-116.235073"
"(925) 788-","Cell Number","Contra Costa","Walnut Creek","CA","California","94597","Pacific","37.777208","-121.955399"
"(530) 268-","Landline","Placer","Meadow Vista","CA","California","95722","Pacific","39.001448","-121.034843"
"(650) 273-","Landline","San Mateo","San Bruno","CA","California","94066","Pacific","37.623159","-122.436034"
"(805) 780-","Cell Number","San Luis Obispo","San Luis Obispo","CA","California","93401","Pacific","35.265573","-120.62122"
"(323) 669-","Landline","Los Angeles","Los Angeles","CA","California","90031","Pacific","33.786594","-118.298662"
"(714) 433-","Landline","Orange","Santa Ana","CA","California","92711","Pacific","33.640302","-117.769442"
"(510) 533-","Landline","Alameda","Oakland","CA","California","94624","Pacific","37.680181","-121.921498"
"(760) 979-","Unknown","San Bernardino","Barstow","CA","California","92312","Pacific","34.201638","-116.906215"
"(650) 722-","Cell Number","San Mateo","Redwood City","CA","California","94064","Pacific","37.381144","-122.334825"
"(858) 603-","Cell Number","San Diego","San Diego","CA","California","92121","Pacific","32.90391","-117.207828"
"(323) 517-","Landline","Los Angeles","Los Angeles","CA","California","90031","Pacific","33.786594","-118.298662"
"(661) 873-","Landline","Kern","Bakersfield","CA","California","93380","Pacific","35.294405","-118.905173"
"(805) 248-","Unknown","Ventura","Oxnard","CA","California","93032","Pacific","34.032383","-119.1343"
"(925) 953-","Landline","Contra Costa","Walnut Creek","CA","California","94597","Pacific","37.777208","-121.955399"
"(310) 273-","Landline","Los Angeles","Beverly Hills","CA","California","90211","Pacific","33.786594","-118.298662"
"(707) 435-","Landline","Solano","Fairfield","CA","California","94533","Pacific","38.278428","-122.020276"
"(408) 497-","Cell Number","Santa Clara","San Jose","CA","California","95106","Pacific","37.189396","-121.705327"
"(323) 395-","Landline","Los Angeles","Los Angeles","CA","California","90031","Pacific","33.786594","-118.298662"
"(916) 927-","Landline","Sacramento","Sacramento","CA","California","95853","Pacific","38.377411","-121.444429"
"(805) 603-","Landline","Ventura","Camarillo","CA","California","93012","Pacific","34.204429","-118.974355"
"(818) 957-","Landline","Los Angeles","La Crescenta","CA","California","91214","Pacific","33.786594","-118.298662"
"(760) 987-","Cell Number","San Bernardino","Victorville","CA","California","92393","Pacific","34.839964","-115.967051"
"(909) 382-","Landline","San Bernardino","San Bernardino","CA","California","92413","Pacific","34.839964","-115.967051"
"(310) 878-","Landline","Los Angeles","Gardena","CA","California","90247","Pacific","33.888315","-118.295256"
"(951) 360-","Landline","Riverside","Mira Loma","CA","California","91752","Pacific","33.752886","-116.055617"
"(209) 239-","Landline","San Joaquin","Manteca","CA","California","95337","Pacific","37.743327","-121.227351"
"(916) 728-","Landline","Placer","Roseville","CA","California","95747","Pacific","38.779875","-121.335559"
"(925) 335-","Landline","Contra Costa","Martinez","CA","California","94553","Pacific","37.986421","-122.134976"
"(323) 285-","Landline","Los Angeles","Los Angeles","CA","California","90031","Pacific","33.786594","-118.298662"
"(949) 280-","Cell Number","Orange","Laguna Beach","CA","California","92652","Pacific","33.640302","-117.769442"
"(408) 469-","Landline","Santa Clara","Sunnyvale","CA","California","94088","Pacific","37.189396","-121.705327"
"(805) 339-","Landline","Ventura","Ventura","CA","California","93003","Pacific","34.230353","-119.221299"
"(408) 385-","Landline","Santa Clara","San Jose","CA","California","95106","Pacific","37.189396","-121.705327"
"(661) 472-","Cell Number","Kern","Bakersfield","CA","California","93380","Pacific","35.294405","-118.905173"
"(831) 750-","Cell Number","Santa Cruz","Watsonville","CA","California","95077","Pacific","37.05297","-121.949418"
"(650) 331-","Landline","Santa Clara","Palo Alto","CA","California","94301","Pacific","37.189396","-121.705327"
"(858) 454-","Landline","San Diego","La Jolla","CA","California","92037","Pacific","32.898511","-117.225744"
"(530) 573-","Landline","El Dorado","South Lake Tahoe","CA","California","96158","Pacific","38.898142","-119.998419"
"(707) 678-","Landline","Solano","Dixon","CA","California","95620","Pacific","38.397372","-121.761419"
"(626) 465-","Landline","Los Angeles","La Puente","CA","California","91744","Pacific","33.786594","-118.298662"
"(818) 571-","Cell Number","Los Angeles","Van Nuys","CA","California","91499","Pacific","33.786594","-118.298662"
"(510) 861-","Cell Number","Alameda","Hayward","CA","California","94542","Pacific","37.662552","-122.051179"
"(909) 859-","Landline","Los Angeles","Diamond Bar","CA","California","91765","Pacific","33.786594","-118.298662"
"(209) 723-","Landline","Merced","Merced","CA","California","95340","Pacific","37.338191","-120.475427"
"(707) 405-","Landline","Mendocino","Covelo","CA","California","95428","Pacific","39.835096","-123.148437"
"(510) 541-","Cell Number","Alameda","Oakland","CA","California","94624","Pacific","37.680181","-121.921498"
"(323) 500-","Landline","Los Angeles","Los Angeles","CA","California","90031","Pacific","33.786594","-118.298662"
"(818) 595-","Landline","Los Angeles","Canoga Park","CA","California","91303","Pacific","33.786594","-118.298662"
"(909) 421-","Landline","San Bernardino","Rialto","CA","California","92376","Pacific","34.202339","-115.567483"
"(530) 545-","Cell Number","El Dorado","South Lake Tahoe","CA","California","96158","Pacific","38.898142","-119.998419"
"(805) 541-","Landline","San Luis Obispo","San Luis Obispo","CA","California","93401","Pacific","35.265573","-120.62122"
"(530) 452-","Landline","Placer","Tahoe City","CA","California","96145","Pacific","39.163631","-120.131614"
"(805) 532-","Landline","Ventura","Moorpark","CA","California","93020","Pacific","34.032383","-119.1343"
"(949) 542-","Landline","Orange","Laguna Niguel","CA","California","92677","Pacific","33.532817","-117.710262"
"(310) 310-","Unknown","Los Angeles","Santa Monica","CA","California","90409","Pacific","33.786594","-118.298662"
"(714) 999-","Landline","Orange","Anaheim","CA","California","92899","Pacific","33.640302","-117.769442"
"(714) 673-","Cell Number","Orange","Santa Ana","CA","California","92711","Pacific","33.640302","-117.769442"
"(760) 874-","Landline","Inyo","Bishop","CA","California","93515","Pacific","36.626033","-117.218616"
"(909) 872-","Landline","San Bernardino","Colton","CA","California","92324","Pacific","34.151161","-116.900557"
"(818) 653-","Cell Number","Los Angeles","Burbank","CA","California","91526","Pacific","33.786594","-118.298662"
"(760) 383-","Landline","San Bernardino","Fort Irwin","CA","California","92310","Pacific","35.262453","-116.696561"
"(916) 687-","Landline","Sacramento","Elk Grove","CA","California","95624","Pacific","38.44148","-121.307142"
"(707) 888-","Cell Number","Sonoma","Santa Rosa","CA","California","95402","Pacific","38.440061","-122.710598"
"(805) 746-","Cell Number","Ventura","Ventura","CA","California","93003","Pacific","34.230353","-119.221299"
"(209) 495-","Cell Number","Stanislaus","Modesto","CA","California","95397","Pacific","37.60396","-120.937052"
"(909) 921-","Landline","San Bernardino","Upland","CA","California","91785","Pacific","34.839964","-115.967051"
"(949) 201-","Landline","Orange","San Juan Capistrano","CA","California","92693","Pacific","33.555323","-117.564"
"(530) 590-","Cell Number","Yuba","Oregon House","CA","California","95962","Pacific","39.210524","-121.347605"
"(209) 393-","Cell Number","Merced","Merced","CA","California","95340","Pacific","37.338191","-120.475427"
"(661) 860-","Cell Number","Los Angeles","Palmdale","CA","California","93590","Pacific","33.786594","-118.298662"
"(408) 993-","Landline","Santa Clara","San Jose","CA","California","95106","Pacific","37.189396","-121.705327"
"(323) 752-","Landline","Los Angeles","Los Angeles","CA","California","90031","Pacific","33.786594","-118.298662"
"(209) 391-","Landline","Mariposa","Yosemite National Park","CA","California","95389","Pacific","37.63791","-119.694652"
"(805) 471-","Cell Number","San Luis Obispo","San Luis Obispo","CA","California","93401","Pacific","35.265573","-120.62122"
"(805) 494-","Landline","Ventura","Thousand Oaks","CA","California","91362","Pacific","34.194756","-118.823177"
"(559) 453-","Landline","Fresno","Fresno","CA","California","93706","Pacific","36.648635","-119.998749"
"(707) 980-","Cell Number","Solano","Vallejo","CA","California","94592","Pacific","38.096788","-122.26986"
"(858) 245-","Cell Number","San Diego","La Jolla","CA","California","92037","Pacific","32.898511","-117.225744"
"(661) 344-","Cell Number","Tulare","Earlimart","CA","California","93219","Pacific","35.875918","-119.262323"
"(209) 703-","Cell Number","Merced","Los Banos","CA","California","93635","Pacific","37.103768","-120.847479"
"(858) 496-","Landline","San Diego","San Diego","CA","California","92121","Pacific","32.90391","-117.207828"
"(831) 512-","Landline","Monterey","Salinas","CA","California","93905","Pacific","36.682888","-121.612105"
"(714) 339-","Landline","Orange","Santa Ana","CA","California","92711","Pacific","33.640302","-117.769442"
"(310) 286-","Landline","Los Angeles","Beverly Hills","CA","California","90211","Pacific","33.786594","-118.298662"
"(626) 651-","Cell Number","Los Angeles","Alhambra","CA","California","91896","Pacific","33.786594","-118.298662"
"(831) 772-","Landline","Monterey","Salinas","CA","California","93905","Pacific","36.682888","-121.612105"
"(805) 752-","Landline","San Luis Obispo","San Luis Obispo","CA","California","93401","Pacific","35.265573","-120.62122"
"(661) 584-","Landline","Kern","Mojave","CA","California","93502","Pacific","35.068161","-118.224785"
