"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(303) 333-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 335-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(719) 838-","Cell Number","Park","Fairplay","CO","Colorado","80440","Mountain","39.149","-105.885893"
"(303) 298-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(970) 363-","Landline","Grand","Granby","CO","Colorado","80446","Mountain","40.073869","-105.928533"
"(303) 265-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(719) 438-","Landline","Kiowa","Eads","CO","Colorado","81036","Mountain","38.440752","-102.554901"
"(303) 862-","Landline","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 613-","Cell Number","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(719) 480-","Cell Number","Alamosa","Alamosa","CO","Colorado","81102","Mountain","37.476026","-105.881779"
"(303) 212-","Cell Number","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 524-","Landline","Arapahoe","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 676-","Landline","Arapahoe","Aurora","CO","Colorado","80018","Mountain","39.689487","-104.67982"
"(303) 883-","Cell Number","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 569-","Landline","Clear Creek","Idaho Springs","CO","Colorado","80452","Mountain","39.706574","-105.541583"
"(719) 278-","Landline","El Paso","Colorado Springs","CO","Colorado","80995","Mountain","38.82469","-104.562027"
"(719) 497-","Landline","Las Animas","Trinidad","CO","Colorado","81082","Mountain","37.269059","-104.5038"
"(303) 482-","Landline","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(970) 650-","Landline","Montrose","Montrose","CO","Colorado","81401","Mountain","38.443069","-108.050689"
"(303) 336-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 590-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(970) 929-","Landline","Gunnison","Somerset","CO","Colorado","81434","Mountain","38.988409","-107.231438"
"(303) 753-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 329-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(970) 508-","Landline","La Plata","Durango","CO","Colorado","81301","Mountain","37.318364","-107.880367"
"(303) 372-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 557-","Landline","Jefferson","Aurora","CO","Colorado","80018","Mountain","39.689487","-104.67982"
"(719) 264-","Landline","El Paso","Colorado Springs","CO","Colorado","80995","Mountain","38.82469","-104.562027"
"(303) 345-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(970) 886-","Landline","Logan","Crook","CO","Colorado","80726","Mountain","40.8523","-103.074727"
"(970) 386-","Landline","Washington","Woodrow","CO","Colorado","80757","Mountain","39.804985","-103.57521"
"(719) 523-","Landline","Baca","Springfield","CO","Colorado","81073","Mountain","37.371522","-102.677359"
"(719) 391-","Landline","El Paso","Colorado Springs","CO","Colorado","80995","Mountain","38.82469","-104.562027"
"(303) 879-","Cell Number","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(719) 380-","Landline","El Paso","Colorado Springs","CO","Colorado","80995","Mountain","38.82469","-104.562027"
"(303) 327-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(970) 284-","Landline","Weld","La Salle","CO","Colorado","80645","Mountain","40.328185","-104.665639"
"(303) 504-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 658-","Cell Number","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(719) 686-","Landline","El Paso","Colorado Springs","CO","Colorado","80995","Mountain","38.82469","-104.562027"
"(970) 349-","Landline","Gunnison","Crested Butte","CO","Colorado","81225","Mountain","38.90056","-106.963148"
"(970) 695-","Unknown","Mesa","Mesa","CO","Colorado","81643","Mountain","39.14932","-108.169723"
"(303) 546-","Landline","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 370-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 203-","Cell Number","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 727-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 768-","Landline","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(719) 447-","Landline","El Paso","Colorado Springs","CO","Colorado","80995","Mountain","38.82469","-104.562027"
"(970) 497-","Landline","Montrose","Montrose","CO","Colorado","81401","Mountain","38.443069","-108.050689"
"(719) 564-","Landline","Pueblo","Pueblo","CO","Colorado","81002","Mountain","38.128626","-104.552299"
"(719) 491-","Cell Number","El Paso","Colorado Springs","CO","Colorado","80995","Mountain","38.82469","-104.562027"
"(303) 802-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(719) 461-","Landline","Baca","Pritchett","CO","Colorado","81064","Mountain","37.272262","-102.914489"
"(719) 766-","Unknown","Pueblo","Pueblo","CO","Colorado","81002","Mountain","38.128626","-104.552299"
"(303) 564-","Cell Number","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 843-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 287-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(970) 448-","Landline","Phillips","Amherst","CO","Colorado","80721","Mountain","40.608363","-102.3582"
"(303) 850-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(970) 384-","Landline","Garfield","Glenwood Springs","CO","Colorado","81601","Mountain","39.500281","-107.585235"
"(303) 587-","Cell Number","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 276-","Landline","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 619-","Cell Number","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 938-","Landline","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(970) 758-","Cell Number","Grand","Granby","CO","Colorado","80446","Mountain","40.073869","-105.928533"
"(303) 797-","Landline","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 419-","Cell Number","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 744-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 845-","Landline","Boulder","Longmont","CO","Colorado","80502","Mountain","40.087835","-105.373507"
"(719) 659-","Cell Number","El Paso","Colorado Springs","CO","Colorado","80995","Mountain","38.82469","-104.562027"
"(719) 212-","Unknown","Cheyenne","Cheyenne Wells","CO","Colorado","80810","Mountain","38.827259","-102.411537"
"(719) 845-","Landline","Las Animas","Trinidad","CO","Colorado","81082","Mountain","37.269059","-104.5038"
"(970) 262-","Landline","Summit","Dillon","CO","Colorado","80435","Mountain","39.595212","-105.974117"
"(303) 726-","Cell Number","Jefferson","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 762-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 778-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(303) 922-","Landline","Denver","Denver","CO","Colorado","80212","Mountain","39.768286","-105.049338"
"(719) 738-","Landline","Huerfano","Walsenburg","CO","Colorado","81089","Mountain","37.646467","-104.779815"
