"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(203) 751-","Landline","New Haven","Ansonia","CT","Connecticut","6401","Eastern","41.342514","-73.070301"
"(203) 745-","Landline","New Haven","New Haven","CT","Connecticut","6515","Eastern","41.328697","-72.964247"
"(203) 366-","Landline","Fairfield","Bridgeport","CT","Connecticut","6604","Eastern","41.192746","-73.213907"
"(203) 269-","Landline","New Haven","Wallingford","CT","Connecticut","6492","Eastern","41.456205","-72.811047"
"(203) 993-","Unknown","Fairfield","Bridgeport","CT","Connecticut","6604","Eastern","41.192746","-73.213907"
"(203) 766-","Cell Number","New Haven","New Haven","CT","Connecticut","6515","Eastern","41.328697","-72.964247"
"(860) 902-","Landline","Hartford","Hartford","CT","Connecticut","6134","Eastern","41.791776","-72.718832"
"(203) 906-","Cell Number","New Haven","Derby","CT","Connecticut","6418","Eastern","41.327246","-73.084252"
"(203) 674-","Landline","Fairfield","Stamford","CT","Connecticut","6911","Eastern","41.308873","-73.363661"
"(860) 599-","Landline","New London","Pawcatuck","CT","Connecticut","6379","Eastern","41.455191","-71.895547"
"(860) 303-","Cell Number","New London","Norwich","CT","Connecticut","6360","Eastern","41.499398","-71.994757"
"(203) 972-","Landline","Fairfield","New Canaan","CT","Connecticut","6840","Eastern","41.162209","-73.501267"
"(860) 333-","Landline","New London","New London","CT","Connecticut","6320","Eastern","41.413998","-72.10907"
"(203) 296-","Landline","Fairfield","Bridgeport","CT","Connecticut","6604","Eastern","41.192746","-73.213907"
"(860) 745-","Landline","Hartford","Enfield","CT","Connecticut","6083","Eastern","41.791776","-72.718832"
"(203) 764-","Landline","New Haven","New Haven","CT","Connecticut","6515","Eastern","41.328697","-72.964247"
"(860) 515-","Landline","Hartford","Hartford","CT","Connecticut","6134","Eastern","41.791776","-72.718832"
"(860) 692-","Landline","Hartford","Hartford","CT","Connecticut","6134","Eastern","41.791776","-72.718832"
"(203) 303-","Landline","New Haven","Wallingford","CT","Connecticut","6492","Eastern","41.456205","-72.811047"
"(860) 784-","Landline","Hartford","Simsbury","CT","Connecticut","6070","Eastern","41.868647","-72.819742"
"(203) 317-","Landline","New Haven","Meriden","CT","Connecticut","6450","Eastern","41.536498","-72.801901"
"(860) 388-","Landline","Middlesex","Old Saybrook","CT","Connecticut","6475","Eastern","41.300448","-72.389129"
"(203) 628-","Landline","Fairfield","Danbury","CT","Connecticut","6817","Eastern","41.308873","-73.363661"
"(860) 259-","Landline","Hartford","Hartford","CT","Connecticut","6134","Eastern","41.791776","-72.718832"
"(203) 556-","Cell Number","Fairfield","Bridgeport","CT","Connecticut","6604","Eastern","41.192746","-73.213907"
"(203) 407-","Landline","New Haven","New Haven","CT","Connecticut","6515","Eastern","41.328697","-72.964247"
"(860) 884-","Cell Number","New London","Norwich","CT","Connecticut","6360","Eastern","41.499398","-71.994757"
"(203) 314-","Cell Number","New Haven","New Haven","CT","Connecticut","6515","Eastern","41.328697","-72.964247"
"(203) 897-","Unknown","Fairfield","Stamford","CT","Connecticut","6911","Eastern","41.308873","-73.363661"
"(203) 864-","Landline","Fairfield","Bridgeport","CT","Connecticut","6604","Eastern","41.192746","-73.213907"
"(203) 773-","Landline","New Haven","New Haven","CT","Connecticut","6515","Eastern","41.328697","-72.964247"
"(860) 235-","Cell Number","New London","New London","CT","Connecticut","6320","Eastern","41.413998","-72.10907"
"(860) 543-","Landline","Hartford","Hartford","CT","Connecticut","6134","Eastern","41.791776","-72.718832"
"(203) 634-","Landline","New Haven","Meriden","CT","Connecticut","6450","Eastern","41.536498","-72.801901"
"(203) 664-","Landline","Fairfield","Redding","CT","Connecticut","6896","Eastern","41.271095","-73.38634"
"(203) 328-","Landline","Fairfield","Stamford","CT","Connecticut","6911","Eastern","41.308873","-73.363661"
"(860) 830-","Cell Number","Hartford","Hartford","CT","Connecticut","6134","Eastern","41.791776","-72.718832"
"(203) 850-","Unknown","New Haven","New Haven","CT","Connecticut","6515","Eastern","41.328697","-72.964247"
"(860) 895-","Landline","Hartford","East Hartford","CT","Connecticut","6138","Eastern","41.791776","-72.718832"
"(860) 589-","Landline","Hartford","Bristol","CT","Connecticut","6011","Eastern","41.791776","-72.718832"
"(860) 613-","Landline","Middlesex","Middletown","CT","Connecticut","6457","Eastern","41.550139","-72.655357"
"(860) 450-","Landline","Windham","Willimantic","CT","Connecticut","6226","Eastern","41.845504","-72.091889"
"(860) 532-","Landline","Middlesex","Deep River","CT","Connecticut","6417","Eastern","41.368124","-72.452284"
"(860) 539-","Cell Number","Hartford","Hartford","CT","Connecticut","6134","Eastern","41.791776","-72.718832"
"(860) 968-","Landline","Hartford","Glastonbury","CT","Connecticut","6033","Eastern","41.703451","-72.539332"
"(203) 451-","Landline","Fairfield","Westport","CT","Connecticut","6888","Eastern","41.308873","-73.363661"
"(203) 939-","Unknown","Fairfield","Norwalk","CT","Connecticut","6856","Eastern","41.111196","-73.420363"
