"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(302) 238-","Landline","Sussex","Frankford","DE","Delaware","19945","Eastern","38.55144","-75.157634"
"(302) 360-","Landline","Sussex","Lewes","DE","Delaware","19958","Eastern","38.65536","-75.325612"
"(302) 400-","Unknown","New Castle","New Castle","DE","Delaware","19720","Eastern","39.592895","-75.651466"
"(302) 380-","Landline","New Castle","Bear","DE","Delaware","19701","Eastern","39.594736","-75.693903"
"(302) 312-","Cell Number","New Castle","Middletown","DE","Delaware","19709","Eastern","39.485721","-75.677535"
"(302) 383-","Cell Number","New Castle","Wilmington","DE","Delaware","19899","Eastern","39.734792","-75.624617"
"(302) 430-","Landline","Sussex","Milford","DE","Delaware","19963","Eastern","38.72712","-75.322829"
"(302) 371-","Landline","New Castle","Wilmington","DE","Delaware","19899","Eastern","39.734792","-75.624617"
"(302) 420-","Cell Number","New Castle","Wilmington","DE","Delaware","19899","Eastern","39.734792","-75.624617"
"(302) 781-","Landline","New Castle","Newark","DE","Delaware","19718","Eastern","39.564499","-75.597047"
"(302) 541-","Landline","Sussex","Ocean View","DE","Delaware","19970","Eastern","38.621587","-75.104645"
"(302) 745-","Cell Number","Sussex","Milford","DE","Delaware","19963","Eastern","38.72712","-75.322829"
"(302) 425-","Landline","New Castle","Wilmington","DE","Delaware","19899","Eastern","39.734792","-75.624617"
"(302) 877-","Landline","Sussex","Laurel","DE","Delaware","19956","Eastern","38.663322","-75.378729"
"(302) 407-","Landline","New Castle","Wilmington","DE","Delaware","19899","Eastern","39.734792","-75.624617"
"(302) 537-","Landline","Sussex","Ocean View","DE","Delaware","19970","Eastern","38.621587","-75.104645"
"(302) 491-","Landline","Sussex","Milford","DE","Delaware","19963","Eastern","38.72712","-75.322829"
"(302) 283-","Landline","New Castle","Newark","DE","Delaware","19718","Eastern","39.564499","-75.597047"
"(302) 533-","Landline","New Castle","Newark","DE","Delaware","19718","Eastern","39.564499","-75.597047"
"(302) 229-","Cell Number","New Castle","New Castle","DE","Delaware","19720","Eastern","39.592895","-75.651466"
"(302) 341-","Landline","New Castle","Newark","DE","Delaware","19718","Eastern","39.564499","-75.597047"
"(302) 457-","Landline","New Castle","Newark","DE","Delaware","19718","Eastern","39.564499","-75.597047"
"(302) 696-","Landline","New Castle","Middletown","DE","Delaware","19709","Eastern","39.485721","-75.677535"
"(302) 326-","Landline","New Castle","New Castle","DE","Delaware","19720","Eastern","39.592895","-75.651466"
"(302) 367-","Cell Number","New Castle","New Castle","DE","Delaware","19720","Eastern","39.592895","-75.651466"
"(302) 549-","Landline","Sussex","Harbeson","DE","Delaware","19951","Eastern","38.691547","-75.225025"
"(302) 837-","Landline","New Castle","Newark","DE","Delaware","19718","Eastern","39.564499","-75.597047"
"(302) 829-","Landline","Sussex","Ocean View","DE","Delaware","19970","Eastern","38.621587","-75.104645"
"(302) 448-","Landline","Sussex","Georgetown","DE","Delaware","19947","Eastern","38.632891","-75.334263"
"(302) 475-","Landline","New Castle","Wilmington","DE","Delaware","19899","Eastern","39.734792","-75.624617"
"(302) 836-","Landline","New Castle","Middletown","DE","Delaware","19709","Eastern","39.485721","-75.677535"
"(302) 650-","Landline","New Castle","Wilmington","DE","Delaware","19899","Eastern","39.734792","-75.624617"
"(302) 328-","Landline","New Castle","New Castle","DE","Delaware","19720","Eastern","39.592895","-75.651466"
"(302) 375-","Landline","New Castle","Wilmington","DE","Delaware","19899","Eastern","39.734792","-75.624617"
"(302) 738-","Landline","New Castle","Newark","DE","Delaware","19718","Eastern","39.564499","-75.597047"
"(302) 349-","Landline","Sussex","Greenwood","DE","Delaware","19950","Eastern","38.82458","-75.588771"
"(302) 545-","Cell Number","New Castle","Wilmington","DE","Delaware","19899","Eastern","39.734792","-75.624617"
"(302) 999-","Landline","New Castle","Wilmington","DE","Delaware","19899","Eastern","39.734792","-75.624617"
"(302) 303-","Landline","Sussex","Frankford","DE","Delaware","19945","Eastern","38.55144","-75.157634"
"(302) 366-","Landline","New Castle","Newark","DE","Delaware","19718","Eastern","39.564499","-75.597047"
"(302) 846-","Landline","Sussex","Delmar","DE","Delaware","19940","Eastern","38.631744","-75.324585"
"(302) 483-","Landline","New Castle","Wilmington","DE","Delaware","19899","Eastern","39.734792","-75.624617"
