"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(239) 263-","Landline","Collier","Naples","FL","Florida","34114","Eastern","26.014314","-81.585552"
"(954) 443-","Landline","Broward","Hollywood","FL","Florida","33081","Eastern","26.145724","-80.448254"
"(561) 414-","Cell Number","Palm Beach","Delray Beach","FL","Florida","33482","Eastern","26.645895","-80.430269"
"(954) 309-","Cell Number","Broward","Fort Lauderdale","FL","Florida","33302","Eastern","26.145724","-80.448254"
"(386) 279-","Unknown","Volusia","Deland","FL","Florida","32721","Eastern","28.997288","-81.299521"
"(954) 399-","Landline","Broward","Hollywood","FL","Florida","33081","Eastern","26.145724","-80.448254"
"(352) 733-","Unknown","Alachua","Gainesville","FL","Florida","32612","Eastern","29.681312","-82.353862"
"(904) 993-","Cell Number","Duval","Jacksonville","FL","Florida","32226","Eastern","30.479666","-81.527063"
"(850) 599-","Landline","Leon","Tallahassee","FL","Florida","32306","Eastern / Central","30.442499","-84.29855"
"(954) 692-","Landline","Broward","Fort Lauderdale","FL","Florida","33302","Eastern","26.145724","-80.448254"
"(954) 657-","Landline","Broward","Pompano Beach","FL","Florida","33074","Eastern","26.145724","-80.448254"
"(954) 661-","Cell Number","Broward","Deerfield Beach","FL","Florida","33443","Eastern","26.145724","-80.448254"
"(561) 714-","Cell Number","Palm Beach","Palm Beach","FL","Florida","33480","Eastern","26.600995","-80.038113"
"(813) 879-","Landline","Hillsborough","Tampa","FL","Florida","33618","Eastern","28.076299","-82.485188"
"(561) 502-","Cell Number","Palm Beach","West Palm Beach","FL","Florida","33420","Eastern","26.645895","-80.430269"
"(407) 323-","Landline","Seminole","Sanford","FL","Florida","32773","Eastern","28.754582","-81.26418"
"(352) 603-","Cell Number","Sumter","Bushnell","FL","Florida","33513","Eastern","28.676288","-82.149168"
"(561) 578-","Unknown","Palm Beach","West Palm Beach","FL","Florida","33420","Eastern","26.645895","-80.430269"
"(407) 349-","Landline","Seminole","Geneva","FL","Florida","32732","Eastern","28.751078","-81.107884"
"(386) 673-","Landline","Volusia","Daytona Beach","FL","Florida","32198","Eastern","29.022729","-81.172169"
"(561) 852-","Landline","Palm Beach","Boca Raton","FL","Florida","33431","Eastern","26.378704","-80.104343"
"(954) 957-","Landline","Broward","Pompano Beach","FL","Florida","33074","Eastern","26.145724","-80.448254"
"(352) 895-","Cell Number","Marion","Ocala","FL","Florida","34476","Eastern","29.115896","-82.242211"
"(863) 467-","Landline","Okeechobee","Okeechobee","FL","Florida","34973","Eastern","27.297631","-80.802656"
"(321) 608-","Landline","Brevard","Melbourne","FL","Florida","32919","Eastern","28.306726","-80.686159"
"(954) 494-","Cell Number","Broward","Fort Lauderdale","FL","Florida","33302","Eastern","26.145724","-80.448254"
"(561) 835-","Landline","Palm Beach","Palm Beach","FL","Florida","33480","Eastern","26.600995","-80.038113"
