"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(478) 967-","Landline","Macon","Marshallville","GA","Georgia","31057","Eastern","32.438321","-83.905039"
"(478) 997-","Cell Number","Houston","Perry","GA","Georgia","31069","Eastern","32.43194","-83.722649"
"(912) 488-","Landline","Bulloch","Register","GA","Georgia","30452","Eastern","32.398006","-81.889152"
"(912) 720-","Landline","Coffee","Douglas","GA","Georgia","31533","Eastern","31.509338","-82.857131"
"(229) 516-","Landline","Thomas","Thomasville","GA","Georgia","31799","Eastern","30.880968","-83.885902"
"(478) 445-","Landline","Baldwin","Milledgeville","GA","Georgia","31062","Eastern","33.087138","-83.22492"
"(229) 237-","Cell Number","Berrien","Nashville","GA","Georgia","31639","Eastern","31.199826","-83.218233"
"(770) 926-","Landline","Cherokee","Woodstock","GA","Georgia","30188","Eastern","34.127398","-84.481787"
"(912) 586-","Landline","Wayne","Odum","GA","Georgia","31555","Eastern","31.685101","-82.037562"
"(478) 396-","Cell Number","Houston","Warner Robins","GA","Georgia","31099","Eastern","32.646236","-83.6513"
"(229) 457-","Unknown","Ben Hill","Fitzgerald","GA","Georgia","31750","Eastern","31.748753","-83.235412"
"(706) 369-","Landline","Clarke","Athens","GA","Georgia","30605","Eastern","33.923088","-83.364038"
"(770) 626-","Landline","Clayton","Jonesboro","GA","Georgia","30238","Eastern","33.494387","-84.379724"
"(770) 374-","Cell Number","Cobb","Marietta","GA","Georgia","30067","Eastern","33.932551","-84.462379"
"(706) 218-","Landline","Whitfield","Dalton","GA","Georgia","30720","Eastern","34.791428","-84.992771"
"(706) 463-","Landline","Whitfield","Dalton","GA","Georgia","30720","Eastern","34.791428","-84.992771"
"(229) 213-","Cell Number","Mitchell","Pelham","GA","Georgia","31779","Eastern","31.225572","-84.223371"
"(478) 972-","Cell Number","Bibb","Macon","GA","Georgia","31203","Eastern","32.806707","-83.691315"
"(229) 218-","Landline","Berrien","Enigma","GA","Georgia","31749","Eastern","31.417797","-83.355349"
"(770) 810-","Landline","Dekalb","Atlanta","GA","Georgia","30360","Eastern","33.931069","-84.277772"
"(706) 901-","Unknown","Columbia","Harlem","GA","Georgia","30814","Eastern","33.456131","-82.307337"
"(912) 207-","Cell Number","Wayne","Screven","GA","Georgia","31560","Eastern","31.512923","-82.010258"
"(229) 532-","Landline","Berrien","Alapaha","GA","Georgia","31622","Eastern","31.383968","-83.221348"
"(706) 329-","Cell Number","Muscogee","Columbus","GA","Georgia","31906","Eastern","32.493455","-84.95328"
"(229) 569-","Cell Number","Lanier","Lakeland","GA","Georgia","31635","Eastern","31.035327","-83.098737"
"(229) 333-","Landline","Lowndes","Valdosta","GA","Georgia","31698","Eastern","30.84848","-83.287753"
"(478) 401-","Unknown","Jenkins","Millen","GA","Georgia","30442","Eastern","32.779376","-81.973904"
"(478) 364-","Landline","Jefferson","Wadley","GA","Georgia","30477","Eastern","32.863678","-82.407516"
"(770) 510-","Landline","Dekalb","Atlanta","GA","Georgia","30360","Eastern","33.931069","-84.277772"
"(912) 429-","Cell Number","Chatham","Savannah","GA","Georgia","31405","Eastern","32.065317","-81.181413"
"(912) 247-","Cell Number","Chatham","Savannah","GA","Georgia","31405","Eastern","32.065317","-81.181413"
"(912) 220-","Cell Number","Chatham","Savannah","GA","Georgia","31405","Eastern","32.065317","-81.181413"
"(770) 291-","Landline","Dekalb","Atlanta","GA","Georgia","30360","Eastern","33.931069","-84.277772"
"(706) 938-","Unknown","Upson","Thomaston","GA","Georgia","30286","Eastern","32.884509","-84.336486"
"(770) 777-","Landline","Dekalb","Atlanta","GA","Georgia","30360","Eastern","33.931069","-84.277772"
"(478) 309-","Unknown","Emanuel","Twin City","GA","Georgia","30471","Eastern","32.54978","-82.183916"
"(706) 861-","Landline","Walker","Rossville","GA","Georgia","30741","Eastern","34.798084","-85.246291"
"(770) 963-","Landline","Gwinnett","Lawrenceville","GA","Georgia","30043","Eastern","34.00309","-84.012608"
"(706) 444-","Landline","Hancock","Sparta","GA","Georgia","31087","Eastern","33.257068","-83.08922"
"(478) 222-","Landline","Houston","Warner Robins","GA","Georgia","31099","Eastern","32.646236","-83.6513"
"(706) 868-","Landline","Columbia","Augusta","GA","Georgia","30914","Eastern","33.386041","-82.090996"
"(706) 963-","Unknown","Stephens","Toccoa","GA","Georgia","30577","Eastern","34.554103","-83.288828"
"(770) 710-","Landline","Dekalb","Stone Mountain","GA","Georgia","30086","Eastern","33.891251","-84.07456"
"(706) 839-","Landline","Habersham","Clarkesville","GA","Georgia","30523","Eastern","34.655918","-83.508274"
"(770) 268-","Landline","Clayton","Jonesboro","GA","Georgia","30238","Eastern","33.494387","-84.379724"
"(706) 648-","Landline","Upson","Thomaston","GA","Georgia","30286","Eastern","32.884509","-84.336486"
"(770) 200-","Landline","Cobb","Marietta","GA","Georgia","30067","Eastern","33.932551","-84.462379"
"(912) 452-","Unknown","Pierce","Blackshear","GA","Georgia","31516","Eastern","31.326324","-82.271206"
"(912) 571-","Cell Number","Glynn","Brunswick","GA","Georgia","31561","Eastern","31.198914","-81.332211"
"(912) 307-","Landline","Jeff Davis","Hazlehurst","GA","Georgia","31539","Eastern","31.806871","-82.626991"
"(706) 783-","Landline","Madison","Comer","GA","Georgia","30629","Eastern","34.105661","-83.144463"
"(229) 385-","Landline","Dodge","Rhine","GA","Georgia","31077","Eastern","32.176429","-83.122891"
"(229) 306-","Landline","Schley","Ellaville","GA","Georgia","31806","Eastern","32.209028","-84.277064"
"(770) 656-","Cell Number","Dekalb","Atlanta","GA","Georgia","30360","Eastern","33.931069","-84.277772"
"(770) 618-","Landline","Fulton","Atlanta","GA","Georgia","30360","Eastern","33.931069","-84.277772"
"(478) 934-","Landline","Bleckley","Cochran","GA","Georgia","31014","Eastern","32.383904","-83.321095"
"(912) 401-","Landline","Chatham","Savannah","GA","Georgia","31405","Eastern","32.065317","-81.181413"
"(706) 962-","Unknown","Warren","Warrenton","GA","Georgia","30828","Eastern","33.406118","-82.641067"
"(706) 351-","Cell Number","Clarke","Athens","GA","Georgia","30605","Eastern","33.923088","-83.364038"
"(478) 315-","Landline","Monroe","Forsyth","GA","Georgia","31029","Eastern","33.025944","-83.915021"
"(229) 384-","Landline","Stewart","Richland","GA","Georgia","31825","Eastern","32.074331","-84.718627"
"(770) 420-","Landline","Cobb","Marietta","GA","Georgia","30067","Eastern","33.932551","-84.462379"
"(229) 402-","Cell Number","Tift","Tifton","GA","Georgia","31794","Eastern","31.463918","-83.499944"
"(770) 771-","Landline","Dekalb","Atlanta","GA","Georgia","30360","Eastern","33.931069","-84.277772"
"(770) 873-","Cell Number","Dekalb","Atlanta","GA","Georgia","30360","Eastern","33.931069","-84.277772"
"(706) 906-","Unknown","Chattooga","Trion","GA","Georgia","30753","Eastern","34.532713","-85.368362"
"(706) 566-","Cell Number","Muscogee","Columbus","GA","Georgia","31906","Eastern","32.493455","-84.95328"
