"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(671) 300-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 929-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 797-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 989-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 400-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 922-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 969-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 858-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 707-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 979-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 868-","Cell Number","Guam","Santa Rita","GU","Guam","96915","(UTC+10)","13.444257","144.786297"
"(671) 997-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 998-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 898-","Cell Number","Guam","Santa Rita","GU","Guam","96915","(UTC+10)","13.444257","144.786297"
"(671) 685-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 987-","Cell Number","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 838-","Cell Number","Guam","Santa Rita","GU","Guam","96915","(UTC+10)","13.444257","144.786297"
"(671) 967-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 848-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 588-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 971-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 878-","Cell Number","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 977-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
"(671) 487-","Unknown","Guam","Agana Heights","GU","Guam","96919","(UTC+10)","13.444257","144.786297"
