"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(808) 542-","Cell Number","Honolulu","Honolulu","HI","Hawaii","96806","(UTC-10)","24.859832","-168.021815"
"(808) 948-","Landline","Honolulu","Honolulu","HI","Hawaii","96806","(UTC-10)","24.859832","-168.021815"
"(808) 446-","Unknown","Maui","Wailuku","HI","Hawaii","96793","(UTC-10)","20.901536","-156.566493"
"(808) 549-","Landline","Honolulu","Honolulu","HI","Hawaii","96806","(UTC-10)","24.859832","-168.021815"
"(808) 595-","Landline","Honolulu","Honolulu","HI","Hawaii","96806","(UTC-10)","24.859832","-168.021815"
"(808) 975-","Unknown","Kauai","Lihue","HI","Hawaii","96766","(UTC-10)","22.070553","-159.430328"
"(808) 649-","Cell Number","Maui","Lahaina","HI","Hawaii","96767","(UTC-10)","20.866638","-156.646667"
"(808) 964-","Landline","Hawaii","Papaikou","HI","Hawaii","96781","(UTC-10)","19.798878","-155.116093"
"(808) 760-","Landline","Maui","Wailuku","HI","Hawaii","96793","(UTC-10)","20.901536","-156.566493"
"(808) 535-","Landline","Honolulu","Honolulu","HI","Hawaii","96806","(UTC-10)","24.859832","-168.021815"
"(808) 422-","Landline","Honolulu","Honolulu","HI","Hawaii","96806","(UTC-10)","24.859832","-168.021815"
"(808) 272-","Cell Number","Honolulu","Honolulu","HI","Hawaii","96806","(UTC-10)","24.859832","-168.021815"
"(808) 926-","Landline","Honolulu","Honolulu","HI","Hawaii","96806","(UTC-10)","24.859832","-168.021815"
"(808) 541-","Landline","Honolulu","Honolulu","HI","Hawaii","96806","(UTC-10)","24.859832","-168.021815"
"(808) 486-","Landline","Honolulu","Aiea","HI","Hawaii","96701","(UTC-10)","21.39065","-157.927829"
"(808) 783-","Cell Number","Honolulu","Honolulu","HI","Hawaii","96806","(UTC-10)","24.859832","-168.021815"
"(808) 432-","Landline","Honolulu","Honolulu","HI","Hawaii","96806","(UTC-10)","24.859832","-168.021815"
"(808) 220-","Cell Number","Honolulu","Honolulu","HI","Hawaii","96806","(UTC-10)","24.859832","-168.021815"
"(808) 377-","Landline","Honolulu","Honolulu","HI","Hawaii","96806","(UTC-10)","24.859832","-168.021815"
"(808) 430-","Unknown","Hawaii","Hilo","HI","Hawaii","96721","(UTC-10)","19.593456","-155.438015"
"(808) 841-","Landline","Honolulu","Honolulu","HI","Hawaii","96806","(UTC-10)","24.859832","-168.021815"
"(808) 233-","Landline","Honolulu","Kaneohe","HI","Hawaii","96744","(UTC-10)","21.66875","-157.93955"
"(808) 328-","Landline","Hawaii","Hilo","HI","Hawaii","96721","(UTC-10)","19.593456","-155.438015"
"(808) 676-","Landline","Honolulu","Waipahu","HI","Hawaii","96797","(UTC-10)","21.399548","-158.015151"
