"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(319) 758-","Landline","Des Moines","Burlington","IA","Iowa","52601","Central","40.898412","-91.164393"
"(641) 872-","Landline","Wayne","Corydon","IA","Iowa","50060","Central","40.777093","-93.327355"
"(515) 889-","Landline","Kossuth","Fenton","IA","Iowa","50539","Central","43.241336","-94.384458"
"(712) 435-","Cell Number","Pottawattamie","Carter Lake","IA","Iowa","51510","Central","41.287335","-95.91689"
"(712) 272-","Landline","Buena Vista","Newell","IA","Iowa","50568","Central","42.705762","-95.003782"
"(515) 859-","Landline","Hardin","Alden","IA","Iowa","50006","Central","42.430997","-93.390638"
"(712) 298-","Cell Number","Woodbury","Sioux City","IA","Iowa","51105","Central","42.481003","-96.403691"
"(319) 768-","Landline","Des Moines","Burlington","IA","Iowa","52601","Central","40.898412","-91.164393"
"(712) 202-","Landline","Woodbury","Sioux City","IA","Iowa","51105","Central","42.481003","-96.403691"
"(563) 358-","Unknown","Winneshiek","Fort Atkinson","IA","Iowa","52144","Central","43.268916","-91.924788"
"(712) 546-","Landline","Plymouth","Le Mars","IA","Iowa","51031","Central","42.749146","-96.261735"
"(712) 363-","Cell Number","Clay","Spencer","IA","Iowa","51301","Central","43.13291","-95.177909"
"(319) 694-","Landline","Washington","Brighton","IA","Iowa","52540","Central","41.211747","-91.845034"
"(319) 684-","Unknown","Benton","Van Horne","IA","Iowa","52346","Central","42.014398","-92.067227"
"(515) 677-","Landline","Dallas","Minburn","IA","Iowa","50167","Central","41.732252","-94.047607"
"(712) 274-","Landline","Woodbury","Sioux City","IA","Iowa","51105","Central","42.481003","-96.403691"
"(563) 585-","Landline","Dubuque","Dubuque","IA","Iowa","52002","Central","42.532019","-90.7718"
"(712) 500-","Landline","Plymouth","Le Mars","IA","Iowa","51031","Central","42.749146","-96.261735"
"(641) 289-","Unknown","Decatur","Lamoni","IA","Iowa","50140","Central","40.618769","-93.927187"
"(319) 333-","Unknown","Johnson","Iowa City","IA","Iowa","52246","Central","41.600628","-91.589264"
"(641) 317-","Landline","Union","Kanawha","IA","Iowa","50447","Central","43.069212","-93.734839"
"(563) 844-","Unknown","Jones","Wyoming","IA","Iowa","52362","Central","42.065281","-91.078891"
"(712) 200-","Landline","Buena Vista","Alta","IA","Iowa","51002","Central","42.735364","-95.151121"
"(712) 852-","Landline","Palo Alto","Emmetsburg","IA","Iowa","50536","Central","43.118345","-94.690755"
"(712) 923-","Landline","Woodbury","Sergeant Bluff","IA","Iowa","51054","Central","42.387867","-96.335924"
"(563) 584-","Landline","Dubuque","Dubuque","IA","Iowa","52002","Central","42.532019","-90.7718"
"(319) 521-","Cell Number","Linn","Cedar Rapids","IA","Iowa","52402","Central","42.020105","-91.681029"
"(319) 664-","Landline","Iowa","North English","IA","Iowa","52316","Central","41.555588","-92.067635"
"(515) 351-","Cell Number","Webster","Gowrie","IA","Iowa","50543","Central","42.325308","-94.25193"
"(563) 608-","Cell Number","Delaware","Manchester","IA","Iowa","52057","Central","42.492356","-91.39658"
"(319) 621-","Cell Number","Johnson","Iowa City","IA","Iowa","52246","Central","41.600628","-91.589264"
"(712) 367-","Landline","Ida","Arthur","IA","Iowa","51431","Central","42.341553","-95.371381"
"(319) 551-","Cell Number","Linn","Cedar Rapids","IA","Iowa","52402","Central","42.020105","-91.681029"
"(515) 709-","Cell Number","Boone","Boone","IA","Iowa","50036","Central","42.0425","-93.904897"
"(515) 438-","Landline","Dallas","Woodward","IA","Iowa","50276","Central","41.776121","-93.955694"
"(641) 338-","Landline","Union","Thayer","IA","Iowa","50254","Central","40.978688","-94.10039"
"(319) 899-","Cell Number","Linn","Cedar Rapids","IA","Iowa","52402","Central","42.020105","-91.681029"
"(515) 389-","Landline","Greene","Churdan","IA","Iowa","50050","Central","42.141856","-94.503538"
"(515) 992-","Landline","Dallas","Dallas Center","IA","Iowa","50063","Central","41.713107","-93.930807"
"(319) 435-","Landline","Linn","Coggon","IA","Iowa","52218","Central","42.250724","-91.53445"
"(563) 518-","Cell Number","Fayette","West Union","IA","Iowa","52175","Central","42.943828","-91.833409"
"(563) 263-","Landline","Muscatine","Muscatine","IA","Iowa","52761","Central","41.462426","-91.053888"
"(319) 542-","Unknown","Benton","Van Horne","IA","Iowa","52346","Central","42.014398","-92.067227"
"(319) 725-","Landline","Muscatine","Conesville","IA","Iowa","52739","Central","41.401379","-91.338658"
"(712) 450-","Cell Number","Pocahontas","Laurens","IA","Iowa","50554","Central","42.821248","-94.835889"
"(319) 292-","Landline","Black Hawk","Waterloo","IA","Iowa","50702","Central","42.458761","-92.313876"
"(641) 204-","Cell Number","Marion","Pella","IA","Iowa","50219","Central","41.341915","-93.092797"
"(712) 428-","Landline","Woodbury","Sloan","IA","Iowa","51055","Central","42.345513","-96.048349"
"(641) 742-","Landline","Adair","Adair","IA","Iowa","50002","Central","41.439109","-94.633805"
"(515) 233-","Landline","Story","Ames","IA","Iowa","50013","Central","42.023535","-93.640818"
"(712) 484-","Landline","Pottawattamie","Carson","IA","Iowa","51525","Central","41.224143","-95.413327"
"(515) 546-","Landline","Webster","Clare","IA","Iowa","50524","Central","42.514307","-94.212455"
"(712) 867-","Landline","Emmet","Wallingford","IA","Iowa","51365","Central","43.318868","-94.796359"
"(712) 753-","Landline","Lyon","Inwood","IA","Iowa","51240","Central","43.338402","-96.293245"
"(712) 624-","Landline","Mills","Malvern","IA","Iowa","51551","Central","41.006817","-95.594792"
"(641) 753-","Landline","Marshall","Marshalltown","IA","Iowa","50158","Central","42.036096","-92.998867"
"(641) 340-","Cell Number","Clarke","Osceola","IA","Iowa","50213","Central","41.029937","-93.775845"
"(641) 569-","Cell Number","Mahaska","Oskaloosa","IA","Iowa","52577","Central","41.283366","-92.662675"
"(563) 855-","Landline","Dubuque","Worthington","IA","Iowa","52078","Central","42.388741","-91.089374"
"(515) 383-","Landline","Story","Cambridge","IA","Iowa","50046","Central","41.914036","-93.51988"
"(641) 784-","Landline","Decatur","Lamoni","IA","Iowa","50140","Central","40.618769","-93.927187"
"(515) 373-","Landline","Humboldt","Gilmore City","IA","Iowa","50541","Central","42.720638","-94.393684"
"(319) 824-","Landline","Grundy","Grundy Center","IA","Iowa","50638","Central","42.369118","-92.807878"
"(641) 773-","Landline","Decatur","Grand River","IA","Iowa","50108","Central","40.819397","-93.962986"
"(515) 466-","Unknown","Boone","Ogden","IA","Iowa","50212","Central","42.043714","-94.052358"
"(319) 239-","Cell Number","Black Hawk","Waterloo","IA","Iowa","50702","Central","42.458761","-92.313876"
"(563) 577-","Landline","Clinton","Goose Lake","IA","Iowa","52750","Central","41.942428","-90.378578"
"(641) 863-","Cell Number","Hancock","Britt","IA","Iowa","50423","Central","43.081779","-93.734689"
"(712) 452-","Landline","Monona","Blencoe","IA","Iowa","51523","Central","41.915049","-96.049414"
"(563) 323-","Landline","Scott","Davenport","IA","Iowa","52808","Central","41.613034","-90.606284"
"(641) 221-","Cell Number","Adair","Greenfield","IA","Iowa","50849","Central","41.299977","-94.456404"
"(319) 667-","Landline","Keokuk","South English","IA","Iowa","52335","Central","41.452856","-92.067973"
"(515) 454-","Unknown","Boone","Ogden","IA","Iowa","50212","Central","42.043714","-94.052358"
"(319) 499-","Unknown","Johnson","Iowa City","IA","Iowa","52246","Central","41.600628","-91.589264"
"(712) 853-","Landline","Dickinson","Terril","IA","Iowa","51364","Central","43.35271","-95.119487"
"(319) 647-","Landline","Iowa","Victor","IA","Iowa","52347","Central","41.706644","-92.25127"
"(319) 480-","Cell Number","Jones","Anamosa","IA","Iowa","52205","Central","42.10352","-91.240145"
"(641) 451-","Cell Number","Jefferson","Fairfield","IA","Iowa","52556","Central","41.030998","-91.957527"
"(712) 843-","Landline","Buena Vista","Albert City","IA","Iowa","50510","Central","42.735002","-95.151118"
"(712) 621-","Cell Number","Montgomery","Red Oak","IA","Iowa","51591","Central","41.030256","-95.156205"
"(641) 903-","Landline","Cerro Gordo","Mason City","IA","Iowa","50401","Central","43.116477","-93.270559"
"(641) 509-","Unknown","Mitchell","Orchard","IA","Iowa","50460","Central","43.234006","-92.686031"
"(712) 239-","Landline","Woodbury","Sioux City","IA","Iowa","51105","Central","42.481003","-96.403691"
"(712) 382-","Landline","Fremont","Hamburg","IA","Iowa","51640","Central","40.741699","-95.583179"
"(712) 261-","Cell Number","Cherokee","Cherokee","IA","Iowa","51012","Central","42.721535","-95.574297"
"(563) 271-","Cell Number","Scott","Davenport","IA","Iowa","52808","Central","41.613034","-90.606284"
"(641) 529-","Cell Number","Cerro Gordo","Clear Lake","IA","Iowa","50428","Central","43.100399","-93.260676"
"(563) 445-","Landline","Scott","Davenport","IA","Iowa","52808","Central","41.613034","-90.606284"
"(319) 398-","Landline","Linn","Cedar Rapids","IA","Iowa","52402","Central","42.020105","-91.681029"
"(515) 448-","Landline","Wright","Eagle Grove","IA","Iowa","50533","Central","42.646337","-93.882675"
"(319) 450-","Cell Number","Linn","Cedar Rapids","IA","Iowa","52402","Central","42.020105","-91.681029"
"(641) 369-","Landline","Adair","Bridgewater","IA","Iowa","50837","Central","41.258885","-94.666868"
"(712) 336-","Landline","Dickinson","Spirit Lake","IA","Iowa","51360","Central","43.407002","-95.121813"
"(563) 203-","Cell Number","Howard","Cresco","IA","Iowa","52136","Central","43.35666","-92.189287"
"(641) 437-","Landline","Appanoose","Centerville","IA","Iowa","52544","Central","40.686447","-92.881614"
"(641) 499-","Landline","Tama","Garwin","IA","Iowa","50632","Central","42.101125","-92.674254"
"(563) 673-","Landline","Jackson","Baldwin","IA","Iowa","52207","Central","42.120007","-90.816341"
"(319) 286-","Landline","Linn","Cedar Rapids","IA","Iowa","52402","Central","42.020105","-91.681029"
"(641) 443-","Landline","Decatur","Garden Grove","IA","Iowa","50103","Central","40.736644","-93.785839"
"(641) 788-","Landline","Ringgold","Redding","IA","Iowa","50860","Central","40.604641","-94.388509"
"(319) 253-","Landline","Henry","Hillsboro","IA","Iowa","52630","Central","40.845708","-91.670699"
"(563) 590-","Cell Number","Dubuque","Dubuque","IA","Iowa","52002","Central","42.532019","-90.7718"
"(712) 583-","Landline","Page","Coin","IA","Iowa","51636","Central","40.646512","-95.199797"
"(563) 425-","Landline","Fayette","Fayette","IA","Iowa","52142","Central","42.885443","-91.8084"
"(641) 812-","Unknown","Franklin","Hampton","IA","Iowa","50441","Central","42.731454","-93.230657"
"(641) 777-","Cell Number","Wapello","Ottumwa","IA","Iowa","52501","Central","41.030933","-92.409827"
"(319) 275-","Landline","Bremer","Tripoli","IA","Iowa","50676","Central","42.786204","-92.278632"
"(563) 657-","Landline","Scott","Walcott","IA","Iowa","52773","Central","41.61358","-90.753478"
"(319) 210-","Cell Number","Linn","Cedar Rapids","IA","Iowa","52402","Central","42.020105","-91.681029"
"(319) 233-","Landline","Black Hawk","Waterloo","IA","Iowa","50702","Central","42.458761","-92.313876"
"(641) 470-","Landline","Jefferson","Fairfield","IA","Iowa","52556","Central","41.030998","-91.957527"
"(319) 989-","Landline","Grundy","Dike","IA","Iowa","50624","Central","42.377438","-92.713296"
"(319) 669-","Cell Number","Lee","Fort Madison","IA","Iowa","52627","Central","40.596949","-91.434473"
"(319) 578-","Unknown","Johnson","Swisher","IA","Iowa","52338","Central","41.827112","-91.721642"
"(319) 631-","Cell Number","Johnson","Iowa City","IA","Iowa","52246","Central","41.600628","-91.589264"
"(563) 262-","Landline","Muscatine","Muscatine","IA","Iowa","52761","Central","41.462426","-91.053888"
"(515) 395-","Landline","Kossuth","Algona","IA","Iowa","50511","Central","43.109313","-94.166994"
"(641) 638-","Cell Number","Mahaska","Oskaloosa","IA","Iowa","52577","Central","41.283366","-92.662675"
"(641) 922-","Landline","Grundy","Conrad","IA","Iowa","50621","Central","42.261859","-92.913373"
"(641) 349-","Landline","Taylor","Sharpsburg","IA","Iowa","50862","Central","40.812934","-94.662137"
"(641) 596-","Cell Number","Worth","Joice","IA","Iowa","50446","Central","43.353565","-93.3832"
"(712) 260-","Cell Number","Clay","Spencer","IA","Iowa","51301","Central","43.13291","-95.177909"
"(641) 528-","Landline","Poweshiek","Malcom","IA","Iowa","50157","Central","41.732036","-92.512822"
"(319) 977-","Unknown","Benton","Van Horne","IA","Iowa","52346","Central","42.014398","-92.067227"
"(563) 277-","Unknown","Winneshiek","Decorah","IA","Iowa","52101","Central","43.294252","-91.789582"
"(712) 629-","Landline","Fremont","Tabor","IA","Iowa","51653","Central","40.822599","-95.694406"
"(563) 383-","Landline","Scott","Davenport","IA","Iowa","52808","Central","41.613034","-90.606284"
"(712) 824-","Landline","Mills","Emerson","IA","Iowa","51533","Central","41.016355","-95.422695"
"(563) 581-","Cell Number","Dubuque","Dubuque","IA","Iowa","52002","Central","42.532019","-90.7718"
"(641) 329-","Landline","Howard","Mc Intire","IA","Iowa","50455","Central","43.457197","-92.63316"
"(563) 508-","Cell Number","Scott","Davenport","IA","Iowa","52808","Central","41.613034","-90.606284"
"(563) 528-","Cell Number","Scott","Davenport","IA","Iowa","52808","Central","41.613034","-90.606284"
"(712) 357-","Unknown","Montgomery","Red Oak","IA","Iowa","51591","Central","41.030256","-95.156205"
"(319) 752-","Landline","Des Moines","Burlington","IA","Iowa","52601","Central","40.898412","-91.164393"
"(641) 613-","Landline","Marion","Pella","IA","Iowa","50219","Central","41.341915","-93.092797"
"(563) 542-","Cell Number","Dubuque","Dubuque","IA","Iowa","52002","Central","42.532019","-90.7718"
"(641) 868-","Landline","Hardin","Steamboat Rock","IA","Iowa","50672","Central","42.412327","-93.084751"
"(319) 369-","Landline","Linn","Cedar Rapids","IA","Iowa","52402","Central","42.020105","-91.681029"
"(712) 223-","Cell Number","Woodbury","Sioux City","IA","Iowa","51105","Central","42.481003","-96.403691"
"(319) 939-","Cell Number","Black Hawk","Waterloo","IA","Iowa","50702","Central","42.458761","-92.313876"
"(319) 739-","Landline","Linn","Cedar Rapids","IA","Iowa","52402","Central","42.020105","-91.681029"
"(563) 441-","Landline","Scott","Davenport","IA","Iowa","52808","Central","41.613034","-90.606284"
"(641) 525-","Cell Number","Cerro Gordo","Clear Lake","IA","Iowa","50428","Central","43.100399","-93.260676"
"(319) 447-","Landline","Linn","Cedar Rapids","IA","Iowa","52402","Central","42.020105","-91.681029"
"(712) 273-","Landline","Sac","Early","IA","Iowa","50535","Central","42.458243","-95.16624"
"(319) 495-","Unknown","Black Hawk","La Porte City","IA","Iowa","50651","Central","42.369559","-92.206097"
"(641) 585-","Landline","Winnebago","Forest City","IA","Iowa","50436","Central","43.299419","-93.684781"
"(319) 454-","Landline","Benton","Blairstown","IA","Iowa","52209","Central","41.913181","-92.112381"
"(712) 741-","Landline","Pottawattamie","Hancock","IA","Iowa","51536","Central","41.389941","-95.372891"
"(712) 220-","Unknown","Carroll","Carroll","IA","Iowa","51401","Central","42.042547","-94.8338"
"(563) 328-","Landline","Scott","Davenport","IA","Iowa","52808","Central","41.613034","-90.606284"
