"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(208) 921-","Landline","Ada","Boise","ID","Idaho","83725","Mountain / Pacific","43.459855","-116.243984"
"(208) 723-","Landline","Ada","Boise","ID","Idaho","83725","Mountain / Pacific","43.459855","-116.243984"
"(208) 593-","Cell Number","Jerome","Jerome","ID","Idaho","83338","Mountain / Pacific","42.736869","-114.374568"
"(208) 673-","Landline","Cassia","Albion","ID","Idaho","83311","Mountain / Pacific","42.339326","-113.461324"
"(208) 498-","Landline","Canyon","Nampa","ID","Idaho","83687","Mountain / Pacific","43.602302","-116.552636"
"(208) 210-","Cell Number","Jerome","Jerome","ID","Idaho","83338","Mountain / Pacific","42.736869","-114.374568"
"(208) 288-","Landline","Ada","Meridian","ID","Idaho","83680","Mountain / Pacific","43.459855","-116.243984"
"(208) 743-","Landline","Nez Perce","Lewiston","ID","Idaho","83501","Mountain / Pacific","46.3646","-116.860852"
"(208) 232-","Landline","Bannock","Pocatello","ID","Idaho","83209","Mountain / Pacific","42.639474","-112.313836"
"(208) 470-","Cell Number","Canyon","Parma","ID","Idaho","83660","Mountain / Pacific","43.785082","-116.897455"
"(208) 273-","Landline","Kootenai","Plummer","ID","Idaho","83851","Mountain / Pacific","47.243487","-116.862018"
"(208) 597-","Cell Number","Bonner","Sandpoint","ID","Idaho","83864","Mountain / Pacific","48.299486","-116.553968"
"(208) 586-","Cell Number","Cassia","Burley","ID","Idaho","83318","Mountain / Pacific","42.399472","-113.848558"
"(208) 827-","Cell Number","Clearwater","Orofino","ID","Idaho","83544","Mountain / Pacific","46.4976","-116.184848"
"(208) 381-","Landline","Ada","Boise","ID","Idaho","83725","Mountain / Pacific","43.459855","-116.243984"
"(208) 704-","Cell Number","Kootenai","Coeur D Alene","ID","Idaho","83816","Mountain / Pacific","47.678798","-116.682718"
"(208) 460-","Landline","Ada","Boise","ID","Idaho","83725","Mountain / Pacific","43.459855","-116.243984"
"(208) 493-","Landline","Ada","Boise","ID","Idaho","83725","Mountain / Pacific","43.459855","-116.243984"
"(208) 930-","Unknown","Kootenai","Coeur D Alene","ID","Idaho","83816","Mountain / Pacific","47.678798","-116.682718"
"(208) 646-","Landline","Franklin","Franklin","ID","Idaho","83237","Mountain / Pacific","42.028792","-111.787055"
"(208) 993-","Cell Number","Lemhi","Salmon","ID","Idaho","83467","Mountain / Pacific","45.171856","-113.921041"
"(208) 840-","Cell Number","Franklin","Preston","ID","Idaho","83263","Mountain / Pacific","42.207376","-111.812126"
"(208) 461-","Landline","Canyon","Nampa","ID","Idaho","83687","Mountain / Pacific","43.602302","-116.552636"
"(208) 585-","Landline","Canyon","Middleton","ID","Idaho","83644","Mountain / Pacific","43.577401","-116.590338"
"(208) 219-","Cell Number","Cassia","Burley","ID","Idaho","83318","Mountain / Pacific","42.399472","-113.848558"
"(208) 490-","Cell Number","Twin Falls","Buhl","ID","Idaho","83316","Mountain / Pacific","42.586201","-114.829856"
"(208) 843-","Landline","Nez Perce","Lapwai","ID","Idaho","83540","Mountain / Pacific","46.402671","-116.805125"
"(208) 666-","Landline","Kootenai","Coeur D Alene","ID","Idaho","83816","Mountain / Pacific","47.678798","-116.682718"
"(208) 837-","Landline","Gooding","Hagerman","ID","Idaho","83332","Mountain / Pacific","42.807535","-114.86211"
"(208) 334-","Landline","Ada","Boise","ID","Idaho","83725","Mountain / Pacific","43.459855","-116.243984"
"(208) 332-","Landline","Ada","Boise","ID","Idaho","83725","Mountain / Pacific","43.459855","-116.243984"
"(208) 241-","Cell Number","Bannock","Pocatello","ID","Idaho","83209","Mountain / Pacific","42.639474","-112.313836"
"(208) 697-","Landline","Canyon","Nampa","ID","Idaho","83687","Mountain / Pacific","43.602302","-116.552636"
"(208) 862-","Landline","Cassia","Oakley","ID","Idaho","83346","Mountain / Pacific","42.193954","-113.872032"
"(208) 485-","Landline","Ada","Boise","ID","Idaho","83725","Mountain / Pacific","43.459855","-116.243984"
"(208) 442-","Landline","Canyon","Nampa","ID","Idaho","83687","Mountain / Pacific","43.602302","-116.552636"
"(208) 691-","Cell Number","Kootenai","Coeur D Alene","ID","Idaho","83816","Mountain / Pacific","47.678798","-116.682718"
"(208) 419-","Landline","Bonneville","Idaho Falls","ID","Idaho","83404","Mountain / Pacific","43.433036","-111.660433"
"(208) 998-","Cell Number","Canyon","Wilder","ID","Idaho","83676","Mountain / Pacific","43.657855","-116.919629"
