"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(847) 667-","Landline","Cook","Northbrook","IL","Illinois","60062","Central","42.120176","-87.838815"
"(708) 345-","Landline","Cook","Maywood","IL","Illinois","60153","Central","41.811929","-87.68732"
"(309) 342-","Landline","Knox","Galesburg","IL","Illinois","61401","Central","40.964613","-90.213654"
"(217) 887-","Landline","Edgar","Metcalf","IL","Illinois","61940","Central","39.80461","-87.780032"
"(815) 570-","Landline","Dekalb","Sandwich","IL","Illinois","60548","Central","41.702091","-88.688906"
"(847) 644-","Cell Number","Cook","Evanston","IL","Illinois","60202","Central","42.044529","-87.687969"
"(708) 983-","Landline","Cook","Park Forest","IL","Illinois","60466","Central","41.811929","-87.68732"
"(217) 971-","Cell Number","Sangamon","Springfield","IL","Illinois","62764","Central","39.749457","-89.606017"
"(618) 348-","Landline","Franklin","Benton","IL","Illinois","62812","Central","37.994423","-88.907464"
"(618) 764-","Landline","Alexander","Thebes","IL","Illinois","62990","Central","37.221042","-89.459863"
"(847) 861-","Landline","Lake","Highland Park","IL","Illinois","60035","Central","42.187424","-87.811865"
"(847) 685-","Landline","Cook","Park Ridge","IL","Illinois","60068","Central","42.037228","-87.843714"
"(217) 917-","Landline","Macon","Decatur","IL","Illinois","62525","Central","39.853981","-88.981511"
"(630) 819-","Cell Number","Du Page","Hinsdale","IL","Illinois","60521","Central","41.78213","-87.966845"
"(815) 215-","Landline","Will","New Lenox","IL","Illinois","60451","Central","41.510802","-87.961808"
"(847) 231-","Landline","Lake","Grayslake","IL","Illinois","60030","Central","42.352423","-88.054502"
"(708) 727-","Cell Number","Cook","La Grange Park","IL","Illinois","60526","Central","41.811929","-87.68732"
"(773) 562-","Cell Number","Cook","Chicago","IL","Illinois","60637","Central","41.811929","-87.68732"
"(217) 430-","Cell Number","Adams","Quincy","IL","Illinois","62305","Central","39.96008","-91.302633"
"(773) 290-","Landline","Cook","Chicago","IL","Illinois","60637","Central","41.811929","-87.68732"
"(847) 896-","Cell Number","Cook","Northbrook","IL","Illinois","60062","Central","42.120176","-87.838815"
"(708) 824-","Landline","Cook","Blue Island","IL","Illinois","60406","Central","41.811929","-87.68732"
"(630) 840-","Landline","Kane","Batavia","IL","Illinois","60510","Central","41.828292","-88.407334"
"(847) 460-","Landline","Cook","Des Plaines","IL","Illinois","60019","Central","42.024278","-87.907066"
"(618) 942-","Landline","Williamson","Herrin","IL","Illinois","62948","Central","37.740444","-88.992312"
"(217) 214-","Landline","Adams","Quincy","IL","Illinois","62305","Central","39.96008","-91.302633"
