"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(317) 457-","Cell Number","Marion","Indianapolis","IN","Indiana","46204","Eastern","39.772692","-86.158038"
"(317) 243-","Landline","Marion","Indianapolis","IN","Indiana","46204","Eastern","39.772692","-86.158038"
"(260) 839-","Landline","Whitley","South Whitley","IN","Indiana","46787","Eastern","41.071204","-85.510981"
"(765) 377-","Landline","Howard","Connersville","IN","Indiana","47331","Eastern","39.656933","-85.168099"
"(812) 944-","Landline","Floyd","New Albany","IN","Indiana","47151","Eastern / Central","38.298486","-85.896961"
"(260) 430-","Cell Number","Allen","Fort Wayne","IN","Indiana","46818","Eastern","41.112548","-85.203895"
"(317) 395-","Landline","Shelby","Shelbyville","IN","Indiana","46176","Eastern","39.511568","-85.791993"
"(260) 228-","Cell Number","Huntington","Warren","IN","Indiana","46792","Eastern","40.712066","-85.468798"
"(317) 851-","Landline","Marion","Indianapolis","IN","Indiana","46204","Eastern","39.772692","-86.158038"
"(765) 412-","Cell Number","Tippecanoe","Lafayette","IN","Indiana","47901","Eastern","40.39905","-86.830286"
"(219) 655-","Landline","Lake","Whiting","IN","Indiana","46394","Eastern / Central","41.656785","-87.493392"
"(812) 734-","Landline","Harrison","Corydon","IN","Indiana","47112","Eastern / Central","38.1863","-86.145211"
"(317) 963-","Landline","Marion","Indianapolis","IN","Indiana","46204","Eastern","39.772692","-86.158038"
"(812) 282-","Landline","Clark","Jeffersonville","IN","Indiana","47144","Eastern / Central","38.286819","-85.732062"
"(812) 910-","Cell Number","Knox","Bicknell","IN","Indiana","47512","Eastern / Central","38.741286","-87.346192"
"(260) 744-","Landline","Allen","Fort Wayne","IN","Indiana","46818","Eastern","41.112548","-85.203895"
"(260) 450-","Cell Number","Allen","Fort Wayne","IN","Indiana","46818","Eastern","41.112548","-85.203895"
"(574) 267-","Landline","Kosciusko","Warsaw","IN","Indiana","46582","Eastern / Central","41.254225","-85.849508"
