"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(620) 205-","Cell Number","Montgomery","Independence","KS","Kansas","67301","Central / Mountain","37.180636","-95.756197"
"(785) 793-","Landline","Osage","Scranton","KS","Kansas","66537","Central / Mountain","38.74633","-95.675159"
"(316) 807-","Cell Number","Sedgwick","Wichita","KS","Kansas","67206","Central","37.613954","-97.342752"
"(620) 603-","Landline","Barton","Great Bend","KS","Kansas","67530","Central / Mountain","38.393567","-98.775074"
"(316) 587-","Unknown","Harvey","Newton","KS","Kansas","67114","Central","38.044857","-97.317279"
"(785) 818-","Landline","Cloud","Concordia","KS","Kansas","66901","Central / Mountain","39.551634","-97.656764"
"(620) 263-","Landline","Coffey","Burlington","KS","Kansas","66839","Central / Mountain","38.236316","-95.733598"
"(785) 273-","Landline","Shawnee","Topeka","KS","Kansas","66616","Central / Mountain","39.065477","-95.626357"
"(785) 384-","Cell Number","Lincoln","Lincoln","KS","Kansas","67455","Central / Mountain","39.102718","-98.214909"
"(620) 597-","Landline","Labette","Oswego","KS","Kansas","67356","Central / Mountain","37.18919","-95.242611"
"(620) 851-","Cell Number","Pawnee","Larned","KS","Kansas","67550","Central / Mountain","38.194644","-99.10096"
"(785) 240-","Landline","Geary","Junction City","KS","Kansas","66441","Central / Mountain","39.026465","-96.783359"
"(620) 262-","Landline","Cowley","Winfield","KS","Kansas","67156","Central / Mountain","37.232126","-96.996334"
"(785) 268-","Cell Number","Marshall","Marysville","KS","Kansas","66508","Central / Mountain","39.863544","-96.617219"
"(785) 771-","Landline","Jackson","Delia","KS","Kansas","66418","Central / Mountain","39.300065","-95.900691"
"(620) 855-","Landline","Gray","Cimarron","KS","Kansas","67835","Central / Mountain","37.803608","-100.338634"
"(620) 427-","Landline","Greenwood","Madison","KS","Kansas","66860","Central / Mountain","38.061943","-96.144795"
"(785) 943-","Landline","Wallace","Weskan","KS","Kansas","67762","Central / Mountain","38.916183","-101.762678"
"(620) 252-","Landline","Montgomery","Coffeyville","KS","Kansas","67337","Central / Mountain","37.146267","-95.748313"
"(785) 593-","Landline","Cloud","Glasco","KS","Kansas","67445","Central / Mountain","39.36117","-97.83825"
"(785) 381-","Unknown","Lincoln","Sylvan Grove","KS","Kansas","67481","Central / Mountain","38.969795","-98.435528"
"(785) 810-","Unknown","Ellsworth","Ellsworth","KS","Kansas","67439","Central / Mountain","38.696579","-98.205437"
"(620) 443-","Landline","Lyon","Americus","KS","Kansas","66835","Central / Mountain","38.556174","-96.261884"
