"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(502) 535-","Landline","Scott","Stamping Ground","KY","Kentucky","40379","Eastern","38.306329","-84.676123"
"(502) 807-","Landline","Jefferson","Louisville","KY","Kentucky","40242","Eastern","38.278469","-85.59396"
"(270) 530-","Unknown","Marshall","Hardin","KY","Kentucky","42048","Eastern / Central","36.817672","-88.30444"
"(270) 736-","Landline","Mclean","Sacramento","KY","Kentucky","42372","Eastern / Central","37.488059","-87.258644"
"(270) 867-","Landline","Marion","Lebanon","KY","Kentucky","40033","Eastern / Central","37.541558","-85.256025"
"(270) 624-","Landline","Henderson","Henderson","KY","Kentucky","42420","Eastern / Central","37.785068","-87.527383"
"(606) 670-","Cell Number","Bell","Middlesboro","KY","Kentucky","40965","Eastern / Central","36.669566","-83.693159"
"(502) 751-","Cell Number","Jefferson","Louisville","KY","Kentucky","40242","Eastern","38.278469","-85.59396"
"(270) 370-","Landline","Fulton","Elizabethtown","KY","Kentucky","42702","Eastern / Central","37.723474","-85.976854"
"(270) 406-","Landline","Cumberland","Burkesville","KY","Kentucky","42717","Eastern / Central","36.769106","-85.408741"
"(502) 782-","Unknown","Franklin","Frankfort","KY","Kentucky","40601","Eastern","38.228115","-84.869708"
"(502) 249-","Cell Number","Nelson","Bardstown","KY","Kentucky","40004","Eastern","37.822585","-85.466944"
"(606) 215-","Cell Number","Whitley","Corbin","KY","Kentucky","40702","Eastern / Central","36.937426","-84.1031"
"(606) 331-","Cell Number","Boyd","Ashland","KY","Kentucky","41102","Eastern / Central","38.421818","-82.717284"
"(270) 990-","Unknown","Hardin","Elizabethtown","KY","Kentucky","42702","Eastern / Central","37.723474","-85.976854"
"(270) 956-","Landline","Christian","Oak Grove","KY","Kentucky","42262","Eastern / Central","36.738092","-87.429302"
"(270) 670-","Landline","Barren","Glasgow","KY","Kentucky","42142","Eastern / Central","36.946326","-85.957797"
"(859) 494-","Cell Number","Fayette","Lexington","KY","Kentucky","40511","Eastern","38.132747","-84.492226"
"(606) 573-","Landline","Harlan","Harlan","KY","Kentucky","40831","Eastern / Central","36.861519","-83.203025"
"(270) 822-","Landline","Union","Uniontown","KY","Kentucky","42461","Eastern / Central","37.717433","-87.914375"
"(859) 392-","Landline","Kenton","Covington","KY","Kentucky","41019","Eastern","38.944663","-84.520501"
"(270) 569-","Landline","Christian","Hopkinsville","KY","Kentucky","42240","Eastern / Central","36.876568","-87.471106"
"(270) 662-","Landline","Butler","Morgantown","KY","Kentucky","42261","Eastern / Central","37.20017","-86.685898"
"(606) 498-","Cell Number","Greenup","South Shore","KY","Kentucky","41175","Eastern / Central","38.714809","-82.936626"
"(270) 236-","Landline","Fulton","Hickman","KY","Kentucky","42050","Eastern / Central","36.548671","-89.208001"
"(270) 944-","Unknown","Breckinridge","Mc Daniels","KY","Kentucky","40152","Eastern / Central","37.619425","-86.449076"
"(502) 427-","Landline","Scott","Georgetown","KY","Kentucky","40324","Eastern","38.239718","-84.574498"
"(859) 496-","Cell Number","Kenton","Covington","KY","Kentucky","41019","Eastern","38.944663","-84.520501"
"(859) 901-","Landline","Clark","Winchester","KY","Kentucky","40391","Eastern","37.964922","-84.160724"
"(270) 731-","Landline","Logan","Russellville","KY","Kentucky","42276","Eastern / Central","36.845273","-86.882321"
"(502) 213-","Landline","Jefferson","Louisville","KY","Kentucky","40242","Eastern","38.278469","-85.59396"
"(859) 908-","Landline","Campbell","Covington","KY","Kentucky","41019","Eastern","38.944663","-84.520501"
"(270) 755-","Landline","Logan","Lewisburg","KY","Kentucky","42256","Eastern / Central","36.907058","-86.918045"
"(606) 265-","Landline","Johnson","Flatgap","KY","Kentucky","41219","Eastern / Central","37.923134","-82.922077"
"(606) 276-","Cell Number","Knott","Hindman","KY","Kentucky","41822","Eastern / Central","37.367278","-82.961977"
"(606) 508-","Unknown","Harlan","Cumberland","KY","Kentucky","40823","Eastern / Central","36.912209","-83.163759"
"(502) 267-","Landline","Jefferson","Louisville","KY","Kentucky","40242","Eastern","38.278469","-85.59396"
"(502) 625-","Landline","Jefferson","Louisville","KY","Kentucky","40242","Eastern","38.278469","-85.59396"
