"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(985) 265-","Landline","Saint Tammany","Slidell","LA","Louisiana","70459","Central","30.42551","-89.881256"
"(225) 600-","Unknown","Livingston","Maurepas","LA","Louisiana","70449","Central","30.342352","-90.685853"
"(318) 218-","Cell Number","Caddo","Shreveport","LA","Louisiana","71130","Central","32.607556","-93.75256"
"(318) 909-","Landline","Bossier","Haughton","LA","Louisiana","71037","Central","32.585005","-93.533104"
"(504) 658-","Landline","Orleans","New Orleans","LA","Louisiana","70190","Central","30.032997","-89.882564"
"(225) 221-","Cell Number","East Baton Rouge","Baton Rouge","LA","Louisiana","70801","Central","30.44924","-91.185607"
"(318) 389-","Landline","Catahoula","Sicily Island","LA","Louisiana","71368","Central","31.848184","-91.661308"
"(985) 875-","Landline","Saint Tammany","Covington","LA","Louisiana","70433","Central","30.435893","-90.011991"
"(504) 227-","Landline","Orleans","New Orleans","LA","Louisiana","70190","Central","30.032997","-89.882564"
"(318) 658-","Unknown","Caddo","Shreveport","LA","Louisiana","71130","Central","32.607556","-93.75256"
"(318) 927-","Landline","Claiborne","Homer","LA","Louisiana","71040","Central","32.775361","-93.000406"
"(225) 933-","Cell Number","East Baton Rouge","Baton Rouge","LA","Louisiana","70801","Central","30.44924","-91.185607"
"(318) 239-","Landline","Morehouse","Bastrop","LA","Louisiana","71221","Central","32.823863","-91.843528"
"(318) 724-","Landline","Franklin","Wisner","LA","Louisiana","71378","Central","31.961337","-91.660042"
"(985) 893-","Landline","Saint Tammany","Covington","LA","Louisiana","70433","Central","30.435893","-90.011991"
"(225) 923-","Landline","East Baton Rouge","Baton Rouge","LA","Louisiana","70801","Central","30.44924","-91.185607"
"(337) 387-","Cell Number","Jefferson Davis","Welsh","LA","Louisiana","70591","Central","30.294276","-92.833656"
"(318) 696-","Cell Number","Rapides","Alexandria","LA","Louisiana","71301","Central","31.175885","-92.431184"
"(985) 640-","Cell Number","Saint Tammany","Slidell","LA","Louisiana","70459","Central","30.42551","-89.881256"
"(504) 655-","Cell Number","Orleans","New Orleans","LA","Louisiana","70190","Central","30.032997","-89.882564"
"(225) 686-","Landline","Livingston","Livingston","LA","Louisiana","70754","Central","30.407207","-90.743125"
"(504) 416-","Cell Number","Orleans","New Orleans","LA","Louisiana","70190","Central","30.032997","-89.882564"
"(337) 456-","Landline","Lafayette","Lafayette","LA","Louisiana","70596","Central","30.20812","-92.095109"
"(504) 813-","Cell Number","Jefferson","Kenner","LA","Louisiana","70064","Central","29.677893","-90.0901"
"(337) 219-","Cell Number","Calcasieu","Lake Charles","LA","Louisiana","70612","Central","30.264232","-93.326527"
"(504) 546-","Cell Number","Orleans","New Orleans","LA","Louisiana","70190","Central","30.032997","-89.882564"
"(318) 520-","Landline","Bienville","Castor","LA","Louisiana","71016","Central","32.240987","-93.104385"
"(985) 241-","Landline","Washington","Bogalusa","LA","Louisiana","70429","Central","30.83503","-90.037115"
"(504) 346-","Unknown","Jefferson","Kenner","LA","Louisiana","70064","Central","29.677893","-90.0901"
"(318) 263-","Landline","Bienville","Arcadia","LA","Louisiana","71001","Central","32.376273","-92.970592"
"(337) 416-","Cell Number","Allen","Reeves","LA","Louisiana","70658","Central","30.511148","-93.036823"
"(504) 681-","Landline","Orleans","New Orleans","LA","Louisiana","70190","Central","30.032997","-89.882564"
"(337) 402-","Landline","Lafayette","Lafayette","LA","Louisiana","70596","Central","30.20812","-92.095109"
"(985) 902-","Landline","Tangipahoa","Hammond","LA","Louisiana","70402","Central","30.513982","-90.480403"
"(985) 776-","Landline","Tangipahoa","Hammond","LA","Louisiana","70402","Central","30.513982","-90.480403"
"(337) 479-","Landline","Calcasieu","Lake Charles","LA","Louisiana","70612","Central","30.264232","-93.326527"
"(985) 360-","Landline","Terrebonne","Houma","LA","Louisiana","70360","Central","29.6421","-90.852551"
"(337) 303-","Landline","Lafayette","Lafayette","LA","Louisiana","70596","Central","30.20812","-92.095109"
"(337) 426-","Unknown","Calcasieu","Lake Charles","LA","Louisiana","70612","Central","30.264232","-93.326527"
"(337) 829-","Landline","Saint Mary","Franklin","LA","Louisiana","70538","Central","29.720652","-91.540902"
"(985) 661-","Landline","Saint Tammany","Slidell","LA","Louisiana","70459","Central","30.42551","-89.881256"
"(318) 816-","Cell Number","Ouachita","Monroe","LA","Louisiana","71211","Central","32.490777","-92.159354"
"(337) 572-","Landline","Lafayette","Lafayette","LA","Louisiana","70596","Central","30.20812","-92.095109"
"(337) 250-","Cell Number","Acadia","Crowley","LA","Louisiana","70526","Central","30.228294","-92.438484"
"(225) 367-","Unknown","East Baton Rouge","Baton Rouge","LA","Louisiana","70801","Central","30.44924","-91.185607"
"(337) 532-","Cell Number","Calcasieu","Lake Charles","LA","Louisiana","70612","Central","30.264232","-93.326527"
"(318) 904-","Landline","Caddo","Oil City","LA","Louisiana","71061","Central","32.755816","-93.966734"
"(225) 496-","Cell Number","East Baton Rouge","Baton Rouge","LA","Louisiana","70801","Central","30.44924","-91.185607"
"(318) 336-","Landline","Concordia","Vidalia","LA","Louisiana","71373","Central","31.408218","-91.546425"
"(337) 357-","Cell Number","Iberia","Jeanerette","LA","Louisiana","70544","Central","29.936497","-91.724248"
"(225) 245-","Cell Number","West Feliciana","Saint Francisville","LA","Louisiana","70775","Central","30.869398","-91.418642"
"(504) 304-","Landline","Jefferson","New Orleans","LA","Louisiana","70190","Central","30.032997","-89.882564"
"(337) 598-","Landline","Cameron","Hackberry","LA","Louisiana","70645","Central","29.897443","-93.368241"
"(337) 293-","Cell Number","Lafayette","Lafayette","LA","Louisiana","70596","Central","30.20812","-92.095109"
"(225) 573-","Cell Number","East Baton Rouge","Baton Rouge","LA","Louisiana","70801","Central","30.44924","-91.185607"
"(318) 240-","Landline","Avoyelles","Marksville","LA","Louisiana","71351","Central","31.114424","-92.019522"
"(985) 228-","Cell Number","Lafourche","Thibodaux","LA","Louisiana","70310","Central","29.803282","-90.816914"
"(225) 603-","Cell Number","East Baton Rouge","Baton Rouge","LA","Louisiana","70801","Central","30.44924","-91.185607"
"(337) 693-","Cell Number","Lafayette","Lafayette","LA","Louisiana","70596","Central","30.20812","-92.095109"
"(337) 212-","Cell Number","Lafayette","Lafayette","LA","Louisiana","70596","Central","30.20812","-92.095109"
"(225) 334-","Landline","East Baton Rouge","Baton Rouge","LA","Louisiana","70801","Central","30.44924","-91.185607"
"(318) 476-","Landline","Natchitoches","Campti","LA","Louisiana","71411","Central","31.83009","-93.148989"
"(225) 612-","Landline","East Baton Rouge","Baton Rouge","LA","Louisiana","70801","Central","30.44924","-91.185607"
"(337) 625-","Landline","Calcasieu","Sulphur","LA","Louisiana","70663","Central","30.300185","-93.435063"
"(504) 426-","Landline","Orleans","New Orleans","LA","Louisiana","70190","Central","30.032997","-89.882564"
"(985) 503-","Cell Number","Saint Tammany","Slidell","LA","Louisiana","70459","Central","30.42551","-89.881256"
"(504) 595-","Landline","Orleans","New Orleans","LA","Louisiana","70190","Central","30.032997","-89.882564"
"(337) 415-","Landline","Calcasieu","Lake Charles","LA","Louisiana","70612","Central","30.264232","-93.326527"
"(318) 355-","Cell Number","Ouachita","Monroe","LA","Louisiana","71211","Central","32.490777","-92.159354"
"(225) 767-","Landline","East Baton Rouge","Baton Rouge","LA","Louisiana","70801","Central","30.44924","-91.185607"
"(985) 612-","Landline","Saint Tammany","Mandeville","LA","Louisiana","70448","Central","30.37706","-89.977719"
"(504) 598-","Landline","Orleans","New Orleans","LA","Louisiana","70190","Central","30.032997","-89.882564"
"(318) 767-","Landline","Rapides","Alexandria","LA","Louisiana","71301","Central","31.175885","-92.431184"
"(985) 262-","Unknown","Terrebonne","Houma","LA","Louisiana","70360","Central","29.6421","-90.852551"
"(337) 227-","Cell Number","Acadia","Church Point","LA","Louisiana","70525","Central","30.382556","-92.318696"
"(504) 359-","Unknown","Orleans","New Orleans","LA","Louisiana","70190","Central","30.032997","-89.882564"
"(337) 437-","Landline","Calcasieu","Lake Charles","LA","Louisiana","70612","Central","30.264232","-93.326527"
"(337) 502-","Landline","Calcasieu","Lake Charles","LA","Louisiana","70612","Central","30.264232","-93.326527"
"(225) 336-","Landline","East Baton Rouge","Baton Rouge","LA","Louisiana","70801","Central","30.44924","-91.185607"
"(337) 566-","Landline","Saint Landry","Krotz Springs","LA","Louisiana","70750","Central","30.525441","-91.907178"
"(225) 308-","Unknown","East Baton Rouge","Baton Rouge","LA","Louisiana","70801","Central","30.44924","-91.185607"
"(318) 995-","Landline","Caddo","Oil City","LA","Louisiana","71061","Central","32.755816","-93.966734"
