"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(978) 746-","Landline","Middlesex","Lowell","MA","Massachusetts","1852","Eastern","42.446396","-71.459405"
"(978) 491-","Landline","Essex","Gloucester","MA","Massachusetts","1931","Eastern","42.635443","-70.879123"
"(617) 221-","Landline","Norfolk","Quincy","MA","Massachusetts","2269","Eastern","42.180048","-71.08923"
"(781) 405-","Cell Number","Middlesex","Woburn","MA","Massachusetts","1815","Eastern","42.446396","-71.459405"
"(978) 767-","Landline","Essex","Danvers","MA","Massachusetts","1923","Eastern","42.577188","-70.949245"
"(978) 291-","Landline","Essex","Lawrence","MA","Massachusetts","1843","Eastern","42.71037","-71.088303"
"(617) 741-","Landline","Middlesex","Somerville","MA","Massachusetts","2145","Eastern","42.391046","-71.095146"
"(413) 426-","Landline","Hampden","Springfield","MA","Massachusetts","1103","Eastern","42.103044","-72.590783"
"(617) 491-","Landline","Middlesex","Cambridge","MA","Massachusetts","2238","Eastern","42.446396","-71.459405"
"(781) 222-","Landline","Middlesex","Burlington","MA","Massachusetts","1805","Eastern","42.446396","-71.459405"
"(617) 502-","Landline","Suffolk","Boston","MA","Massachusetts","2266","Eastern","42.338947","-70.919635"
"(978) 958-","Landline","Worcester","Gardner","MA","Massachusetts","1440","Eastern","42.582529","-72.025884"
"(978) 682-","Landline","Essex","Lawrence","MA","Massachusetts","1843","Eastern","42.71037","-71.088303"
"(413) 881-","Landline","Berkshire","Lenox","MA","Massachusetts","1240","Eastern","42.459202","-73.219858"
"(978) 417-","Cell Number","Essex","Newburyport","MA","Massachusetts","1950","Eastern","42.80965","-70.873196"
"(413) 523-","Landline","Hampden","Springfield","MA","Massachusetts","1103","Eastern","42.103044","-72.590783"
"(978) 447-","Landline","Middlesex","Lowell","MA","Massachusetts","1852","Eastern","42.446396","-71.459405"
"(617) 690-","Landline","Suffolk","Boston","MA","Massachusetts","2266","Eastern","42.338947","-70.919635"
"(978) 716-","Landline","Essex","Danvers","MA","Massachusetts","1923","Eastern","42.577188","-70.949245"
"(617) 274-","Landline","Norfolk","Brookline","MA","Massachusetts","2445","Eastern","42.318097","-71.143697"
"(413) 586-","Landline","Hampshire","Northampton","MA","Massachusetts","1063","Eastern","42.317939","-72.640234"
"(617) 924-","Landline","Middlesex","Watertown","MA","Massachusetts","2477","Eastern","42.446396","-71.459405"
"(617) 507-","Landline","Suffolk","Boston","MA","Massachusetts","2266","Eastern","42.338947","-70.919635"
