"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(301) 408-","Landline","Prince George's","Hyattsville","MD","Maryland","20788","Eastern","38.969434","-76.950913"
"(410) 979-","Cell Number","Baltimore","Catonsville","MD","Maryland","21228","Eastern","39.274156","-76.631074"
"(301) 971-","Landline","Prince George's","Oxon Hill","MD","Maryland","20750","Eastern","38.833563","-76.877743"
"(410) 322-","Cell Number","Harford","Bel Air","MD","Maryland","21014","Eastern","39.547557","-76.321984"
"(301) 652-","Landline","Montgomery","Chevy Chase","MD","Maryland","20815","Eastern","38.983759","-77.079449"
"(410) 872-","Landline","Howard","Columbia","MD","Maryland","21045","Eastern","39.207806","-76.825475"
"(410) 765-","Landline","Anne Arundel","Linthicum Heights","MD","Maryland","21090","Eastern","39.068309","-76.631743"
"(410) 443-","Landline","Talbot","Easton","MD","Maryland","21601","Eastern","38.800714","-76.051486"
"(301) 439-","Landline","Prince George's","Hyattsville","MD","Maryland","20788","Eastern","38.969434","-76.950913"
"(410) 662-","Landline","Baltimore City","Baltimore","MD","Maryland","21213","Eastern","39.306606","-76.603338"
"(301) 355-","Landline","Montgomery","Gaithersburg","MD","Maryland","20886","Eastern","39.175703","-77.18725"
"(410) 695-","Landline","Anne Arundel","Odenton","MD","Maryland","21113","Eastern","38.975412","-76.586886"
"(410) 476-","Landline","Talbot","Trappe","MD","Maryland","21673","Eastern","38.664452","-76.058006"
"(410) 379-","Landline","Howard","Elkridge","MD","Maryland","21075","Eastern","39.205756","-76.753093"
"(301) 984-","Landline","Montgomery","Rockville","MD","Maryland","20857","Eastern","39.143979","-77.207617"
"(301) 543-","Landline","Prince George's","Laurel","MD","Maryland","20709","Eastern","38.833563","-76.877743"
"(301) 255-","Landline","Montgomery","Rockville","MD","Maryland","20857","Eastern","39.143979","-77.207617"
"(410) 805-","Cell Number","Baltimore","Towson","MD","Maryland","21204","Eastern","39.407156","-76.60379"
"(410) 608-","Cell Number","Baltimore","Catonsville","MD","Maryland","21228","Eastern","39.274156","-76.631074"
"(301) 345-","Landline","Prince George's","Greenbelt","MD","Maryland","20768","Eastern","38.833563","-76.877743"
"(301) 941-","Landline","Montgomery","Chevy Chase","MD","Maryland","20815","Eastern","38.983759","-77.079449"
"(301) 617-","Landline","Prince George's","Laurel","MD","Maryland","20709","Eastern","38.833563","-76.877743"
"(410) 208-","Landline","Worcester","Berlin","MD","Maryland","21811","Eastern","38.310447","-75.320901"
"(301) 969-","Unknown","Frederick","Brunswick","MD","Maryland","21716","Eastern","39.317945","-77.624701"
"(410) 755-","Landline","Cecil","Warwick","MD","Maryland","21912","Eastern","39.533058","-75.915203"
"(301) 840-","Landline","Montgomery","Gaithersburg","MD","Maryland","20886","Eastern","39.175703","-77.18725"
"(410) 261-","Landline","Baltimore City","Baltimore","MD","Maryland","21213","Eastern","39.306606","-76.603338"
"(410) 953-","Landline","Howard","Columbia","MD","Maryland","21045","Eastern","39.207806","-76.825475"
"(301) 514-","Cell Number","Frederick","Frederick","MD","Maryland","21709","Eastern","39.469961","-77.392139"
"(410) 948-","Cell Number","Baltimore","Catonsville","MD","Maryland","21228","Eastern","39.274156","-76.631074"
"(301) 470-","Landline","Prince George's","Laurel","MD","Maryland","20709","Eastern","38.833563","-76.877743"
"(410) 991-","Cell Number","Anne Arundel","Annapolis","MD","Maryland","21412","Eastern","38.974203","-76.594942"
"(410) 290-","Landline","Howard","Columbia","MD","Maryland","21045","Eastern","39.207806","-76.825475"
