"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(207) 765-","Landline","Penobscot","Mattawamkeag","ME","Maine","4459","Eastern","45.519867","-68.647416"
"(207) 439-","Landline","York","Kittery","ME","Maine","3904","Eastern","43.191554","-70.684607"
"(207) 821-","Cell Number","Cumberland","Portland","ME","Maine","4103","Eastern","43.68826","-70.289844"
"(207) 992-","Landline","Penobscot","Bangor","ME","Maine","4402","Eastern","45.519867","-68.647416"
"(207) 697-","Landline","Oxford","Lovell","ME","Maine","4051","Eastern","44.139839","-70.886741"
"(207) 740-","Cell Number","Androscoggin","Lewiston","ME","Maine","4243","Eastern","44.197009","-70.239485"
"(207) 361-","Landline","York","Wells","ME","Maine","4090","Eastern","43.429659","-70.671274"
"(207) 350-","Cell Number","Lincoln","Boothbay Harbor","ME","Maine","4538","Eastern","43.956167","-69.517161"
"(207) 259-","Landline","Washington","Machiasport","ME","Maine","4655","Eastern","45.002969","-67.495548"
"(207) 966-","Landline","Oxford","Hebron","ME","Maine","4238","Eastern","44.22564","-70.372831"
"(207) 553-","Landline","Cumberland","Portland","ME","Maine","4103","Eastern","43.68826","-70.289844"
"(207) 642-","Landline","Cumberland","Steep Falls","ME","Maine","4085","Eastern","43.771934","-70.639561"
"(207) 678-","Landline","Franklin","Kingfield","ME","Maine","4947","Eastern","45.063384","-70.381639"
"(207) 397-","Landline","Somerset","Smithfield","ME","Maine","4978","Eastern","44.62111","-69.770923"
"(207) 513-","Unknown","Androscoggin","Lewiston","ME","Maine","4243","Eastern","44.197009","-70.239485"
"(207) 488-","Landline","Aroostook","Easton","ME","Maine","4740","Eastern","46.611101","-67.85582"
"(207) 725-","Landline","Cumberland","Brunswick","ME","Maine","4011","Eastern","43.935634","-70.340652"
"(207) 330-","Unknown","Androscoggin","Lewiston","ME","Maine","4243","Eastern","44.197009","-70.239485"
"(207) 685-","Landline","Kennebec","Readfield","ME","Maine","4355","Eastern","44.38484","-69.953716"
"(207) 406-","Unknown","Cumberland","Brunswick","ME","Maine","4011","Eastern","43.935634","-70.340652"
"(207) 938-","Landline","Somerset","Hartland","ME","Maine","4943","Eastern","44.896404","-69.464092"
"(207) 667-","Landline","Hancock","Ellsworth","ME","Maine","4605","Eastern","44.477935","-68.356311"
"(207) 328-","Landline","Aroostook","Limestone","ME","Maine","4751","Eastern","46.892918","-67.9643"
"(207) 741-","Landline","Cumberland","Portland","ME","Maine","4103","Eastern","43.68826","-70.289844"
"(207) 226-","Landline","Knox","Rockland","ME","Maine","4841","Eastern","44.128607","-69.068648"
"(207) 223-","Landline","Waldo","Winterport","ME","Maine","4496","Eastern","44.65337","-68.917487"
"(207) 930-","Landline","Waldo","Belfast","ME","Maine","4915","Eastern","44.404619","-69.040297"
"(207) 947-","Landline","Penobscot","Bangor","ME","Maine","4402","Eastern","45.519867","-68.647416"
"(207) 885-","Landline","Cumberland","Scarborough","ME","Maine","4074","Eastern","43.724562","-70.375162"
"(207) 546-","Landline","Washington","Harrington","ME","Maine","4643","Eastern","45.002969","-67.495548"
"(207) 561-","Landline","Penobscot","Bangor","ME","Maine","4402","Eastern","45.519867","-68.647416"
"(207) 783-","Landline","Androscoggin","Lewiston","ME","Maine","4243","Eastern","44.197009","-70.239485"
"(207) 780-","Landline","Cumberland","Portland","ME","Maine","4103","Eastern","43.68826","-70.289844"
"(207) 591-","Landline","Cumberland","Portland","ME","Maine","4103","Eastern","43.68826","-70.289844"
"(207) 779-","Landline","Franklin","Farmington","ME","Maine","4938","Eastern","44.650311","-70.129267"
"(207) 594-","Landline","Knox","Rockland","ME","Maine","4841","Eastern","44.128607","-69.068648"
"(207) 683-","Landline","Somerset","Harmony","ME","Maine","4942","Eastern","44.973047","-69.548148"
"(207) 712-","Cell Number","Cumberland","Portland","ME","Maine","4103","Eastern","43.68826","-70.289844"
"(207) 622-","Landline","Kennebec","Augusta","ME","Maine","4330","Eastern","44.351642","-69.803773"
"(207) 694-","Cell Number","Aroostook","Houlton","ME","Maine","4730","Eastern","46.121345","-67.833009"
"(207) 702-","Unknown","Hancock","Bucksport","ME","Maine","4416","Eastern","44.600448","-68.773241"
"(207) 681-","Cell Number","Cumberland","Portland","ME","Maine","4103","Eastern","43.68826","-70.289844"
"(207) 715-","Unknown","York","Berwick","ME","Maine","3901","Eastern","43.279539","-70.740013"
"(207) 567-","Landline","Waldo","Stockton Springs","ME","Maine","4981","Eastern","44.501114","-68.891743"
"(207) 755-","Landline","Androscoggin","Lewiston","ME","Maine","4243","Eastern","44.197009","-70.239485"
"(207) 832-","Landline","Lincoln","Waldoboro","ME","Maine","4572","Eastern","44.038581","-69.415708"
"(207) 631-","Cell Number","Penobscot","Bangor","ME","Maine","4402","Eastern","45.519867","-68.647416"
"(207) 203-","Unknown","Kennebec","Gardiner","ME","Maine","4345","Eastern","44.296652","-69.796909"
"(207) 924-","Landline","Penobscot","Dexter","ME","Maine","4930","Eastern","44.964532","-69.203773"
"(207) 298-","Unknown","York","Buxton","ME","Maine","4093","Eastern","43.653805","-70.622959"
"(207) 215-","Cell Number","Kennebec","Augusta","ME","Maine","4330","Eastern","44.351642","-69.803773"
"(207) 469-","Landline","Hancock","Bucksport","ME","Maine","4416","Eastern","44.600448","-68.773241"
"(207) 409-","Cell Number","Cumberland","Portland","ME","Maine","4103","Eastern","43.68826","-70.289844"
"(207) 268-","Landline","Kennebec","Litchfield","ME","Maine","4350","Eastern","44.158104","-69.95404"
"(207) 399-","Cell Number","Somerset","Skowhegan","ME","Maine","4976","Eastern","44.769303","-69.593975"
"(207) 871-","Landline","Cumberland","Portland","ME","Maine","4103","Eastern","43.68826","-70.289844"
"(207) 342-","Landline","Waldo","Morrill","ME","Maine","4952","Eastern","44.39785","-69.142182"
"(207) 552-","Landline","Cumberland","Portland","ME","Maine","4103","Eastern","43.68826","-70.289844"
"(207) 775-","Landline","Cumberland","Portland","ME","Maine","4103","Eastern","43.68826","-70.289844"
"(207) 327-","Landline","Penobscot","Bradford","ME","Maine","4410","Eastern","45.058864","-68.95432"
"(207) 521-","Landline","Aroostook","Houlton","ME","Maine","4730","Eastern","46.121345","-67.833009"
"(207) 837-","Cell Number","Cumberland","Brunswick","ME","Maine","4011","Eastern","43.935634","-70.340652"
"(207) 227-","Cell Number","Aroostook","Presque Isle","ME","Maine","4769","Eastern","46.715072","-68.012557"
"(207) 449-","Cell Number","Cumberland","Brunswick","ME","Maine","4011","Eastern","43.935634","-70.340652"
"(207) 437-","Landline","Kennebec","Albion","ME","Maine","4910","Eastern","44.530366","-69.639976"
"(207) 463-","Landline","Aroostook","Oakfield","ME","Maine","4763","Eastern","46.09998","-68.14487"
"(207) 316-","Cell Number","Aroostook","Madawaska","ME","Maine","4756","Eastern","46.934538","-68.109616"
"(207) 621-","Landline","Kennebec","Augusta","ME","Maine","4330","Eastern","44.351642","-69.803773"
"(207) 540-","Cell Number","Aroostook","Presque Isle","ME","Maine","4769","Eastern","46.715072","-68.012557"
"(207) 933-","Landline","Kennebec","Monmouth","ME","Maine","4259","Eastern","44.349166","-69.870181"
"(207) 490-","Landline","York","Sanford","ME","Maine","4073","Eastern","43.576196","-70.630569"
"(207) 293-","Landline","Kennebec","Vienna","ME","Maine","4360","Eastern","44.414056","-69.751913"
"(207) 325-","Landline","Aroostook","Limestone","ME","Maine","4751","Eastern","46.892918","-67.9643"
"(207) 272-","Landline","Cumberland","Portland","ME","Maine","4103","Eastern","43.68826","-70.289844"
"(207) 264-","Cell Number","Cumberland","Portland","ME","Maine","4103","Eastern","43.68826","-70.289844"
"(207) 509-","Unknown","Kennebec","Waterville","ME","Maine","4903","Eastern","44.549225","-69.713178"
"(207) 944-","Cell Number","Penobscot","Bangor","ME","Maine","4402","Eastern","45.519867","-68.647416"
"(207) 693-","Landline","Cumberland","Naples","ME","Maine","4055","Eastern","43.957208","-70.639546"
"(207) 279-","Cell Number","Piscataquis","Brownville","ME","Maine","4414","Eastern","45.310095","-69.029462"
"(207) 716-","Unknown","Kennebec","Oakland","ME","Maine","4963","Eastern","44.557111","-69.826495"
"(207) 461-","Cell Number","Oxford","Norway","ME","Maine","4268","Eastern","44.280503","-70.691576"
"(207) 895-","Landline","Aroostook","Saint David","ME","Maine","4773","Eastern","46.516166","-68.886826"
"(207) 602-","Landline","York","Biddeford","ME","Maine","4007","Eastern","43.45813","-70.505301"
"(207) 836-","Landline","Oxford","Bethel","ME","Maine","4217","Eastern","44.428414","-70.770035"
"(207) 385-","Unknown","Penobscot","Bangor","ME","Maine","4402","Eastern","45.519867","-68.647416"
"(207) 867-","Landline","Knox","North Haven","ME","Maine","4853","Eastern","44.113472","-68.855722"
