"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(313) 331-","Landline","Wayne","Detroit","MI","Michigan","48210","Eastern","42.326937","-83.148424"
"(989) 731-","Landline","Otsego","Gaylord","MI","Michigan","49735","Eastern","45.000937","-84.624586"
"(517) 688-","Landline","Hillsdale","Jerome","MI","Michigan","49249","Eastern","42.029587","-84.468662"
"(313) 717-","Landline","Wayne","Detroit","MI","Michigan","48210","Eastern","42.326937","-83.148424"
"(313) 415-","Cell Number","Wayne","Melvindale","MI","Michigan","48122","Eastern","42.353686","-83.223427"
"(248) 284-","Landline","Oakland","Pontiac","MI","Michigan","48340","Eastern","42.670272","-83.289036"
"(810) 338-","Cell Number","Lapeer","Lapeer","MI","Michigan","48446","Eastern","43.121459","-83.319558"
"(734) 876-","Landline","Monroe","Maybee","MI","Michigan","48159","Eastern","42.041832","-83.557254"
"(989) 665-","Landline","Tuscola","Gagetown","MI","Michigan","48735","Eastern","43.599096","-83.340629"
"(248) 235-","Landline","Oakland","Royal Oak","MI","Michigan","48073","Eastern","42.5216","-83.163477"
"(517) 790-","Landline","Hillsdale","Jonesville","MI","Michigan","49250","Eastern","41.898745","-84.585577"
"(313) 399-","Landline","Wayne","Detroit","MI","Michigan","48210","Eastern","42.326937","-83.148424"
"(313) 804-","Cell Number","Wayne","Detroit","MI","Michigan","48210","Eastern","42.326937","-83.148424"
"(616) 881-","Cell Number","Kent","Grand Rapids","MI","Michigan","49512","Eastern","42.880192","-85.535214"
"(313) 385-","Landline","Wayne","Melvindale","MI","Michigan","48122","Eastern","42.353686","-83.223427"
"(616) 735-","Landline","Kent","Grand Rapids","MI","Michigan","49512","Eastern","42.880192","-85.535214"
"(989) 727-","Landline","Alpena","Hubbard Lake","MI","Michigan","49747","Eastern","44.909723","-83.608911"
"(248) 547-","Landline","Oakland","Royal Oak","MI","Michigan","48073","Eastern","42.5216","-83.163477"
"(810) 661-","Cell Number","Genesee","Flint","MI","Michigan","48551","Eastern","42.978995","-83.713124"
"(517) 794-","Cell Number","Ingham","Lansing","MI","Michigan","48913","Eastern","42.599184","-84.371973"
"(734) 695-","Unknown","Washtenaw","Ypsilanti","MI","Michigan","48197","Eastern","42.202139","-83.620494"
"(586) 372-","Landline","Macomb","Romeo","MI","Michigan","48065","Eastern","42.839951","-83.038836"
"(231) 789-","Landline","Benzie","Frankfort","MI","Michigan","49635","Eastern","44.613058","-86.177255"
"(269) 422-","Landline","Berrien","Baroda","MI","Michigan","49101","Eastern","41.949647","-86.475504"
"(734) 842-","Landline","Wayne","New Boston","MI","Michigan","48164","Eastern","42.135225","-83.390422"
"(810) 315-","Landline","Lapeer","Dryden","MI","Michigan","48428","Eastern","42.937629","-83.154685"
"(586) 349-","Landline","Macomb","Mount Clemens","MI","Michigan","48043","Eastern","42.597984","-82.877669"
"(231) 433-","Unknown","Missaukee","Merritt","MI","Michigan","49667","Eastern","44.343261","-84.944639"
"(616) 405-","Cell Number","Ottawa","Holland","MI","Michigan","49424","Eastern","42.924578","-86.121901"
"(517) 745-","Cell Number","Jackson","Jackson","MI","Michigan","49201","Eastern","42.248979","-84.421104"
"(734) 747-","Landline","Washtenaw","Ann Arbor","MI","Michigan","48113","Eastern","42.253502","-83.836571"
"(231) 499-","Cell Number","Grand Traverse","Traverse City","MI","Michigan","49685","Eastern","44.816178","-85.575147"
"(906) 279-","Landline","Ontonagon","Bruce Crossing","MI","Michigan","49912","Eastern / Central","46.475105","-89.222897"
"(231) 532-","Cell Number","Kalkaska","Kalkaska","MI","Michigan","49646","Eastern","44.697144","-85.092905"
"(906) 295-","Cell Number","Menominee","Powers","MI","Michigan","49874","Eastern / Central","45.703409","-87.512409"
"(810) 686-","Landline","Genesee","Clio","MI","Michigan","48420","Eastern","43.170497","-83.707374"
"(248) 766-","Landline","Oakland","Pontiac","MI","Michigan","48340","Eastern","42.670272","-83.289036"
"(734) 494-","Landline","Wayne","Romulus","MI","Michigan","48174","Eastern","42.20284","-83.351255"
"(269) 277-","Cell Number","Berrien","Benton Harbor","MI","Michigan","49022","Eastern","42.14338","-86.348568"
"(810) 878-","Landline","Sanilac","Croswell","MI","Michigan","48422","Eastern","43.252807","-82.644104"
"(989) 842-","Landline","Gratiot","Breckenridge","MI","Michigan","48615","Eastern","43.38631","-84.46894"
"(231) 333-","Landline","Cheboygan","Cheboygan","MI","Michigan","49721","Eastern","45.592842","-84.468639"
"(906) 367-","Landline","Iron","Iron River","MI","Michigan","49935","Eastern / Central","46.12047","-88.618995"
"(586) 404-","Unknown","Macomb","Roseville","MI","Michigan","48066","Eastern","42.509635","-82.936069"
"(734) 450-","Cell Number","Washtenaw","Ypsilanti","MI","Michigan","48197","Eastern","42.202139","-83.620494"
"(313) 924-","Landline","Wayne","Detroit","MI","Michigan","48210","Eastern","42.326937","-83.148424"
"(517) 849-","Landline","Hillsdale","Jonesville","MI","Michigan","49250","Eastern","41.898745","-84.585577"
"(734) 727-","Landline","Wayne","Wayne","MI","Michigan","48184","Eastern","42.263487","-83.395975"
"(989) 719-","Landline","Lapeer","Clifford","MI","Michigan","48727","Eastern","43.28298","-83.178182"
"(989) 324-","Cell Number","Bay","Pinconning","MI","Michigan","48650","Eastern","43.839179","-84.038715"
"(313) 294-","Landline","Wayne","Lincoln Park","MI","Michigan","48146","Eastern","42.242038","-83.180375"
"(517) 515-","Unknown","Ingham","Lansing","MI","Michigan","48913","Eastern","42.599184","-84.371973"
"(734) 345-","Landline","Wayne","Belleville","MI","Michigan","48112","Eastern","42.239933","-83.150823"
"(231) 414-","Landline","Newaygo","Newaygo","MI","Michigan","49337","Eastern","43.444927","-85.73898"
"(231) 683-","Landline","Muskegon","Muskegon","MI","Michigan","49443","Eastern","43.295493","-86.468853"
"(313) 872-","Landline","Wayne","Detroit","MI","Michigan","48210","Eastern","42.326937","-83.148424"
"(231) 344-","Landline","Emmet","Petoskey","MI","Michigan","49770","Eastern","45.355915","-84.913255"
"(810) 712-","Cell Number","Sanilac","Croswell","MI","Michigan","48422","Eastern","43.252807","-82.644104"
"(989) 915-","Landline","Crawford","Grayling","MI","Michigan","49739","Eastern","44.682996","-84.610441"
"(517) 325-","Landline","Ingham","Lansing","MI","Michigan","48913","Eastern","42.599184","-84.371973"
"(313) 706-","Cell Number","Wayne","Detroit","MI","Michigan","48210","Eastern","42.326937","-83.148424"
"(269) 764-","Landline","Van Buren","Covert","MI","Michigan","49043","Eastern","42.28054","-86.266608"
"(734) 748-","Cell Number","Wayne","Livonia","MI","Michigan","48151","Eastern","42.239933","-83.150823"
"(231) 839-","Landline","Missaukee","Lake City","MI","Michigan","49651","Eastern","44.376692","-85.0946"
"(989) 298-","Landline","Saginaw","Saginaw","MI","Michigan","48608","Eastern","43.348535","-84.032612"
"(734) 827-","Landline","Washtenaw","Ann Arbor","MI","Michigan","48113","Eastern","42.253502","-83.836571"
"(231) 386-","Landline","Leelanau","Northport","MI","Michigan","49670","Eastern","45.12216","-85.61847"
"(734) 535-","Landline","Wayne","Flat Rock","MI","Michigan","48134","Eastern","42.116811","-83.300439"
"(734) 257-","Landline","Washtenaw","Whitmore Lake","MI","Michigan","48189","Eastern","42.386914","-83.783736"
"(517) 602-","Landline","Livingston","Howell","MI","Michigan","48843","Eastern","42.630687","-83.910266"
"(810) 973-","Landline","Lapeer","Lapeer","MI","Michigan","48446","Eastern","43.121459","-83.319558"
"(734) 639-","Landline","Monroe","Monroe","MI","Michigan","48161","Eastern","41.928024","-83.430682"
"(248) 857-","Landline","Oakland","Pontiac","MI","Michigan","48340","Eastern","42.670272","-83.289036"
"(734) 264-","Landline","Monroe","Monroe","MI","Michigan","48161","Eastern","41.928024","-83.430682"
"(616) 794-","Landline","Ionia","Belding","MI","Michigan","48809","Eastern","42.98004","-85.128727"
"(810) 588-","Landline","Livingston","Brighton","MI","Michigan","48116","Eastern","42.529541","-83.776055"
"(231) 639-","Landline","Benzie","Beulah","MI","Michigan","49617","Eastern","44.630634","-86.002509"
"(810) 652-","Landline","Genesee","Davison","MI","Michigan","48423","Eastern","43.041994","-83.622843"
"(616) 545-","Cell Number","Ionia","Orleans","MI","Michigan","48865","Eastern","43.078789","-85.102387"
