"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(507) 773-","Landline","Martin","Fairmont","MN","Minnesota","56031","Central","43.674049","-94.51078"
"(952) 381-","Landline","Hennepin","Minneapolis","MN","Minnesota","55473","Central","44.805487","-93.766524"
"(507) 993-","Cell Number","Olmsted","Rochester","MN","Minnesota","55906","Central","44.107815","-92.405294"
"(320) 293-","Cell Number","Stearns","Saint Cloud","MN","Minnesota","56302","Central","45.49343","-94.643922"
"(507) 252-","Landline","Olmsted","Rochester","MN","Minnesota","55906","Central","44.107815","-92.405294"
"(320) 372-","Unknown","Pine","Sandstone","MN","Minnesota","55072","Central","46.132453","-92.588959"
"(952) 358-","Landline","Hennepin","Minneapolis","MN","Minnesota","55473","Central","44.805487","-93.766524"
"(507) 538-","Landline","Olmsted","Rochester","MN","Minnesota","55906","Central","44.107815","-92.405294"
"(320) 221-","Landline","Meeker","Litchfield","MN","Minnesota","55355","Central","45.122737","-94.529861"
"(507) 781-","Landline","Waseca","Waseca","MN","Minnesota","56093","Central","44.065547","-93.550495"
"(320) 589-","Landline","Stevens","Morris","MN","Minnesota","56267","Central","45.595739","-95.923233"
"(507) 257-","Landline","Blue Earth","Eagle Lake","MN","Minnesota","56024","Central","44.163231","-93.882127"
"(218) 270-","Cell Number","Crow Wing","Brainerd","MN","Minnesota","56401","Central","46.350195","-94.099983"
"(320) 389-","Landline","Renville","Buffalo Lake","MN","Minnesota","55314","Central","44.71031","-94.752767"
"(320) 277-","Landline","Morrison","Hillman","MN","Minnesota","56338","Central","45.990074","-93.888513"
"(507) 237-","Landline","Sibley","Gaylord","MN","Minnesota","55334","Central","44.572583","-94.191699"
"(507) 437-","Landline","Mower","Austin","MN","Minnesota","55912","Central","43.699305","-92.976818"
"(218) 849-","Cell Number","Becker","Detroit Lakes","MN","Minnesota","56501","Central","46.834262","-95.746871"
"(952) 356-","Landline","Hennepin","Minneapolis","MN","Minnesota","55473","Central","44.805487","-93.766524"
"(507) 517-","Unknown","Olmsted","Rochester","MN","Minnesota","55906","Central","44.107815","-92.405294"
"(952) 402-","Landline","Hennepin","Minneapolis","MN","Minnesota","55473","Central","44.805487","-93.766524"
"(218) 345-","Landline","Saint Louis","Alborn","MN","Minnesota","55702","Central","47.014861","-92.612312"
"(320) 444-","Cell Number","Kandiyohi","Willmar","MN","Minnesota","56201","Central","45.147104","-94.977723"
"(218) 393-","Cell Number","Saint Louis","Duluth","MN","Minnesota","55804","Central","46.886239","-92.005488"
"(651) 538-","Landline","Washington","Marine On Saint Croix","MN","Minnesota","55047","Central","45.198774","-92.825767"
"(763) 898-","Landline","Hennepin","Osseo","MN","Minnesota","55569","Central","45.015914","-93.47188"
"(507) 541-","Unknown","Murray","Fulda","MN","Minnesota","56131","Central","43.905962","-95.593288"
"(320) 278-","Landline","Stearns","Brooten","MN","Minnesota","56316","Central","45.513441","-95.056661"
"(507) 283-","Landline","Rock","Luverne","MN","Minnesota","56156","Central","43.698546","-96.163242"
"(651) 923-","Landline","Goodhue","Goodhue","MN","Minnesota","55027","Central","44.427157","-92.620355"
"(218) 584-","Landline","Norman","Twin Valley","MN","Minnesota","56584","Central","47.271463","-96.182441"
"(507) 222-","Unknown","Rice","Northfield","MN","Minnesota","55057","Central","44.376816","-93.241838"
"(320) 455-","Landline","Mcleod","Hutchinson","MN","Minnesota","55350","Central","44.875565","-94.266332"
