"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(573) 535-","Cell Number","Sainte Genevieve","Sainte Genevieve","MO","Missouri","63670","Central","37.865528","-90.175244"
"(573) 663-","Landline","Reynolds","Ellington","MO","Missouri","63638","Central","37.232968","-90.969767"
"(573) 428-","Cell Number","Phelps","Rolla","MO","Missouri","65401","Central","37.898204","-91.797641"
"(417) 218-","Landline","Stone","Blue Eye","MO","Missouri","65611","Central","36.549301","-93.338838"
"(417) 459-","Landline","Greene","Springfield","MO","Missouri","65809","Central","37.150649","-93.21641"
"(573) 366-","Landline","Saint Francois","Farmington","MO","Missouri","63640","Central","37.785545","-90.443298"
"(314) 383-","Landline","Saint Louis City","Saint Louis","MO","Missouri","63143","Central","38.611099","-90.322475"
"(816) 467-","Landline","Jackson","Kansas City","MO","Missouri","64999","Central","39.035038","-94.356728"
"(636) 642-","Landline","Jefferson","Imperial","MO","Missouri","63052","Central","38.406865","-90.438051"
"(573) 651-","Landline","Cape Girardeau","Cape Girardeau","MO","Missouri","63702","Central","37.350624","-89.509405"
"(660) 236-","Landline","Saline","Marshall","MO","Missouri","65340","Central","39.161394","-93.244357"
"(573) 438-","Landline","Washington","Potosi","MO","Missouri","63664","Central","37.98535","-90.820073"
"(417) 737-","Cell Number","Barry","Monett","MO","Missouri","65708","Central","36.802435","-93.934986"
"(573) 878-","Unknown","Franklin","Beaufort","MO","Missouri","63013","Central","38.416838","-91.142077"
"(816) 896-","Cell Number","Jackson","Kansas City","MO","Missouri","64999","Central","39.035038","-94.356728"
"(816) 808-","Cell Number","Jackson","Kansas City","MO","Missouri","64999","Central","39.035038","-94.356728"
"(573) 242-","Landline","Pike","Clarksville","MO","Missouri","63336","Central","39.331503","-90.950068"
"(816) 389-","Landline","Jackson","Kansas City","MO","Missouri","64999","Central","39.035038","-94.356728"
"(314) 848-","Landline","Saint Louis City","Saint Louis","MO","Missouri","63143","Central","38.611099","-90.322475"
"(660) 327-","Landline","Monroe","Paris","MO","Missouri","65275","Central","39.467456","-92.017068"
"(573) 207-","Landline","Morgan","Gravois Mills","MO","Missouri","65037","Central","38.26795","-92.847886"
"(660) 535-","Landline","Gentry","King City","MO","Missouri","64463","Central","40.050583","-94.522013"
"(816) 912-","Unknown","Jackson","Kansas City","MO","Missouri","64999","Central","39.035038","-94.356728"
"(417) 991-","Unknown","Laclede","Lebanon","MO","Missouri","65536","Central","37.685459","-92.620542"
"(417) 834-","Cell Number","Greene","Springfield","MO","Missouri","65809","Central","37.150649","-93.21641"
"(314) 494-","Cell Number","Saint Louis","Saint Louis","MO","Missouri","63143","Central","38.611099","-90.322475"
"(314) 331-","Landline","Saint Louis City","Saint Louis","MO","Missouri","63143","Central","38.611099","-90.322475"
"(573) 986-","Landline","Cape Girardeau","Cape Girardeau","MO","Missouri","63702","Central","37.350624","-89.509405"
"(573) 475-","Landline","Scott","Sikeston","MO","Missouri","63801","Central","37.027479","-89.563988"
"(660) 928-","Landline","Nodaway","Skidmore","MO","Missouri","64487","Central","40.286914","-95.078313"
"(816) 283-","Landline","Jackson","Kansas City","MO","Missouri","64999","Central","39.035038","-94.356728"
"(636) 730-","Landline","Saint Louis","Chesterfield","MO","Missouri","63006","Central","38.638318","-90.427118"
"(417) 793-","Cell Number","Jasper","Carthage","MO","Missouri","64836","Central","37.182292","-94.314002"
"(816) 714-","Landline","Jackson","Kansas City","MO","Missouri","64999","Central","39.035038","-94.356728"
"(314) 783-","Landline","Saint Louis City","Saint Louis","MO","Missouri","63143","Central","38.611099","-90.322475"
"(660) 733-","Landline","Knox","Newark","MO","Missouri","63458","Central","40.126767","-92.147994"
"(816) 420-","Landline","Clay","Kansas City","MO","Missouri","64999","Central","39.035038","-94.356728"
"(816) 450-","Landline","Platte","Dearborn","MO","Missouri","64439","Central","39.487839","-94.763263"
"(573) 538-","Unknown","Dent","Boss","MO","Missouri","65440","Central","37.612779","-91.652493"
"(314) 589-","Landline","Saint Louis City","Saint Louis","MO","Missouri","63143","Central","38.611099","-90.322475"
"(417) 840-","Cell Number","Greene","Springfield","MO","Missouri","65809","Central","37.150649","-93.21641"
"(314) 244-","Landline","Saint Louis City","Saint Louis","MO","Missouri","63143","Central","38.611099","-90.322475"
"(816) 591-","Cell Number","Jackson","Kansas City","MO","Missouri","64999","Central","39.035038","-94.356728"
"(417) 315-","Unknown","Greene","Springfield","MO","Missouri","65809","Central","37.150649","-93.21641"
"(417) 681-","Landline","Barton","Lamar","MO","Missouri","64766","Central","37.501451","-94.345591"
"(636) 866-","Landline","Saint Charles","Saint Charles","MO","Missouri","63303","Central","38.759034","-90.595151"
"(816) 462-","Landline","Jackson","Kansas City","MO","Missouri","64999","Central","39.035038","-94.356728"
"(573) 269-","Landline","Iron","Belleview","MO","Missouri","63623","Central","37.665689","-90.898189"
"(816) 355-","Landline","Jackson","Grain Valley","MO","Missouri","64029","Central","38.984966","-94.193874"
"(573) 314-","Landline","Pike","Frankford","MO","Missouri","63441","Central","39.466564","-91.332846"
"(816) 633-","Landline","Lafayette","Odessa","MO","Missouri","64076","Central","39.020995","-93.820021"
"(417) 650-","Cell Number","Laclede","Lebanon","MO","Missouri","65536","Central","37.685459","-92.620542"
"(816) 489-","Unknown","Jackson","Kansas City","MO","Missouri","64999","Central","39.035038","-94.356728"
"(417) 770-","Cell Number","Polk","Bolivar","MO","Missouri","65613","Central","37.626464","-93.413616"
"(660) 874-","Landline","Sullivan","Green City","MO","Missouri","63545","Central","40.218108","-92.945787"
"(660) 794-","Landline","Sullivan","Newtown","MO","Missouri","64667","Central","40.23408","-93.288613"
