"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(601) 399-","Landline","Jones","Laurel","MS","Mississippi","39441","Central","31.727664","-89.075482"
"(601) 566-","Cell Number","Hinds","Jackson","MS","Mississippi","39203","Central","32.308595","-90.210438"
"(601) 930-","Cell Number","Hinds","Jackson","MS","Mississippi","39203","Central","32.308595","-90.210438"
"(228) 245-","Landline","Harrison","Pass Christian","MS","Mississippi","39571","Central","30.426162","-89.264327"
"(601) 766-","Landline","George","Lucedale","MS","Mississippi","39452","Central","30.866791","-88.649035"
"(662) 205-","Landline","Lee","Tupelo","MS","Mississippi","38801","Central","34.291889","-88.683828"
"(662) 217-","Landline","Monroe","Amory","MS","Mississippi","38821","Central","33.942639","-88.411284"
"(662) 893-","Landline","De Soto","Olive Branch","MS","Mississippi","38654","Central","34.921172","-89.869062"
"(601) 513-","Cell Number","Hinds","Edwards","MS","Mississippi","39066","Central","32.27307","-90.50985"
"(601) 869-","Landline","Pike","Magnolia","MS","Mississippi","39652","Central","31.143395","-90.403989"
"(601) 828-","Landline","Franklin","Roxie","MS","Mississippi","39661","Central","31.50115","-91.069486"
"(601) 973-","Landline","Hinds","Jackson","MS","Mississippi","39203","Central","32.308595","-90.210438"
"(662) 727-","Landline","Bolivar","Benoit","MS","Mississippi","38725","Central","33.627816","-90.994878"
"(662) 343-","Landline","Monroe","Hamilton","MS","Mississippi","39746","Central","33.778926","-88.358784"
"(662) 577-","Landline","Sunflower","Indianola","MS","Mississippi","38751","Central","33.443446","-90.608662"
"(601) 996-","Cell Number","Pike","Mccomb","MS","Mississippi","39649","Central","31.17494","-90.403987"
"(601) 827-","Landline","Walthall","Tylertown","MS","Mississippi","39667","Central","31.175558","-90.090824"
"(601) 879-","Landline","Madison","Flora","MS","Mississippi","39071","Central","32.553269","-90.326653"
"(601) 363-","Landline","George","Lucedale","MS","Mississippi","39452","Central","30.866791","-88.649035"
"(662) 476-","Landline","Kemper","Porterville","MS","Mississippi","39352","Central","32.797547","-88.523668"
"(601) 557-","Landline","Clarke","Quitman","MS","Mississippi","39355","Central","32.013802","-88.663429"
"(662) 300-","Unknown","Marshall","Waterford","MS","Mississippi","38685","Central","34.547621","-89.612918"
"(228) 818-","Landline","Jackson","Ocean Springs","MS","Mississippi","39564","Central","30.50028","-88.655024"
"(228) 777-","Landline","Harrison","Gulfport","MS","Mississippi","39505","Central","30.415795","-89.068448"
"(662) 568-","Landline","Chickasaw","Houlka","MS","Mississippi","38850","Central","34.013571","-88.996107"
"(601) 764-","Landline","Jasper","Bay Springs","MS","Mississippi","39422","Central","31.989146","-89.209877"
"(601) 800-","Unknown","Jones","Ellisville","MS","Mississippi","39437","Central","31.611088","-89.171825"
"(662) 349-","Landline","De Soto","Southaven","MS","Mississippi","38672","Central","34.947407","-89.925792"
"(662) 659-","Cell Number","Union","New Albany","MS","Mississippi","38652","Central","34.488692","-88.963649"
"(601) 829-","Landline","Rankin","Brandon","MS","Mississippi","39043","Central","32.269041","-89.987491"
"(662) 593-","Landline","Tishomingo","Iuka","MS","Mississippi","38852","Central","34.81583","-88.2318"
"(662) 723-","Landline","Bolivar","Rosedale","MS","Mississippi","38769","Central","33.841892","-90.882598"
"(601) 366-","Landline","Hinds","Jackson","MS","Mississippi","39203","Central","32.308595","-90.210438"
"(662) 724-","Landline","Winston","Noxapater","MS","Mississippi","39346","Central","32.980751","-89.108325"
"(601) 532-","Landline","Franklin","Meadville","MS","Mississippi","39653","Central","31.469888","-90.891482"
"(601) 945-","Landline","Perry","Beaumont","MS","Mississippi","39423","Central","31.185365","-88.920132"
"(228) 225-","Landline","Harrison","Pass Christian","MS","Mississippi","39571","Central","30.426162","-89.264327"
"(662) 909-","Cell Number","Lee","Tupelo","MS","Mississippi","38801","Central","34.291889","-88.683828"
"(601) 936-","Landline","Rankin","Jackson","MS","Mississippi","39203","Central","32.308595","-90.210438"
"(601) 995-","Landline","Hinds","Jackson","MS","Mississippi","39203","Central","32.308595","-90.210438"
"(601) 520-","Cell Number","Forrest","Hattiesburg","MS","Mississippi","39407","Central","31.172142","-89.294772"
"(662) 299-","Cell Number","Leflore","Greenwood","MS","Mississippi","38945","Central","33.650681","-90.196909"
"(601) 328-","Cell Number","Hinds","Jackson","MS","Mississippi","39203","Central","32.308595","-90.210438"
"(228) 769-","Landline","Jackson","Pascagoula","MS","Mississippi","39595","Central","30.441072","-88.634482"
"(662) 278-","Cell Number","Marshall","Holly Springs","MS","Mississippi","38634","Central","34.74504","-89.484963"
"(601) 423-","Landline","Simpson","Magee","MS","Mississippi","39111","Central","31.910321","-89.775032"
"(662) 359-","Landline","Lowndes","Columbus","MS","Mississippi","39704","Central","33.548523","-88.379614"
"(662) 584-","Cell Number","Lee","Tupelo","MS","Mississippi","38801","Central","34.291889","-88.683828"
"(601) 541-","Cell Number","Neshoba","Philadelphia","MS","Mississippi","39350","Central","32.754387","-89.116797"
"(601) 445-","Landline","Adams","Natchez","MS","Mississippi","39122","Central","31.470602","-91.404404"
"(601) 794-","Landline","Lamar","Purvis","MS","Mississippi","39475","Central","31.228126","-89.501513"
"(662) 234-","Landline","Lafayette","Oxford","MS","Mississippi","38655","Central","34.330814","-89.483519"
"(662) 689-","Cell Number","Tate","Senatobia","MS","Mississippi","38668","Central","34.621336","-89.930083"
"(662) 783-","Unknown","Tallahatchie","Charleston","MS","Mississippi","38921","Central","34.007428","-90.115364"
"(601) 846-","Landline","Lauderdale","Lauderdale","MS","Mississippi","39335","Central","32.498068","-88.534433"
"(662) 348-","Landline","Lee","Guntown","MS","Mississippi","38849","Central","34.421084","-88.665975"
"(228) 357-","Unknown","Harrison","Gulfport","MS","Mississippi","39505","Central","30.415795","-89.068448"
"(228) 212-","Cell Number","Harrison","Biloxi","MS","Mississippi","39532","Central","30.510988","-88.96808"
"(601) 252-","Landline","Smith","Taylorsville","MS","Mississippi","39168","Central","31.82958","-89.403302"
"(228) 261-","Cell Number","Harrison","Gulfport","MS","Mississippi","39505","Central","30.415795","-89.068448"
"(662) 988-","Landline","Union","Myrtle","MS","Mississippi","38650","Central","34.512992","-89.133523"
"(662) 489-","Landline","Pontotoc","Pontotoc","MS","Mississippi","38863","Central","34.227246","-89.040537"
"(662) 725-","Landline","Washington","Greenville","MS","Mississippi","38701","Central","33.314539","-91.02297"
"(662) 786-","Unknown","Chickasaw","Houston","MS","Mississippi","38851","Central","33.911901","-88.931148"
"(601) 421-","Cell Number","Hinds","Jackson","MS","Mississippi","39203","Central","32.308595","-90.210438"
"(601) 921-","Landline","Covington","Collins","MS","Mississippi","39428","Central","31.652811","-89.578002"
"(601) 299-","Cell Number","Forrest","Hattiesburg","MS","Mississippi","39407","Central","31.172142","-89.294772"
"(662) 743-","Landline","Washington","Greenville","MS","Mississippi","38701","Central","33.314539","-91.02297"
"(662) 374-","Cell Number","Leflore","Greenwood","MS","Mississippi","38945","Central","33.650681","-90.196909"
"(601) 375-","Landline","Jones","Soso","MS","Mississippi","39480","Central","31.713226","-89.297336"
"(662) 510-","Landline","De Soto","Southaven","MS","Mississippi","38672","Central","34.947407","-89.925792"
"(662) 517-","Landline","Bolivar","Cleveland","MS","Mississippi","38733","Central","33.624024","-90.819547"
"(662) 846-","Landline","Bolivar","Cleveland","MS","Mississippi","38733","Central","33.624024","-90.819547"
"(662) 490-","Landline","Pontotoc","Pontotoc","MS","Mississippi","38863","Central","34.227246","-89.040537"
"(601) 209-","Cell Number","Hinds","Jackson","MS","Mississippi","39203","Central","32.308595","-90.210438"
"(662) 878-","Unknown","Sunflower","Ruleville","MS","Mississippi","38771","Central","33.66479","-90.555537"
"(662) 763-","Unknown","Yazoo","Yazoo City","MS","Mississippi","39194","Central","32.815898","-90.475849"
"(601) 739-","Landline","Jasper","Louin","MS","Mississippi","39338","Central","32.109313","-89.187423"
"(601) 761-","Cell Number","Madison","Canton","MS","Mississippi","39046","Central","32.625298","-90.008601"
"(601) 664-","Landline","Rankin","Jackson","MS","Mississippi","39203","Central","32.308595","-90.210438"
"(662) 675-","Landline","Yalobusha","Coffeeville","MS","Mississippi","38922","Central","33.961287","-89.64824"
