"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(406) 584-","Landline","Dawson","Lindsay","MT","Montana","59339","Mountain","47.254164","-105.172545"
"(406) 335-","Landline","Toole","Sweet Grass","MT","Montana","59484","Mountain","48.940067","-111.849008"
"(406) 896-","Landline","Yellowstone","Billings","MT","Montana","59106","Mountain","45.799217","-108.568842"
"(406) 833-","Cell Number","Lake","Ronan","MT","Montana","59864","Mountain","47.507347","-114.178287"
"(406) 251-","Landline","Missoula","Missoula","MT","Montana","59807","Mountain","46.910342","-113.958686"
"(406) 521-","Cell Number","Broadwater","Townsend","MT","Montana","59644","Mountain","46.406137","-111.399649"
"(406) 775-","Landline","Carter","Ekalaka","MT","Montana","59324","Mountain","45.897576","-104.640001"
"(406) 847-","Landline","Sanders","Noxon","MT","Montana","59853","Mountain","48.076781","-115.858153"
"(406) 868-","Cell Number","Cascade","Great Falls","MT","Montana","59401","Mountain","47.402024","-111.422948"
"(406) 734-","Landline","Chouteau","Carter","MT","Montana","59420","Mountain","47.861021","-110.471075"
"(406) 562-","Landline","Teton","Fairfield","MT","Montana","59436","Mountain","47.61386","-112.207191"
"(406) 225-","Landline","Jefferson","Boulder","MT","Montana","59632","Mountain","46.141948","-111.942989"
"(406) 204-","Landline","Lewis And Clark","Helena","MT","Montana","59602","Mountain","46.707449","-111.957961"
"(406) 391-","Cell Number","Glacier","Cut Bank","MT","Montana","59427","Mountain","48.654298","-112.93062"
"(406) 977-","Cell Number","Garfield","Jordan","MT","Montana","59337","Mountain","47.325641","-106.943963"
"(406) 218-","Cell Number","Missoula","Missoula","MT","Montana","59807","Mountain","46.910342","-113.958686"
"(406) 432-","Landline","Toole","Galata","MT","Montana","59444","Mountain","48.811061","-111.470386"
"(406) 399-","Cell Number","Hill","Havre","MT","Montana","59501","Mountain","48.663002","-110.09437"
"(406) 930-","Cell Number","Sweet Grass","Big Timber","MT","Montana","59011","Mountain","45.834206","-109.950025"
"(406) 751-","Landline","Flathead","Kalispell","MT","Montana","59901","Mountain","48.202765","-114.303919"
"(406) 924-","Landline","Gallatin","Belgrade","MT","Montana","59714","Mountain","45.426786","-111.099517"
"(406) 392-","Landline","Valley","Frazer","MT","Montana","59225","Mountain","48.295916","-106.032354"
"(406) 645-","Unknown","Powell","Deer Lodge","MT","Montana","59722","Mountain","46.401859","-112.642136"
"(406) 599-","Cell Number","Gallatin","Bozeman","MT","Montana","59719","Mountain","45.627982","-110.90128"
"(406) 721-","Landline","Missoula","Missoula","MT","Montana","59807","Mountain","46.910342","-113.958686"
"(406) 524-","Landline","Valley","Nashua","MT","Montana","59248","Mountain","48.216068","-106.320808"
"(406) 490-","Cell Number","Silver Bow","Butte","MT","Montana","59701","Mountain","45.997895","-112.598765"
