"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(701) 358-","Unknown","Walsh","Minto","ND","North Dakota","58261","Central / Mountain","48.25997","-97.314367"
"(701) 691-","Unknown","Adams","Reeder","ND","North Dakota","58649","Central / Mountain","46.113891","-102.496805"
"(701) 436-","Landline","Traill","Hillsboro","ND","North Dakota","58045","Central / Mountain","47.383461","-97.060324"
"(701) 229-","Landline","Walsh","Fordville","ND","North Dakota","58231","Central / Mountain","48.281947","-97.827805"
"(701) 344-","Landline","Dickey","Ellendale","ND","North Dakota","58436","Central / Mountain","46.106141","-98.620707"
"(701) 573-","Landline","Dunn","Manning","ND","North Dakota","58642","Central / Mountain","47.402085","-102.622139"
"(701) 493-","Landline","Lamoure","Edgeley","ND","North Dakota","58433","Central / Mountain","46.41198","-98.713086"
"(701) 498-","Cell Number","Morton","Flasher","ND","North Dakota","58535","Central / Mountain","46.599807","-101.316642"
"(701) 627-","Landline","Mountrail","New Town","ND","North Dakota","58763","Central / Mountain","47.971759","-102.471636"
"(701) 624-","Landline","Ward","Sawyer","ND","North Dakota","58781","Central / Mountain","48.181645","-101.340912"
"(701) 560-","Unknown","Rolette","Rolette","ND","North Dakota","58366","Central / Mountain","48.700886","-99.878456"
"(701) 827-","Landline","Sioux","Fort Yates","ND","North Dakota","58538","Central / Mountain","46.170605","-100.710536"
"(701) 880-","Cell Number","Mercer","Hazen","ND","North Dakota","58545","Central / Mountain","47.386092","-101.760142"
"(701) 293-","Landline","Cass","Fargo","ND","North Dakota","58108","Central / Mountain","46.934596","-97.229718"
"(701) 328-","Landline","Burleigh","Bismarck","ND","North Dakota","58507","Central / Mountain","46.980475","-100.520063"
"(701) 645-","Landline","Cass","Leonard","ND","North Dakota","58052","Central / Mountain","46.765575","-97.294037"
"(701) 254-","Landline","Emmons","Linton","ND","North Dakota","58552","Central / Mountain","46.185512","-100.233084"
"(701) 886-","Landline","Pembina","Neche","ND","North Dakota","58265","Central / Mountain","48.943793","-97.512602"
"(701) 289-","Cell Number","Traill","Hillsboro","ND","North Dakota","58045","Central / Mountain","47.383461","-97.060324"
"(701) 577-","Landline","Williams","Williston","ND","North Dakota","58802","Central / Mountain","48.168836","-103.614824"
"(701) 326-","Landline","Nelson","Aneta","ND","North Dakota","58212","Central / Mountain","47.766493","-98.043481"
"(701) 369-","Landline","Richland","Christine","ND","North Dakota","58015","Central / Mountain","46.593582","-96.809354"
"(701) 446-","Landline","Cass","Fargo","ND","North Dakota","58108","Central / Mountain","46.934596","-97.229718"
"(701) 594-","Landline","Grand Forks","Emerado","ND","North Dakota","58228","Central / Mountain","47.889676","-97.280993"
"(701) 635-","Landline","Burleigh","Harvey","ND","North Dakota","58341","Central / Mountain","47.703539","-99.747755"
"(701) 226-","Cell Number","Burleigh","Bismarck","ND","North Dakota","58507","Central / Mountain","46.980475","-100.520063"
"(701) 509-","Unknown","Ward","Minot","ND","North Dakota","58701","Central / Mountain","48.084625","-101.419006"
"(701) 475-","Landline","Kidder","Steele","ND","North Dakota","58482","Central / Mountain","46.875966","-99.798975"
"(701) 698-","Landline","Logan","Fredonia","ND","North Dakota","58440","Central / Mountain","46.37014","-99.173337"
"(701) 251-","Landline","Stutsman","Jamestown","ND","North Dakota","58405","Central / Mountain","46.913344","-98.699553"
"(701) 685-","Landline","Lamoure","Jud","ND","North Dakota","58454","Central / Mountain","46.551079","-98.86671"
"(701) 264-","Landline","Stark","Dickinson","ND","North Dakota","58601","Central / Mountain","46.805716","-102.756514"
"(701) 376-","Landline","Adams","Hettinger","ND","North Dakota","58639","Central / Mountain","46.057786","-102.785054"
"(701) 764-","Landline","Dunn","Killdeer","ND","North Dakota","58640","Central / Mountain","47.526978","-102.703916"
"(701) 323-","Landline","Burleigh","Bismarck","ND","North Dakota","58507","Central / Mountain","46.980475","-100.520063"
"(701) 421-","Cell Number","Mountrail","New Town","ND","North Dakota","58763","Central / Mountain","47.971759","-102.471636"
"(701) 334-","Cell Number","Ward","Kenmare","ND","North Dakota","58746","Central / Mountain","48.523046","-101.670989"
"(701) 386-","Landline","Renville","Tolley","ND","North Dakota","58787","Central / Mountain","48.759404","-101.862477"
"(701) 277-","Landline","Cass","Fargo","ND","North Dakota","58108","Central / Mountain","46.934596","-97.229718"
"(701) 437-","Landline","Ransom","Enderlin","ND","North Dakota","58027","Central / Mountain","46.456337","-97.777909"
"(701) 539-","Landline","Williams","Wildrose","ND","North Dakota","58795","Central / Mountain","48.567814","-103.153622"
"(701) 547-","Landline","Wells","Fessenden","ND","North Dakota","58438","Central / Mountain","47.625048","-99.564274"
"(701) 586-","Landline","Mckenzie","Arnegard","ND","North Dakota","58835","Central / Mountain","47.807748","-103.438887"
"(701) 844-","Landline","Mckenzie","Alexander","ND","North Dakota","58831","Central / Mountain","47.737435","-103.298383"
"(701) 759-","Landline","Mckenzie","Mandaree","ND","North Dakota","58757","Central / Mountain","47.737435","-103.298383"
"(701) 394-","Cell Number","Stutsman","Jamestown","ND","North Dakota","58405","Central / Mountain","46.913344","-98.699553"
"(701) 485-","Landline","Logan","Gackle","ND","North Dakota","58442","Central / Mountain","46.522452","-99.173063"
"(701) 540-","Unknown","Cass","Fargo","ND","North Dakota","58108","Central / Mountain","46.934596","-97.229718"
"(701) 727-","Landline","Ward","Minot Afb","ND","North Dakota","58704","Central / Mountain","48.42429","-101.319942"
"(701) 681-","Cell Number","Pierce","Rugby","ND","North Dakota","58368","Central / Mountain","48.254504","-99.989912"
"(701) 368-","Cell Number","Stutsman","Jamestown","ND","North Dakota","58405","Central / Mountain","46.913344","-98.699553"
"(701) 710-","Cell Number","Wells","Sykeston","ND","North Dakota","58486","Central / Mountain","47.421182","-99.404828"
"(701) 584-","Landline","Grant","Elgin","ND","North Dakota","58533","Central / Mountain","46.367859","-101.755819"
"(701) 732-","Landline","Grand Forks","Grand Forks","ND","North Dakota","58208","Central / Mountain","47.933481","-97.394446"
"(701) 439-","Landline","Richland","Wyndmere","ND","North Dakota","58081","Central / Mountain","46.384021","-97.11408"
"(701) 583-","Landline","Benson","Knox","ND","North Dakota","58343","Central / Mountain","48.301215","-99.689358"
"(701) 589-","Unknown","Hettinger","Regent","ND","North Dakota","58650","Central / Mountain","46.418659","-102.56228"
"(701) 379-","Unknown","Walsh","Grafton","ND","North Dakota","58237","Central / Mountain","48.368876","-97.437265"
"(701) 359-","Landline","Bottineau","Kramer","ND","North Dakota","58748","Central / Mountain","48.697742","-100.634566"
"(701) 388-","Cell Number","Cass","Fargo","ND","North Dakota","58108","Central / Mountain","46.934596","-97.229718"
"(701) 633-","Landline","Cass","Buffalo","ND","North Dakota","58011","Central / Mountain","46.920016","-97.557491"
"(701) 325-","Cell Number","Emmons","Strasburg","ND","North Dakota","58573","Central / Mountain","46.080388","-100.223542"
"(701) 705-","Unknown","Burke","Bowbells","ND","North Dakota","58721","Central / Mountain","48.837753","-102.283897"
"(701) 239-","Landline","Cass","Fargo","ND","North Dakota","58108","Central / Mountain","46.934596","-97.229718"
"(701) 676-","Landline","Griggs","Binford","ND","North Dakota","58416","Central / Mountain","47.489506","-98.410133"
"(701) 952-","Landline","Stutsman","Jamestown","ND","North Dakota","58405","Central / Mountain","46.913344","-98.699553"
"(701) 574-","Landline","Bowman","Bowman","ND","North Dakota","58623","Central / Mountain","46.205537","-103.521263"
"(701) 799-","Cell Number","Cass","Fargo","ND","North Dakota","58108","Central / Mountain","46.934596","-97.229718"
"(701) 522-","Landline","Grant","Carson","ND","North Dakota","58529","Central / Mountain","46.300853","-101.673608"
"(701) 230-","Cell Number","Ramsey","Devils Lake","ND","North Dakota","58301","Central / Mountain","48.264352","-98.781979"
"(701) 265-","Landline","Pembina","Cavalier","ND","North Dakota","58220","Central / Mountain","48.738902","-97.699122"
"(701) 286-","Landline","Mclean","Wilton","ND","North Dakota","58579","Central / Mountain","47.488872","-101.085504"
"(701) 525-","Landline","Mchenry","Karlsruhe","ND","North Dakota","58744","Central / Mountain","48.194146","-100.591093"
"(701) 646-","Landline","Barnes","Sanborn","ND","North Dakota","58480","Central / Mountain","46.892615","-98.258971"
"(701) 881-","Unknown","Pierce","Rugby","ND","North Dakota","58368","Central / Mountain","48.254504","-99.989912"
"(701) 543-","Landline","Traill","Hatton","ND","North Dakota","58240","Central / Mountain","47.638521","-97.459319"
"(701) 322-","Landline","Nelson","Aneta","ND","North Dakota","58212","Central / Mountain","47.766493","-98.043481"
"(701) 899-","Cell Number","Richland","Wahpeton","ND","North Dakota","58074","Central / Mountain","46.283291","-96.917614"
"(701) 276-","Landline","Sioux","Shields","ND","North Dakota","58569","Central / Mountain","46.244657","-101.218713"
