"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(308) 368-","Landline","Lincoln","Hershey","NE","Nebraska","69143","Central / Mountain","40.98993","-100.96308"
"(308) 584-","Landline","Lincoln","Brady","NE","Nebraska","69123","Central / Mountain","41.049046","-100.391826"
"(402) 200-","Cell Number","Thayer","Hebron","NE","Nebraska","68370","Central","40.240562","-97.64485"
"(308) 850-","Cell Number","Hall","Grand Island","NE","Nebraska","68803","Central / Mountain","40.872531","-98.521343"
"(308) 889-","Landline","Deuel","Big Springs","NE","Nebraska","69122","Central / Mountain","41.111961","-102.261262"
"(402) 682-","Landline","Sarpy","Omaha","NE","Nebraska","68136","Central","41.169034","-96.172007"
"(402) 925-","Landline","Holt","Atkinson","NE","Nebraska","68713","Central","42.533852","-98.975603"
"(402) 824-","Landline","Nemaha","Nemaha","NE","Nebraska","68414","Central","40.339435","-95.676576"
"(402) 833-","Landline","Wayne","Wayne","NE","Nebraska","68787","Central","42.206417","-96.979049"
"(402) 797-","Landline","Lancaster","Denton","NE","Nebraska","68339","Central","40.719464","-96.850518"
"(308) 947-","Cell Number","Merrick","Central City","NE","Nebraska","68826","Central / Mountain","41.162876","-98.010548"
"(402) 621-","Cell Number","Nuckolls","Nelson","NE","Nebraska","68961","Central","40.20105","-98.068371"
"(402) 418-","Cell Number","Saline","Crete","NE","Nebraska","68333","Central","40.628937","-97.016925"
"(402) 226-","Landline","Nuckolls","Ruskin","NE","Nebraska","68974","Central","40.152394","-97.91468"
"(402) 881-","Unknown","Sarpy","Omaha","NE","Nebraska","68136","Central","41.169034","-96.172007"
"(402) 315-","Landline","Douglas","Omaha","NE","Nebraska","68136","Central","41.169034","-96.172007"
"(308) 455-","Landline","Buffalo","Kearney","NE","Nebraska","68849","Central / Mountain","40.849654","-99.074058"
"(402) 707-","Cell Number","Douglas","Omaha","NE","Nebraska","68136","Central","41.169034","-96.172007"
"(402) 924-","Landline","Holt","Stuart","NE","Nebraska","68780","Central","42.599715","-99.141514"
"(402) 457-","Landline","Douglas","Omaha","NE","Nebraska","68136","Central","41.169034","-96.172007"
"(402) 330-","Landline","Douglas","Omaha","NE","Nebraska","68136","Central","41.169034","-96.172007"
"(402) 202-","Cell Number","Lancaster","Lincoln","NE","Nebraska","68542","Central","40.784451","-96.688799"
