"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(603) 294-","Landline","Rockingham","Portsmouth","NH","New Hampshire","3804","Eastern","43.005895","-71.013202"
"(603) 224-","Landline","Merrimack","Concord","NH","New Hampshire","3305","Eastern","43.2134","-71.517151"
"(603) 929-","Landline","Rockingham","Hampton","NH","New Hampshire","3842","Eastern","42.917389","-70.95095"
"(603) 650-","Landline","Grafton","Hanover","NH","New Hampshire","3755","Eastern","43.861077","-72.120314"
"(603) 328-","Landline","Rockingham","Salem","NH","New Hampshire","3079","Eastern","42.872045","-71.196195"
"(603) 770-","Cell Number","Rockingham","Exeter","NH","New Hampshire","3833","Eastern","42.951274","-70.922262"
"(603) 476-","Landline","Carroll","South Tamworth","NH","New Hampshire","3883","Eastern","43.883871","-71.257726"
"(603) 259-","Landline","Grafton","Littleton","NH","New Hampshire","3561","Eastern","44.335289","-71.877638"
"(603) 502-","Cell Number","Rockingham","Portsmouth","NH","New Hampshire","3804","Eastern","43.005895","-71.013202"
"(603) 203-","Cell Number","Hillsborough","Manchester","NH","New Hampshire","3101","Eastern","42.988483","-71.462111"
"(603) 846-","Landline","Grafton","Bethlehem","NH","New Hampshire","3574","Eastern","44.30632","-71.728049"
"(603) 896-","Landline","Rockingham","Salem","NH","New Hampshire","3079","Eastern","42.872045","-71.196195"
"(603) 963-","Landline","Coos","Colebrook","NH","New Hampshire","3576","Eastern","44.902731","-71.500809"
"(603) 902-","Unknown","Merrimack","Newbury","NH","New Hampshire","3255","Eastern","43.321723","-72.01184"
"(603) 317-","Landline","Coos","Milan","NH","New Hampshire","3588","Eastern","44.56532","-71.218672"
"(603) 752-","Landline","Coos","Berlin","NH","New Hampshire","3570","Eastern","44.512344","-71.194226"
"(603) 498-","Cell Number","Rockingham","Portsmouth","NH","New Hampshire","3804","Eastern","43.005895","-71.013202"
"(603) 575-","Landline","Grafton","Littleton","NH","New Hampshire","3561","Eastern","44.335289","-71.877638"
"(603) 242-","Landline","Cheshire","Troy","NH","New Hampshire","3465","Eastern","42.843617","-72.279814"
"(603) 217-","Landline","Grafton","Bristol","NH","New Hampshire","3222","Eastern","43.70781","-71.72158"
"(603) 302-","Cell Number","Hillsborough","Manchester","NH","New Hampshire","3101","Eastern","42.988483","-71.462111"
"(603) 341-","Cell Number","Hillsborough","Merrimack","NH","New Hampshire","3054","Eastern","42.924928","-71.667508"
"(603) 888-","Landline","Hillsborough","Nashua","NH","New Hampshire","3062","Eastern","42.860117","-71.49976"
"(603) 445-","Landline","Cheshire","North Walpole","NH","New Hampshire","3609","Eastern","43.138018","-72.407236"
"(603) 849-","Landline","Rockingham","Exeter","NH","New Hampshire","3833","Eastern","42.951274","-70.922262"
"(603) 869-","Landline","Grafton","Bethlehem","NH","New Hampshire","3574","Eastern","44.30632","-71.728049"
"(603) 556-","Landline","Belknap","Laconia","NH","New Hampshire","3247","Eastern","43.588972","-71.445452"
"(603) 576-","Landline","Grafton","Lyme","NH","New Hampshire","3768","Eastern","43.801656","-72.130495"
"(603) 249-","Landline","Hillsborough","Milford","NH","New Hampshire","3055","Eastern","42.848787","-71.743882"
"(603) 469-","Landline","Grafton","Lebanon","NH","New Hampshire","3766","Eastern","43.637148","-72.23546"
"(603) 761-","Landline","Grafton","Littleton","NH","New Hampshire","3561","Eastern","44.335289","-71.877638"
"(603) 618-","Landline","Grafton","Woodsville","NH","New Hampshire","3785","Eastern","43.948644","-72.080708"
"(603) 656-","Landline","Hillsborough","Manchester","NH","New Hampshire","3101","Eastern","42.988483","-71.462111"
"(603) 536-","Landline","Grafton","Plymouth","NH","New Hampshire","3264","Eastern","43.710919","-71.694017"
"(603) 629-","Landline","Hillsborough","Manchester","NH","New Hampshire","3101","Eastern","42.988483","-71.462111"
"(603) 872-","Unknown","Belknap","Gilmanton Iron Works","NH","New Hampshire","3837","Eastern","43.446567","-71.299456"
"(603) 489-","Landline","Hillsborough","Manchester","NH","New Hampshire","3101","Eastern","42.988483","-71.462111"
