"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(201) 398-","Landline","Bergen","Fair Lawn","NJ","New Jersey","7410","Eastern","40.935348","-74.119236"
"(856) 649-","Landline","Gloucester","Williamstown","NJ","New Jersey","8094","Eastern","39.725538","-75.058082"
"(973) 940-","Landline","Sussex","Newton","NJ","New Jersey","7860","Eastern","41.069522","-74.806938"
"(856) 467-","Landline","Gloucester","Swedesboro","NJ","New Jersey","8085","Eastern","39.75274","-75.318049"
"(201) 435-","Landline","Hudson","Jersey City","NJ","New Jersey","7399","Eastern","40.73235","-74.075391"
"(609) 537-","Landline","Mercer","Pennington","NJ","New Jersey","8534","Eastern","40.32863","-74.813557"
"(973) 524-","Landline","Essex","Newark","NJ","New Jersey","7193","Eastern","40.79185","-74.245241"
"(609) 597-","Landline","Ocean","Barnegat","NJ","New Jersey","8005","Eastern","39.753858","-74.293989"
"(856) 765-","Landline","Cumberland","Millville","NJ","New Jersey","8332","Eastern","39.370401","-75.04282"
"(732) 424-","Landline","Middlesex","Dunellen","NJ","New Jersey","8812","Eastern","40.589702","-74.463947"
"(201) 382-","Cell Number","Bergen","Hackensack","NJ","New Jersey","7602","Eastern","40.948054","-74.083231"
"(856) 438-","Landline","Camden","Merchantville","NJ","New Jersey","8109","Eastern","39.950312","-75.059916"
"(201) 297-","Landline","Bergen","Closter","NJ","New Jersey","7624","Eastern","40.970621","-73.960164"
"(201) 695-","Cell Number","Bergen","Hackensack","NJ","New Jersey","7602","Eastern","40.948054","-74.083231"
"(856) 298-","Unknown","Camden","Haddonfield","NJ","New Jersey","8033","Eastern","39.876313","-75.033414"
"(201) 889-","Cell Number","Hudson","Kearny","NJ","New Jersey","7032","Eastern","40.75175","-74.122937"
"(856) 202-","Landline","Gloucester","Woodbury","NJ","New Jersey","8096","Eastern","39.822013","-75.129669"
"(609) 454-","Landline","Mercer","Princeton","NJ","New Jersey","8544","Eastern","40.349206","-74.652811"
"(201) 482-","Landline","Bergen","Leonia","NJ","New Jersey","7605","Eastern","40.863499","-73.987132"
"(609) 424-","Landline","Burlington","Bordentown","NJ","New Jersey","8505","Eastern","40.101535","-74.724711"
"(609) 371-","Landline","Mercer","Hightstown","NJ","New Jersey","8520","Eastern","40.281558","-74.572449"
"(856) 722-","Landline","Burlington","Moorestown","NJ","New Jersey","8057","Eastern","40.054255","-74.840115"
