"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(575) 762-","Unknown","Curry","Clovis","NM","New Mexico","88101","Mountain","34.497241","-103.294978"
"(505) 247-","Landline","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(505) 241-","Landline","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(575) 624-","Unknown","Chaves","Roswell","NM","New Mexico","88201","Mountain","33.346666","-104.593687"
"(505) 765-","Landline","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(505) 860-","Cell Number","San Juan","Farmington","NM","New Mexico","87402","Mountain","36.775852","-108.101176"
"(575) 451-","Unknown","Union","Grenville","NM","New Mexico","88424","Mountain","36.369783","-103.505541"
"(505) 709-","Cell Number","Los Alamos","Los Alamos","NM","New Mexico","87545","Mountain","35.863858","-106.295255"
"(575) 586-","Unknown","Taos","Questa","NM","New Mexico","87556","Mountain","36.758733","-105.59761"
"(505) 467-","Landline","Santa Fe","Santa Fe","NM","New Mexico","87506","Mountain","35.606283","-106.075722"
"(505) 658-","Cell Number","Cibola","Grants","NM","New Mexico","87020","Mountain","35.09985","-107.850191"
"(575) 849-","Unknown","Lincoln","Corona","NM","New Mexico","88318","Mountain","34.249031","-105.596655"
"(505) 780-","Cell Number","Santa Fe","Santa Fe","NM","New Mexico","87506","Mountain","35.606283","-106.075722"
"(575) 894-","Unknown","Sierra","Truth Or Consequences","NM","New Mexico","87901","Mountain","33.160602","-107.266914"
"(505) 462-","Landline","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(505) 898-","Landline","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(575) 562-","Unknown","Roosevelt","Portales","NM","New Mexico","88130","Mountain","34.076964","-103.352595"
"(575) 936-","Unknown","Luna","Deming","NM","New Mexico","88031","Mountain","32.239815","-107.74042"
"(575) 535-","Unknown","Grant","Buckhorn","NM","New Mexico","88025","Mountain","33.06335","-108.695588"
"(575) 826-","Unknown","Eddy","Carlsbad","NM","New Mexico","88220","Mountain","32.416897","-104.46539"
"(505) 250-","Cell Number","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(505) 283-","Unknown","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(505) 214-","Landline","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(505) 328-","Cell Number","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(505) 294-","Landline","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(505) 705-","Cell Number","Torrance","Moriarty","NM","New Mexico","87035","Mountain","34.94103","-106.055796"
"(505) 939-","Cell Number","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(505) 204-","Cell Number","Santa Fe","Santa Fe","NM","New Mexico","87506","Mountain","35.606283","-106.075722"
"(575) 613-","Unknown","Taos","Taos","NM","New Mexico","87571","Mountain","36.429239","-105.554532"
"(505) 750-","Unknown","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(575) 742-","Unknown","Curry","Clovis","NM","New Mexico","88101","Mountain","34.497241","-103.294978"
"(575) 434-","Unknown","Otero","Alamogordo","NM","New Mexico","88310","Mountain","32.870046","-105.948967"
"(505) 489-","Cell Number","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(505) 968-","Cell Number","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(505) 226-","Landline","Roosevelt","Los Alamos","NM","New Mexico","87545","Mountain","35.863858","-106.295255"
"(575) 395-","Unknown","Lea","Jal","NM","New Mexico","88252","Mountain","32.094646","-103.193924"
"(575) 749-","Unknown","Curry","Clovis","NM","New Mexico","88101","Mountain","34.497241","-103.294978"
"(505) 790-","Cell Number","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(575) 202-","Unknown","Dona Ana","Las Cruces","NM","New Mexico","88005","Mountain","32.167296","-106.897176"
"(505) 925-","Landline","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(505) 427-","Landline","Guadalupe","Farmington","NM","New Mexico","87402","Mountain","36.775852","-108.101176"
"(575) 354-","Unknown","Lincoln","Lincoln","NM","New Mexico","88338","Mountain","33.739651","-105.629382"
"(575) 987-","Unknown","Otero","Sacramento","NM","New Mexico","88347","Mountain","32.78753","-105.544431"
"(505) 839-","Landline","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(505) 920-","Cell Number","Santa Fe","Santa Fe","NM","New Mexico","87506","Mountain","35.606283","-106.075722"
"(505) 224-","Landline","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
"(575) 887-","Unknown","Eddy","Carlsbad","NM","New Mexico","88220","Mountain","32.416897","-104.46539"
"(505) 848-","Landline","Bernalillo","Albuquerque","NM","New Mexico","87121","Mountain","35.059663","-106.805535"
