"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(775) 784-","Landline","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 328-","Landline","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 859-","Landline","Humboldt","Orovada","NV","Nevada","89425","Pacific","41.263287","-118.174506"
"(775) 828-","Landline","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(702) 865-","Landline","Clark","Overton","NV","Nevada","89040","Pacific","36.570259","-114.473191"
"(775) 375-","Cell Number","Douglas","Winnemucca","NV","Nevada","89446","Pacific","41.076358","-117.760165"
"(775) 233-","Cell Number","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(702) 509-","Unknown","Clark","Laughlin","NV","Nevada","89028","Pacific","35.160398","-114.746447"
"(775) 562-","Landline","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 252-","Landline","Pershing","Lovelock","NV","Nevada","89419","Pacific","40.251285","-118.400276"
"(775) 745-","Cell Number","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 849-","Landline","Washoe","Washoe Valley","NV","Nevada","89704","Pacific","39.453739","-119.722803"
"(775) 758-","Landline","Elko","Mountain City","NV","Nevada","89831","Pacific","41.059414","-115.529596"
"(702) 208-","Cell Number","Clark","Laughlin","NV","Nevada","89028","Pacific","35.160398","-114.746447"
"(775) 349-","Landline","Lander","Austin","NV","Nevada","89310","Pacific","40.046976","-117.19669"
"(775) 835-","Landline","Lyon","Fernley","NV","Nevada","89408","Pacific","39.489212","-119.196644"
"(775) 229-","Landline","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 796-","Landline","Pershing","Lovelock","NV","Nevada","89419","Pacific","40.251285","-118.400276"
"(775) 391-","Unknown","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 623-","Landline","Humboldt","Winnemucca","NV","Nevada","89446","Pacific","41.076358","-117.760165"
"(775) 281-","Landline","Eureka","Crescent Valley","NV","Nevada","89821","Pacific","40.413793","-116.581275"
"(775) 424-","Landline","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 306-","Landline","Carson City","Carson City","NV","Nevada","89701","Pacific","39.154485","-119.73074"
"(775) 413-","Unknown","Washoe","Incline Village","NV","Nevada","89452","Pacific","39.259103","-119.956585"
"(702) 554-","Landline","Clark","Searchlight","NV","Nevada","89046","Pacific","35.332725","-114.892999"
"(775) 573-","Landline","Mineral","Luning","NV","Nevada","89420","Pacific","38.484178","-118.423999"
"(775) 848-","Cell Number","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 667-","Landline","White Pine","Ely","NV","Nevada","89315","Pacific","39.332636","-114.824507"
"(775) 685-","Landline","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 247-","Landline","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 385-","Unknown","Elko","Elko","NV","Nevada","89801","Pacific","40.905583","-115.534429"
"(775) 622-","Unknown","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 327-","Landline","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 223-","Cell Number","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 682-","Unknown","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 393-","Unknown","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
"(775) 755-","Landline","Elko","Jackpot","NV","Nevada","89825","Pacific","41.059414","-115.529596"
"(775) 722-","Cell Number","Washoe","Reno","NV","Nevada","89507","Pacific","39.54231","-119.816374"
