"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(516) 721-","Cell Number","Nassau","Oyster Bay","NY","New York","11771","Eastern","40.754757","-73.601772"
"(518) 405-","Unknown","Clinton","Plattsburgh","NY","New York","12903","Eastern","44.685411","-73.447398"
"(585) 290-","Unknown","Monroe","Rochester","NY","New York","14692","Eastern","43.286024","-77.684264"
"(914) 360-","Landline","Westchester","Bronxville","NY","New York","10708","Eastern","40.938448","-73.829978"
"(585) 497-","Unknown","Monroe","Honeoye Falls","NY","New York","14472","Eastern","42.982513","-77.606771"
"(516) 372-","Cell Number","Nassau","Garden City","NY","New York","11599","Eastern","40.607574","-73.742691"
"(914) 227-","Cell Number","Westchester","White Plains","NY","New York","10602","Eastern","41.119008","-73.732996"
"(518) 549-","Landline","Albany","Albany","NY","New York","12246","Eastern","42.647079","-73.750314"
"(585) 727-","Cell Number","Monroe","Rochester","NY","New York","14692","Eastern","43.286024","-77.684264"
"(845) 526-","Landline","Putnam","Putnam Valley","NY","New York","10579","Eastern","41.399262","-73.776871"
"(516) 567-","Cell Number","Nassau","Garden City","NY","New York","11599","Eastern","40.607574","-73.742691"
"(516) 535-","Landline","Nassau","Mineola","NY","New York","11501","Eastern","40.735901","-73.638061"
"(212) 987-","Landline","New York","New York","NY","New York","10105","Eastern","40.762808","-73.978534"
"(315) 608-","Landline","Jefferson","Watertown","NY","New York","13603","Eastern","43.908739","-75.896719"
"(718) 344-","Cell Number","Kings","Brooklyn","NY","New York","11243","Eastern","40.645099","-73.945032"
"(315) 337-","Landline","Oneida","Rome","NY","New York","13441","Eastern","43.164312","-75.511301"
"(315) 735-","Landline","Oneida","Utica","NY","New York","13501","Eastern","43.077369","-75.233208"
"(518) 594-","Landline","Clinton","Ellenburg Depot","NY","New York","12935","Eastern","44.801467","-73.739157"
"(716) 341-","Unknown","Erie","Buffalo","NY","New York","14263","Eastern","42.768413","-78.887094"
"(914) 673-","Cell Number","Westchester","Yonkers","NY","New York","10701","Eastern","40.946107","-73.866926"
"(631) 689-","Landline","Suffolk","East Setauket","NY","New York","11733","Eastern","40.922326","-72.637078"
"(914) 775-","Landline","Westchester","Tuckahoe","NY","New York","10707","Eastern","40.960498","-73.816127"
"(516) 484-","Landline","Nassau","Roslyn","NY","New York","11576","Eastern","40.656802","-73.622523"
"(716) 858-","Landline","Erie","Buffalo","NY","New York","14263","Eastern","42.768413","-78.887094"
"(718) 690-","Landline","Bronx","Bronx","NY","New York","10464","Eastern","40.863028","-73.799802"
"(716) 953-","Landline","Chautauqua","Bemus Point","NY","New York","14712","Eastern","42.164572","-79.445292"
"(518) 325-","Landline","Columbia","Hillsdale","NY","New York","12529","Eastern","42.19327","-73.550028"
"(716) 902-","Landline","Erie","Alden","NY","New York","14004","Eastern","42.872937","-78.528446"
"(845) 207-","Landline","Putnam","Brewster","NY","New York","10509","Eastern","41.415979","-73.725197"
"(718) 567-","Landline","Kings","Brooklyn","NY","New York","11243","Eastern","40.645099","-73.945032"
"(516) 223-","Landline","Nassau","Freeport","NY","New York","11520","Eastern","40.651251","-73.585222"
"(631) 279-","Cell Number","Suffolk","Brentwood","NY","New York","11717","Eastern","40.780882","-73.250336"
"(716) 348-","Landline","Erie","Buffalo","NY","New York","14263","Eastern","42.768413","-78.887094"
"(631) 692-","Landline","Suffolk","Cold Spring Harbor","NY","New York","11724","Eastern","40.860098","-73.442315"
"(518) 285-","Landline","Rensselaer","Troy","NY","New York","12180","Eastern","42.673701","-73.608792"
"(631) 702-","Landline","Suffolk","Southampton","NY","New York","11968","Eastern","40.922326","-72.637078"
"(716) 667-","Landline","Erie","Orchard Park","NY","New York","14127","Eastern","42.742541","-78.704437"
"(914) 870-","Landline","Westchester","Ossining","NY","New York","10562","Eastern","41.109701","-73.827995"
"(585) 238-","Landline","Monroe","Rochester","NY","New York","14692","Eastern","43.286024","-77.684264"
"(212) 240-","Landline","New York","New York","NY","New York","10105","Eastern","40.762808","-73.978534"
"(718) 503-","Landline","Bronx","Bronx","NY","New York","10464","Eastern","40.863028","-73.799802"
"(516) 683-","Landline","Nassau","Garden City","NY","New York","11599","Eastern","40.607574","-73.742691"
"(631) 846-","Landline","Suffolk","Selden","NY","New York","11784","Eastern","40.922326","-72.637078"
"(585) 489-","Cell Number","Monroe","Rochester","NY","New York","14692","Eastern","43.286024","-77.684264"
"(516) 934-","Landline","Nassau","Hicksville","NY","New York","11854","Eastern","40.754757","-73.601772"
"(518) 852-","Cell Number","Albany","Albany","NY","New York","12246","Eastern","42.647079","-73.750314"
"(718) 984-","Landline","Richmond","Staten Island","NY","New York","10307","Eastern","40.510723","-74.24194"
"(518) 362-","Landline","Albany","Albany","NY","New York","12246","Eastern","42.647079","-73.750314"
"(631) 434-","Landline","Suffolk","Brentwood","NY","New York","11717","Eastern","40.780882","-73.250336"
"(607) 652-","Landline","Delaware","Stamford","NY","New York","12167","Eastern","42.413508","-74.61939"
"(718) 462-","Landline","Kings","Brooklyn","NY","New York","11243","Eastern","40.645099","-73.945032"
"(716) 542-","Landline","Erie","Akron","NY","New York","14001","Eastern","43.013808","-78.525296"
"(212) 692-","Landline","New York","New York","NY","New York","10105","Eastern","40.762808","-73.978534"
"(716) 524-","Landline","Niagara","Niagara Falls","NY","New York","14305","Eastern","43.117255","-79.018415"
"(631) 634-","Cell Number","Suffolk","Babylon","NY","New York","11702","Eastern","40.66415","-73.340984"
"(716) 826-","Landline","Erie","Buffalo","NY","New York","14263","Eastern","42.768413","-78.887094"
"(315) 889-","Landline","Cayuga","Union Springs","NY","New York","13160","Eastern","42.847447","-76.649164"
"(845) 355-","Landline","Orange","Slate Hill","NY","New York","10973","Eastern","41.386099","-74.480395"
"(718) 842-","Landline","Bronx","Bronx","NY","New York","10464","Eastern","40.863028","-73.799802"
"(631) 882-","Cell Number","Suffolk","Central Islip","NY","New York","11722","Eastern","40.78193","-73.196148"
"(315) 293-","Landline","Wayne","Wolcott","NY","New York","14590","Eastern","43.224693","-76.840547"
