"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(937) 505-","Landline","Clark","Springfield","OH","Ohio","45504","Eastern","39.950457","-83.890862"
"(740) 844-","Landline","Muskingum","Norwich","OH","Ohio","43767","Eastern","40.011106","-81.804302"
"(740) 414-","Landline","Lawrence","Ironton","OH","Ohio","45638","Eastern","38.544457","-82.596777"
"(419) 332-","Landline","Sandusky","Fremont","OH","Ohio","43420","Eastern","41.35622","-83.133981"
"(419) 352-","Landline","Wood","Bowling Green","OH","Ohio","43402","Eastern","41.376449","-83.613714"
"(937) 580-","Landline","Greene","Dayton","OH","Ohio","45412","Eastern","39.750471","-84.268593"
"(614) 895-","Landline","Franklin","Westerville","OH","Ohio","43086","Eastern","39.969036","-83.011389"
"(513) 735-","Landline","Clermont","Batavia","OH","Ohio","45103","Eastern","39.025905","-84.157048"
"(937) 360-","Cell Number","Clark","Springfield","OH","Ohio","45504","Eastern","39.950457","-83.890862"
"(440) 542-","Landline","Cuyahoga","Chagrin Falls","OH","Ohio","44023","Eastern","41.387203","-81.304222"
"(440) 307-","Cell Number","Lorain","Lagrange","OH","Ohio","44050","Eastern","41.258201","-82.119671"
"(937) 294-","Landline","Montgomery","Dayton","OH","Ohio","45412","Eastern","39.750471","-84.268593"
"(419) 231-","Cell Number","Allen","Lima","OH","Ohio","45807","Eastern","40.795463","-84.138298"
"(937) 558-","Landline","Greene","Dayton","OH","Ohio","45412","Eastern","39.750471","-84.268593"
"(614) 371-","Cell Number","Franklin","Columbus","OH","Ohio","43279","Eastern","39.969036","-83.011389"
"(419) 531-","Landline","Lucas","Toledo","OH","Ohio","43609","Eastern","41.624749","-83.584234"
"(614) 535-","Cell Number","Franklin","Hilliard","OH","Ohio","43026","Eastern","39.969036","-83.011389"
"(614) 216-","Cell Number","Franklin","Columbus","OH","Ohio","43279","Eastern","39.969036","-83.011389"
"(513) 768-","Landline","Hamilton","Cincinnati","OH","Ohio","45201","Eastern","39.166759","-84.53822"
