"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(918) 720-","Landline","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(580) 439-","Landline","Stephens","Comanche","OK","Oklahoma","73529","Central","34.393689","-97.970651"
"(580) 301-","Cell Number","Jackson","Altus","OK","Oklahoma","73522","Central","34.723795","-99.383928"
"(918) 650-","Landline","Okmulgee","Henryetta","OK","Oklahoma","74437","Central","35.462159","-96.012229"
"(918) 323-","Landline","Craig","Vinita","OK","Oklahoma","74301","Central","36.723649","-95.197639"
"(580) 527-","Cell Number","Beaver","Beaver","OK","Oklahoma","73932","Central","36.834113","-100.51773"
"(580) 252-","Landline","Stephens","Duncan","OK","Oklahoma","73536","Central","34.48532","-97.852223"
"(405) 792-","Landline","Oklahoma","Bethany","OK","Oklahoma","73008","Central","35.576674","-97.498858"
"(918) 251-","Landline","Tulsa","Broken Arrow","OK","Oklahoma","74012","Central","36.14226","-95.879069"
"(405) 966-","Landline","Caddo","Gracemont","OK","Oklahoma","73042","Central","35.042316","-98.233336"
"(405) 338-","Cell Number","Payne","Stillwater","OK","Oklahoma","74076","Central","36.072372","-97.055141"
"(405) 455-","Landline","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(918) 207-","Landline","Cherokee","Tahlequah","OK","Oklahoma","74464","Central","35.911304","-94.911331"
"(580) 794-","Cell Number","Major","Fairview","OK","Oklahoma","73737","Central","36.323942","-98.337597"
"(580) 699-","Unknown","Comanche","Lawton","OK","Oklahoma","73506","Central","34.630879","-98.457646"
"(918) 276-","Cell Number","Craig","Vinita","OK","Oklahoma","74301","Central","36.723649","-95.197639"
"(918) 476-","Landline","Mayes","Chouteau","OK","Oklahoma","74337","Central","36.187866","-95.261554"
"(405) 251-","Cell Number","Garvin","Wynnewood","OK","Oklahoma","73098","Central","34.645418","-97.162257"
"(405) 837-","Unknown","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(918) 676-","Landline","Ottawa","Fairland","OK","Oklahoma","74343","Central","36.741636","-94.826053"
"(580) 597-","Landline","Comanche","Faxon","OK","Oklahoma","73540","Central","34.630879","-98.457646"
"(918) 766-","Landline","Washington","Bartlesville","OK","Oklahoma","74004","Central","36.711386","-95.894042"
"(405) 325-","Landline","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(405) 517-","Cell Number","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(405) 304-","Cell Number","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(580) 667-","Landline","Tillman","Tipton","OK","Oklahoma","73570","Central","34.488104","-99.158545"
"(405) 690-","Cell Number","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(405) 663-","Landline","Caddo","Hydro","OK","Oklahoma","73048","Central","35.327225","-98.43108"
"(580) 227-","Landline","Major","Fairview","OK","Oklahoma","73737","Central","36.323942","-98.337597"
"(918) 660-","Landline","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(405) 307-","Landline","Cleveland","Norman","OK","Oklahoma","73019","Central","35.208566","-97.44451"
"(918) 969-","Landline","Le Flore","Bokoshe","OK","Oklahoma","74930","Central","34.943627","-94.745782"
"(580) 391-","Landline","Noble","Billings","OK","Oklahoma","74630","Central","36.513543","-97.408128"
"(918) 666-","Landline","Ottawa","Wyandotte","OK","Oklahoma","74370","Central","36.798561","-94.789475"
"(580) 347-","Landline","Kiowa","Gotebo","OK","Oklahoma","73041","Central","35.069516","-98.875945"
"(918) 830-","Cell Number","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(580) 332-","Landline","Pontotoc","Ada","OK","Oklahoma","74820","Central","34.748961","-96.685325"
"(405) 593-","Unknown","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(918) 502-","Landline","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(405) 661-","Unknown","Caddo","Hinton","OK","Oklahoma","73047","Central","35.473233","-98.36371"
"(918) 833-","Landline","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(580) 660-","Cell Number","Washita","Cordell","OK","Oklahoma","73632","Central","35.232961","-99.05841"
"(918) 518-","Landline","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(580) 997-","Landline","Alfalfa","Cherokee","OK","Oklahoma","73728","Central","36.665351","-98.366783"
"(405) 280-","Landline","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(918) 320-","Cell Number","Ottawa","Miami","OK","Oklahoma","74354","Central","36.842401","-94.854482"
"(405) 899-","Landline","Pottawatomie","Macomb","OK","Oklahoma","74852","Central","35.116442","-97.01139"
"(405) 829-","Cell Number","Caddo","Cement","OK","Oklahoma","73017","Central","34.924452","-98.163436"
"(580) 213-","Landline","Garfield","Enid","OK","Oklahoma","73701","Central","36.402681","-97.843091"
"(918) 924-","Landline","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(580) 805-","Landline","Woods","Alva","OK","Oklahoma","73717","Central","36.826594","-98.640045"
"(580) 353-","Landline","Comanche","Lawton","OK","Oklahoma","73506","Central","34.630879","-98.457646"
"(580) 963-","Landline","Jefferson","Hastings","OK","Oklahoma","73548","Central","34.069661","-97.838026"
"(580) 745-","Landline","Bryan","Durant","OK","Oklahoma","74701","Central","34.044944","-96.321428"
"(580) 372-","Landline","Choctaw","Hugo","OK","Oklahoma","74743","Central","34.018892","-95.514473"
"(405) 332-","Landline","Payne","Stillwater","OK","Oklahoma","74076","Central","36.072372","-97.055141"
"(405) 212-","Unknown","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(918) 960-","Unknown","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(580) 531-","Landline","Comanche","Lawton","OK","Oklahoma","73506","Central","34.630879","-98.457646"
"(405) 360-","Landline","Cleveland","Norman","OK","Oklahoma","73019","Central","35.208566","-97.44451"
"(918) 501-","Unknown","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(580) 686-","Landline","Seminole","Konawa","OK","Oklahoma","74849","Central","34.957481","-96.750209"
"(918) 551-","Landline","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(580) 522-","Cell Number","Texas","Hooker","OK","Oklahoma","73945","Central","36.810851","-101.216333"
"(918) 471-","Cell Number","Latimer","Wilburton","OK","Oklahoma","74578","Central","34.855219","-95.287712"
"(580) 927-","Landline","Coal","Coalgate","OK","Oklahoma","74538","Central","34.538327","-96.229156"
"(405) 316-","Landline","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(405) 974-","Landline","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(580) 486-","Landline","Beckham","Carter","OK","Oklahoma","73627","Central","35.26946","-99.680146"
"(580) 572-","Landline","Noble","Perry","OK","Oklahoma","73077","Central","36.318709","-97.285561"
"(918) 272-","Landline","Tulsa","Owasso","OK","Oklahoma","74055","Central","36.140225","-95.909669"
"(405) 783-","Landline","Mcclain","Byars","OK","Oklahoma","74831","Central","34.873374","-97.048399"
"(405) 714-","Cell Number","Payne","Stillwater","OK","Oklahoma","74076","Central","36.072372","-97.055141"
"(405) 838-","Unknown","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(405) 341-","Landline","Oklahoma","Edmond","OK","Oklahoma","73003","Central","35.674777","-97.499681"
"(405) 247-","Landline","Caddo","Anadarko","OK","Oklahoma","73005","Central","35.167108","-98.325598"
"(918) 765-","Landline","Osage","Shidler","OK","Oklahoma","74652","Central","36.781943","-96.6607"
"(405) 748-","Landline","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(918) 239-","Cell Number","Cherokee","Tahlequah","OK","Oklahoma","74464","Central","35.911304","-94.911331"
"(580) 288-","Landline","Garfield","Kremlin","OK","Oklahoma","73753","Central","36.528516","-97.849762"
"(580) 690-","Cell Number","Cotton","Walters","OK","Oklahoma","73572","Central","34.321541","-98.319264"
"(405) 524-","Landline","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(918) 459-","Landline","Tulsa","Broken Arrow","OK","Oklahoma","74012","Central","36.14226","-95.879069"
"(918) 588-","Landline","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(405) 629-","Landline","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(918) 309-","Cell Number","Ottawa","Miami","OK","Oklahoma","74354","Central","36.842401","-94.854482"
"(918) 335-","Landline","Washington","Bartlesville","OK","Oklahoma","74004","Central","36.711386","-95.894042"
"(405) 222-","Landline","Grady","Chickasha","OK","Oklahoma","73018","Central","35.127804","-97.937083"
"(405) 205-","Cell Number","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(405) 788-","Cell Number","Pottawatomie","Shawnee","OK","Oklahoma","74801","Central","35.295843","-96.960092"
"(918) 399-","Cell Number","Payne","Cushing","OK","Oklahoma","74023","Central","36.029294","-96.855949"
"(580) 702-","Landline","Washita","Rocky","OK","Oklahoma","73661","Central","35.155439","-99.059758"
"(918) 774-","Landline","Sequoyah","Sallisaw","OK","Oklahoma","74955","Central","35.450662","-94.706796"
"(405) 830-","Cell Number","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(918) 273-","Landline","Nowata","Nowata","OK","Oklahoma","74048","Central","36.69908","-95.631607"
"(580) 688-","Landline","Harmon","Hollis","OK","Oklahoma","73550","Central","34.694028","-99.912395"
"(918) 665-","Landline","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(405) 584-","Cell Number","Seminole","Seminole","OK","Oklahoma","74818","Central","35.162228","-96.609139"
"(405) 214-","Landline","Pottawatomie","Shawnee","OK","Oklahoma","74801","Central","35.295843","-96.960092"
"(580) 529-","Landline","Comanche","Fort Sill","OK","Oklahoma","73503","Central","34.663978","-98.437482"
"(405) 574-","Landline","Grady","Chickasha","OK","Oklahoma","73018","Central","35.127804","-97.937083"
"(405) 370-","Cell Number","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(405) 637-","Unknown","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(580) 923-","Landline","Ellis","Gage","OK","Oklahoma","73843","Central","36.255493","-99.753814"
"(918) 748-","Landline","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(405) 229-","Cell Number","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(918) 248-","Landline","Creek","Sapulpa","OK","Oklahoma","74066","Central","35.982642","-96.163955"
"(405) 875-","Unknown","Oklahoma","Oklahoma City","OK","Oklahoma","73109","Central","35.435221","-97.525265"
"(918) 467-","Landline","Nowata","Delaware","OK","Oklahoma","74027","Central","36.777208","-95.641981"
"(918) 853-","Cell Number","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(918) 378-","Cell Number","Tulsa","Tulsa","OK","Oklahoma","74103","Central","36.155392","-95.994424"
"(405) 997-","Landline","Pottawatomie","Earlsboro","OK","Oklahoma","74840","Central","35.324924","-96.800685"
"(405) 309-","Landline","Oklahoma","Harrah","OK","Oklahoma","73045","Central","35.53316","-97.395314"
"(580) 271-","Cell Number","Pushmataha","Antlers","OK","Oklahoma","74523","Central","34.215441","-95.626306"
"(580) 926-","Landline","Dewey","Camargo","OK","Oklahoma","73835","Central","36.019939","-99.287978"
"(918) 288-","Landline","Tulsa","Sperry","OK","Oklahoma","74073","Central","36.298452","-95.951622"
