"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(541) 934-","Landline","Grant","Monument","OR","Oregon","97864","Mountain / Pacific","44.818887","-119.419221"
"(541) 275-","Unknown","Umatilla","Umatilla","OR","Oregon","97882","Mountain / Pacific","45.869529","-118.95693"
"(503) 469-","Landline","Washington","Beaverton","OR","Oregon","97007","Pacific","45.450489","-122.865171"
"(541) 744-","Landline","Lane","Eugene","OR","Oregon","97408","Mountain / Pacific","44.141548","-123.125468"
"(503) 537-","Landline","Yamhill","Newberg","OR","Oregon","97132","Pacific","45.329475","-122.981045"
"(541) 288-","Cell Number","Wasco","The Dalles","OR","Oregon","97058","Mountain / Pacific","45.554978","-121.18703"
"(503) 419-","Landline","Washington","Beaverton","OR","Oregon","97007","Pacific","45.450489","-122.865171"
"(503) 273-","Landline","Multnomah","Portland","OR","Oregon","97223","Pacific","45.44739","-122.795294"
"(503) 205-","Landline","Multnomah","Portland","OR","Oregon","97223","Pacific","45.44739","-122.795294"
"(541) 340-","Cell Number","Wasco","The Dalles","OR","Oregon","97058","Mountain / Pacific","45.554978","-121.18703"
"(503) 779-","Landline","Marion","Salem","OR","Oregon","97305","Pacific","44.996133","-122.91239"
"(503) 251-","Landline","Multnomah","Portland","OR","Oregon","97223","Pacific","45.44739","-122.795294"
"(503) 605-","Landline","Washington","Beaverton","OR","Oregon","97007","Pacific","45.450489","-122.865171"
"(503) 300-","Unknown","Tillamook","Bay City","OR","Oregon","97107","Pacific","45.609399","-123.894297"
"(541) 392-","Landline","Hood River","Cascade Locks","OR","Oregon","97014","Mountain / Pacific","45.671017","-121.868565"
"(503) 952-","Landline","Multnomah","Portland","OR","Oregon","97223","Pacific","45.44739","-122.795294"
"(541) 603-","Unknown","Lane","Eugene","OR","Oregon","97408","Mountain / Pacific","44.141548","-123.125468"
"(541) 290-","Cell Number","Coos","Coos Bay","OR","Oregon","97420","Mountain / Pacific","43.215143","-124.198358"
"(503) 721-","Landline","Multnomah","Portland","OR","Oregon","97223","Pacific","45.44739","-122.795294"
"(503) 945-","Landline","Marion","Salem","OR","Oregon","97305","Pacific","44.996133","-122.91239"
"(503) 851-","Cell Number","Marion","Salem","OR","Oregon","97305","Pacific","44.996133","-122.91239"
"(503) 359-","Landline","Washington","Forest Grove","OR","Oregon","97116","Pacific","45.598052","-123.1818"
"(503) 371-","Landline","Marion","Salem","OR","Oregon","97305","Pacific","44.996133","-122.91239"
