"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(570) 648-","Landline","Northumberland","Shamokin","PA","Pennsylvania","17872","Eastern","40.791953","-76.601592"
"(814) 615-","Unknown","Cambria","Nanty Glo","PA","Pennsylvania","15943","Eastern","40.392443","-78.848566"
"(570) 849-","Landline","Montour","Danville","PA","Pennsylvania","17822","Eastern","40.967437","-76.604896"
"(610) 618-","Cell Number","Berks","Kutztown","PA","Pennsylvania","19530","Eastern","40.473382","-75.775241"
"(570) 655-","Landline","Luzerne","Pittston","PA","Pennsylvania","18640","Eastern","41.298152","-75.85856"
"(814) 954-","Unknown","Centre","State College","PA","Pennsylvania","16801","Eastern","40.881935","-77.867822"
"(724) 305-","Landline","Washington","Donora","PA","Pennsylvania","15033","Eastern","40.179896","-79.868392"
"(570) 344-","Landline","Lackawanna","Scranton","PA","Pennsylvania","18503","Eastern","41.410079","-75.666784"
"(610) 534-","Landline","Delaware","Glenolden","PA","Pennsylvania","19036","Eastern","39.902512","-75.29268"
"(814) 671-","Cell Number","Venango","Oil City","PA","Pennsylvania","16301","Eastern","41.330725","-79.775153"
"(717) 260-","Landline","Dauphin","Harrisburg","PA","Pennsylvania","17177","Eastern","40.298988","-76.847194"
"(724) 753-","Landline","Butler","Petrolia","PA","Pennsylvania","16050","Eastern","41.041059","-79.762814"
"(814) 233-","Cell Number","Somerset","Somerset","PA","Pennsylvania","15510","Eastern","39.963306","-79.04089"
"(724) 749-","Landline","Washington","Canonsburg","PA","Pennsylvania","15317","Eastern","40.155704","-80.12842"
"(724) 490-","Landline","Indiana","Home","PA","Pennsylvania","15747","Eastern","40.701519","-79.182743"
"(724) 497-","Landline","Fayette","Perryopolis","PA","Pennsylvania","15473","Eastern","40.064564","-79.775594"
"(814) 628-","Landline","Tioga","Sabinsville","PA","Pennsylvania","16943","Eastern","41.77197","-77.242228"
"(717) 289-","Cell Number","Lancaster","Lancaster","PA","Pennsylvania","17699","Eastern","40.0185","-76.297582"
"(814) 878-","Landline","Erie","Erie","PA","Pennsylvania","16508","Eastern","42.097156","-80.09283"
"(717) 274-","Landline","Lebanon","Lebanon","PA","Pennsylvania","17042","Eastern","40.331594","-76.397634"
"(724) 334-","Landline","Westmoreland","New Kensington","PA","Pennsylvania","15068","Eastern","40.478821","-79.581506"
"(215) 354-","Landline","Bucks","Southampton","PA","Pennsylvania","18966","Eastern","40.186758","-75.007099"
"(610) 640-","Landline","Chester","Paoli","PA","Pennsylvania","19301","Eastern","40.040057","-75.488793"
"(814) 845-","Landline","Indiana","Glen Campbell","PA","Pennsylvania","15742","Eastern","40.804413","-78.889036"
"(610) 627-","Landline","Delaware","Media","PA","Pennsylvania","19091","Eastern","39.934047","-75.405987"
"(717) 214-","Landline","Dauphin","Harrisburg","PA","Pennsylvania","17177","Eastern","40.298988","-76.847194"
"(610) 435-","Landline","Lehigh","Allentown","PA","Pennsylvania","18101","Eastern","40.607497","-75.470026"
"(215) 582-","Cell Number","Montgomery","Fort Washington","PA","Pennsylvania","19049","Eastern","40.328645","-75.10278"
"(724) 297-","Landline","Armstrong","Worthington","PA","Pennsylvania","16262","Eastern","40.837764","-79.629766"
"(814) 727-","Unknown","Warren","Sheffield","PA","Pennsylvania","16347","Eastern","41.68338","-79.032776"
"(717) 738-","Landline","Lancaster","Ephrata","PA","Pennsylvania","17522","Eastern","40.169662","-76.356933"
"(814) 481-","Unknown","Clearfield","Luthersburg","PA","Pennsylvania","15848","Eastern","40.989115","-78.422403"
"(814) 464-","Landline","Erie","Erie","PA","Pennsylvania","16508","Eastern","42.097156","-80.09283"
"(570) 428-","Landline","Northumberland","Milton","PA","Pennsylvania","17847","Eastern","40.993883","-76.847896"
"(724) 814-","Unknown","Butler","Mars","PA","Pennsylvania","16046","Eastern","40.866316","-79.936986"
"(610) 510-","Landline","Bucks","Riegelsville","PA","Pennsylvania","18077","Eastern","40.567316","-75.236191"
"(724) 403-","Landline","Indiana","Indiana","PA","Pennsylvania","15705","Eastern","40.640031","-79.129445"
"(610) 471-","Landline","Philadelphia","Philadelphia","PA","Pennsylvania","19113","Eastern","39.869958","-75.277458"
"(215) 318-","Landline","Bucks","Warrington","PA","Pennsylvania","18976","Eastern","40.244807","-75.142587"
"(610) 212-","Cell Number","Montgomery","Norristown","PA","Pennsylvania","19404","Eastern","40.211896","-75.35586"
"(610) 237-","Landline","Delaware","Glenolden","PA","Pennsylvania","19036","Eastern","39.902512","-75.29268"
"(814) 968-","Landline","Warren","Sheffield","PA","Pennsylvania","16347","Eastern","41.68338","-79.032776"
"(724) 286-","Landline","Indiana","Rochester Mills","PA","Pennsylvania","15771","Eastern","40.72193","-79.006162"
"(570) 285-","Landline","Luzerne","Kingston","PA","Pennsylvania","18704","Eastern","41.27843","-75.905842"
"(570) 364-","Landline","Bradford","Granville Summit","PA","Pennsylvania","16926","Eastern","41.77197","-76.521266"
"(717) 879-","Unknown","Lancaster","Manheim","PA","Pennsylvania","17545","Eastern","40.155927","-76.464018"
"(724) 966-","Landline","Greene","Carmichaels","PA","Pennsylvania","15320","Eastern","39.918913","-79.98532"
"(814) 720-","Cell Number","Crawford","Meadville","PA","Pennsylvania","16388","Eastern","41.659552","-80.157553"
"(570) 237-","Cell Number","Luzerne","Pittston","PA","Pennsylvania","18640","Eastern","41.298152","-75.85856"
"(717) 489-","Landline","Dauphin","Hershey","PA","Pennsylvania","17033","Eastern","40.269748","-76.636357"
