"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(787) 524-","Landline","Bayamon","Bayamon","PR","Puerto Rico","956","Atlantic","18.326702","-66.174176"
"(787) 678-","Cell Number","Cayey","Cayey","PR","Puerto Rico","737","Atlantic","18.102967","-66.139274"
"(787) 221-","Cell Number","Guaynabo","Guaynabo","PR","Puerto Rico","971","Atlantic","18.30942","-66.113606"
"(787) 740-","Landline","Bayamon","Bayamon","PR","Puerto Rico","956","Atlantic","18.326702","-66.174176"
"(787) 796-","Landline","Dorado","Dorado","PR","Puerto Rico","646","Atlantic","18.43606","-66.281954"
"(787) 629-","Cell Number","Aguada","Aguada","PR","Puerto Rico","602","Atlantic","18.393103","-67.180953"
"(787) 276-","Landline","Carolina","Carolina","PR","Puerto Rico","981","Atlantic","18.410462","-66.060533"
"(787) 901-","Cell Number","Ponce","Ponce","PR","Puerto Rico","717","Atlantic","18.001995","-66.607429"
"(787) 650-","Landline","Arecibo","Arecibo","PR","Puerto Rico","613","Atlantic","18.458093","-66.732732"
"(787) 779-","Landline","Bayamon","Bayamon","PR","Puerto Rico","956","Atlantic","18.326702","-66.174176"
"(787) 385-","Cell Number","Trujillo Alto","Trujillo Alto","PR","Puerto Rico","976","Atlantic","18.338133","-65.989229"
"(787) 807-","Landline","Vega Alta","Vega Alta","PR","Puerto Rico","692","Atlantic","18.435818","-66.338523"
"(787) 937-","Landline","San Lorenzo","San Lorenzo","PR","Puerto Rico","754","Atlantic","18.187584","-65.962389"
"(787) 747-","Landline","Caguas","Caguas","PR","Puerto Rico","726","Atlantic","18.212965","-66.058033"
"(787) 815-","Landline","Arecibo","Arecibo","PR","Puerto Rico","613","Atlantic","18.458093","-66.732732"
"(787) 812-","Landline","Ponce","Ponce","PR","Puerto Rico","717","Atlantic","18.001995","-66.607429"
"(787) 566-","Cell Number","Arecibo","Arecibo","PR","Puerto Rico","613","Atlantic","18.458093","-66.732732"
"(787) 733-","Landline","Las Piedras","Las Piedras","PR","Puerto Rico","771","Atlantic","18.196576","-65.87197"
"(787) 974-","Unknown","Ponce","Ponce","PR","Puerto Rico","717","Atlantic","18.001995","-66.607429"
