"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(401) 415-","Unknown","Providence","Providence","RI","Rhode Island","2905","Eastern","41.803799","-71.422547"
"(401) 749-","Cell Number","Providence","Providence","RI","Rhode Island","2905","Eastern","41.803799","-71.422547"
"(401) 521-","Landline","Providence","Providence","RI","Rhode Island","2905","Eastern","41.803799","-71.422547"
"(401) 658-","Landline","Providence","Woonsocket","RI","Rhode Island","2895","Eastern","41.984598","-71.51939"
"(401) 783-","Landline","Washington","Narragansett","RI","Rhode Island","2882","Eastern","41.377185","-71.497793"
"(401) 584-","Landline","Washington","Westerly","RI","Rhode Island","2891","Eastern","41.284494","-71.710708"
"(401) 865-","Landline","Providence","Providence","RI","Rhode Island","2905","Eastern","41.803799","-71.422547"
"(401) 858-","Landline","Newport","Tiverton","RI","Rhode Island","2878","Eastern","41.61018","-71.175183"
"(401) 338-","Cell Number","Providence","Providence","RI","Rhode Island","2905","Eastern","41.803799","-71.422547"
"(401) 536-","Unknown","Providence","Providence","RI","Rhode Island","2905","Eastern","41.803799","-71.422547"
"(401) 742-","Cell Number","Providence","Providence","RI","Rhode Island","2905","Eastern","41.803799","-71.422547"
"(401) 719-","Landline","Providence","Providence","RI","Rhode Island","2905","Eastern","41.803799","-71.422547"
"(401) 309-","Cell Number","Providence","Woonsocket","RI","Rhode Island","2895","Eastern","41.984598","-71.51939"
"(401) 556-","Cell Number","Providence","Providence","RI","Rhode Island","2905","Eastern","41.803799","-71.422547"
"(401) 224-","Landline","Providence","Providence","RI","Rhode Island","2905","Eastern","41.803799","-71.422547"
"(401) 784-","Landline","Providence","Providence","RI","Rhode Island","2905","Eastern","41.803799","-71.422547"
"(401) 324-","Landline","Newport","Newport","RI","Rhode Island","2841","Eastern","41.498977","-71.299004"
"(401) 349-","Landline","Kent","East Greenwich","RI","Rhode Island","2818","Eastern","41.64335","-71.478002"
"(401) 768-","Cell Number","Providence","Woonsocket","RI","Rhode Island","2895","Eastern","41.984598","-71.51939"
"(401) 283-","Landline","Providence","Providence","RI","Rhode Island","2905","Eastern","41.803799","-71.422547"
"(401) 458-","Landline","Providence","Providence","RI","Rhode Island","2905","Eastern","41.803799","-71.422547"
"(401) 579-","Landline","Providence","Woonsocket","RI","Rhode Island","2895","Eastern","41.984598","-71.51939"
"(401) 770-","Landline","Providence","Woonsocket","RI","Rhode Island","2895","Eastern","41.984598","-71.51939"
"(401) 262-","Landline","Kent","Warwick","RI","Rhode Island","2886","Eastern","41.70247","-71.47902"
"(401) 432-","Landline","Providence","Providence","RI","Rhode Island","2905","Eastern","41.803799","-71.422547"
