"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(803) 596-","Unknown","Orangeburg","Orangeburg","SC","South Carolina","29115","Eastern","33.490935","-80.821825"
"(843) 828-","Landline","Horry","Myrtle Beach","SC","South Carolina","29572","Eastern","33.711741","-78.852005"
"(803) 245-","Landline","Bamberg","Bamberg","SC","South Carolina","29003","Eastern","33.206294","-80.973559"
"(864) 998-","Landline","Laurens","Cross Hill","SC","South Carolina","29332","Eastern","34.281449","-81.977214"
"(843) 423-","Landline","Marion","Marion","SC","South Carolina","29571","Eastern","34.164144","-79.363948"
"(843) 868-","Landline","Colleton","Edisto Island","SC","South Carolina","29438","Eastern","32.502398","-80.307509"
"(803) 404-","Unknown","Richland","Columbia","SC","South Carolina","29201","Eastern","33.987454","-81.024864"
"(864) 876-","Landline","Laurens","Gray Court","SC","South Carolina","29645","Eastern","34.595311","-82.114703"
"(864) 288-","Landline","Greenville","Greenville","SC","South Carolina","29615","Eastern","34.938893","-82.358999"
"(843) 279-","Landline","Horry","Conway","SC","South Carolina","29527","Eastern","33.82352","-79.022331"
"(803) 451-","Unknown","Richland","Columbia","SC","South Carolina","29201","Eastern","33.987454","-81.024864"
"(803) 575-","Unknown","Lexington","Chapin","SC","South Carolina","29036","Eastern","34.135909","-81.334355"
"(843) 830-","Cell Number","Charleston","Charleston","SC","South Carolina","29403","Eastern","32.822391","-79.965464"
"(864) 266-","Cell Number","Spartanburg","Spartanburg","SC","South Carolina","29305","Eastern","35.111404","-82.105503"
"(843) 602-","Cell Number","Horry","Myrtle Beach","SC","South Carolina","29572","Eastern","33.711741","-78.852005"
"(803) 656-","Landline","York","Fort Mill","SC","South Carolina","29716","Eastern","35.062815","-80.969035"
"(864) 248-","Landline","Greenville","Greenville","SC","South Carolina","29615","Eastern","34.938893","-82.358999"
"(843) 343-","Cell Number","Charleston","Charleston","SC","South Carolina","29403","Eastern","32.822391","-79.965464"
"(803) 244-","Landline","Bamberg","Bamberg","SC","South Carolina","29003","Eastern","33.206294","-80.973559"
"(843) 592-","Cell Number","Beaufort","Beaufort","SC","South Carolina","29903","Eastern","32.443974","-80.735245"
"(843) 629-","Landline","Florence","Florence","SC","South Carolina","29505","Eastern","34.049881","-79.693907"
"(864) 369-","Landline","Anderson","Honea Path","SC","South Carolina","29654","Eastern","34.416329","-82.508821"
"(843) 601-","Cell Number","Florence","Florence","SC","South Carolina","29505","Eastern","34.049881","-79.693907"
"(843) 769-","Landline","Charleston","Charleston","SC","South Carolina","29403","Eastern","32.822391","-79.965464"
"(803) 229-","Cell Number","Lee","Bishopville","SC","South Carolina","29010","Eastern","34.207324","-80.306569"
"(843) 850-","Landline","Dillon","Dillon","SC","South Carolina","29536","Eastern","34.422187","-79.341359"
"(803) 834-","Unknown","Richland","Columbia","SC","South Carolina","29201","Eastern","33.987454","-81.024864"
"(843) 782-","Landline","Colleton","Walterboro","SC","South Carolina","29488","Eastern","32.925196","-80.703213"
"(803) 233-","Landline","Richland","Columbia","SC","South Carolina","29201","Eastern","33.987454","-81.024864"
"(803) 754-","Landline","Richland","Columbia","SC","South Carolina","29201","Eastern","33.987454","-81.024864"
