"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(605) 688-","Landline","Brookings","Brookings","SD","South Dakota","57006","Central / Mountain","44.355091","-96.762102"
"(605) 247-","Landline","Mccook","Salem","SD","South Dakota","57058","Central / Mountain","43.639298","-97.343417"
"(605) 569-","Unknown","Butte","Belle Fourche","SD","South Dakota","57717","Central / Mountain","44.93037","-103.87313"
"(605) 990-","Landline","Davison","Mitchell","SD","South Dakota","57301","Central / Mountain","43.69591","-98.086401"
"(605) 942-","Landline","Aurora","Plankinton","SD","South Dakota","57368","Central / Mountain","43.746753","-98.518533"
"(605) 442-","Landline","Potter","Tolstoy","SD","South Dakota","57475","Central / Mountain","45.22375","-99.694578"
"(605) 843-","Landline","Haakon","Midland","SD","South Dakota","57552","Central / Mountain","44.370733","-101.527178"
"(605) 271-","Landline","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 685-","Landline","Bennett","Martin","SD","South Dakota","57551","Central / Mountain","43.172158","-101.734068"
"(605) 371-","Landline","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 949-","Cell Number","Grant","Milbank","SD","South Dakota","57252","Central / Mountain","45.171617","-96.629203"
"(605) 333-","Landline","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 964-","Landline","Dewey","Eagle Butte","SD","South Dakota","57625","Central / Mountain","45.001611","-101.232885"
"(605) 471-","Cell Number","Mccook","Salem","SD","South Dakota","57058","Central / Mountain","43.639298","-97.343417"
"(605) 437-","Landline","Campbell","Herreid","SD","South Dakota","57632","Central / Mountain","45.833733","-100.020048"
"(605) 717-","Landline","Lawrence","Spearfish","SD","South Dakota","57783","Central / Mountain","44.467137","-103.772331"
"(605) 629-","Landline","Brookings","White","SD","South Dakota","57276","Central / Mountain","44.405596","-96.599788"
"(605) 743-","Landline","Lincoln","Harrisburg","SD","South Dakota","57032","Central / Mountain","43.425258","-96.659737"
"(605) 457-","Landline","Pennington","Wall","SD","South Dakota","57790","Central / Mountain","44.013772","-102.238397"
"(605) 539-","Landline","Jerauld","Wessington Springs","SD","South Dakota","57382","Central / Mountain","44.066415","-98.675133"
"(605) 383-","Landline","Brown","Frederick","SD","South Dakota","57441","Central / Mountain","45.693116","-98.368918"
"(605) 773-","Landline","Hughes","Pierre","SD","South Dakota","57501","Central / Mountain","44.334073","-100.094195"
"(605) 757-","Landline","Minnehaha","Valley Springs","SD","South Dakota","57068","Central / Mountain","43.594402","-96.528511"
"(605) 540-","Unknown","Union","North Sioux City","SD","South Dakota","57049","Central / Mountain","42.587483","-96.585026"
"(605) 747-","Landline","Todd","Parmelee","SD","South Dakota","57566","Central / Mountain","43.194063","-100.713373"
"(605) 288-","Landline","Shannon","Batesland","SD","South Dakota","57716","Central / Mountain","43.352617","-102.5411"
"(605) 277-","Landline","Brown","Aberdeen","SD","South Dakota","57402","Central / Mountain","45.589567","-98.352014"
"(605) 200-","Cell Number","Ziebach","Dupree","SD","South Dakota","57623","Central / Mountain","45.050456","-101.607171"
"(605) 726-","Landline","Charles Mix","Dante","SD","South Dakota","57329","Central / Mountain","42.984707","-98.175204"
"(605) 838-","Unknown","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 363-","Landline","Minnehaha","Humboldt","SD","South Dakota","57035","Central / Mountain","43.637836","-96.816129"
"(605) 789-","Unknown","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 233-","Cell Number","Clark","Clark","SD","South Dakota","57225","Central / Mountain","44.891983","-97.832972"
"(605) 397-","Landline","Brown","Groton","SD","South Dakota","57445","Central / Mountain","45.589027","-98.245639"
"(605) 823-","Landline","Corson","Mc Laughlin","SD","South Dakota","57642","Central / Mountain","45.876336","-100.891469"
"(605) 610-","Landline","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 561-","Unknown","Meade","Sturgis","SD","South Dakota","57785","Central / Mountain","44.369172","-103.361658"
"(605) 695-","Cell Number","Brookings","Brookings","SD","South Dakota","57006","Central / Mountain","44.355091","-96.762102"
"(605) 796-","Landline","Sanborn","Woonsocket","SD","South Dakota","57385","Central / Mountain","44.04271","-98.231397"
"(605) 767-","Landline","Lincoln","Harrisburg","SD","South Dakota","57032","Central / Mountain","43.425258","-96.659737"
"(605) 690-","Cell Number","Brookings","Brookings","SD","South Dakota","57006","Central / Mountain","44.355091","-96.762102"
"(605) 492-","Landline","Day","Bristol","SD","South Dakota","57219","Central / Mountain","45.319218","-97.637812"
"(605) 265-","Cell Number","Day","Webster","SD","South Dakota","57274","Central / Mountain","45.31506","-97.525395"
"(605) 373-","Landline","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 494-","Unknown","Hughes","Pierre","SD","South Dakota","57501","Central / Mountain","44.334073","-100.094195"
"(605) 720-","Landline","Meade","Sturgis","SD","South Dakota","57785","Central / Mountain","44.369172","-103.361658"
"(605) 689-","Unknown","Yankton","Yankton","SD","South Dakota","57078","Central / Mountain","42.94396","-97.37689"
"(605) 699-","Unknown","Butte","Belle Fourche","SD","South Dakota","57717","Central / Mountain","44.93037","-103.87313"
"(605) 394-","Landline","Pennington","Rapid City","SD","South Dakota","57709","Central / Mountain","44.076106","-103.317149"
"(605) 226-","Landline","Brown","Aberdeen","SD","South Dakota","57402","Central / Mountain","45.589567","-98.352014"
"(605) 965-","Landline","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 749-","Landline","Custer","Custer","SD","South Dakota","57730","Central / Mountain","43.657304","-103.425807"
"(605) 372-","Landline","Lincoln","Lennox","SD","South Dakota","57039","Central / Mountain","43.298098","-96.856021"
"(605) 201-","Cell Number","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 445-","Landline","Grant","Milbank","SD","South Dakota","57252","Central / Mountain","45.171617","-96.629203"
"(605) 364-","Landline","Yankton","Lesterville","SD","South Dakota","57040","Central / Mountain","43.06062","-97.568901"
"(605) 554-","Unknown","Beadle","Huron","SD","South Dakota","57350","Central / Mountain","44.398874","-98.180113"
"(605) 339-","Landline","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 763-","Landline","Union","Beresford","SD","South Dakota","57004","Central / Mountain","42.842947","-96.681135"
"(605) 362-","Landline","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 864-","Cell Number","Moody","Flandreau","SD","South Dakota","57028","Central / Mountain","43.984004","-96.616189"
"(605) 398-","Landline","Roberts","Summit","SD","South Dakota","57266","Central / Mountain","45.30204","-97.036537"
"(605) 234-","Landline","Brule","Chamberlain","SD","South Dakota","57326","Central / Mountain","43.71725","-99.131736"
"(605) 988-","Landline","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 794-","Landline","Deuel","Toronto","SD","South Dakota","57268","Central / Mountain","44.567419","-96.59444"
"(605) 885-","Landline","Brown","Houghton","SD","South Dakota","57449","Central / Mountain","45.60711","-98.170069"
"(605) 390-","Cell Number","Pennington","Rapid City","SD","South Dakota","57709","Central / Mountain","44.076106","-103.317149"
"(605) 286-","Landline","Bon Homme","Avon","SD","South Dakota","57315","Central / Mountain","42.988284","-97.878579"
"(605) 636-","Landline","Lake","Madison","SD","South Dakota","57042","Central / Mountain","44.054223","-97.091339"
"(605) 987-","Landline","Lincoln","Canton","SD","South Dakota","57013","Central / Mountain","43.29831","-96.70718"
"(605) 783-","Landline","Hamlin","Hazel","SD","South Dakota","57242","Central / Mountain","44.759144","-97.381575"
"(605) 727-","Landline","Pennington","Rapid City","SD","South Dakota","57709","Central / Mountain","44.076106","-103.317149"
"(605) 886-","Landline","Codington","Watertown","SD","South Dakota","57201","Central / Mountain","44.955643","-97.177954"
"(605) 661-","Cell Number","Yankton","Yankton","SD","South Dakota","57078","Central / Mountain","42.94396","-97.37689"
"(605) 327-","Landline","Turner","Viborg","SD","South Dakota","57070","Central / Mountain","43.188383","-97.180373"
"(605) 388-","Landline","Pennington","Rapid City","SD","South Dakota","57709","Central / Mountain","44.076106","-103.317149"
"(605) 892-","Landline","Butte","Belle Fourche","SD","South Dakota","57717","Central / Mountain","44.93037","-103.87313"
"(605) 591-","Cell Number","Lawrence","Lead","SD","South Dakota","57754","Central / Mountain","44.444505","-103.752683"
"(605) 861-","Cell Number","Kingsbury","De Smet","SD","South Dakota","57231","Central / Mountain","44.369482","-97.542049"
"(605) 835-","Landline","Gregory","Gregory","SD","South Dakota","57533","Central / Mountain","43.213649","-99.36219"
"(605) 355-","Landline","Pennington","Rapid City","SD","South Dakota","57709","Central / Mountain","44.076106","-103.317149"
"(605) 696-","Landline","Brookings","Brookings","SD","South Dakota","57006","Central / Mountain","44.355091","-96.762102"
"(605) 532-","Landline","Clark","Clark","SD","South Dakota","57225","Central / Mountain","44.891983","-97.832972"
"(605) 978-","Landline","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 291-","Cell Number","Lake","Madison","SD","South Dakota","57042","Central / Mountain","44.054223","-97.091339"
"(605) 521-","Cell Number","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 941-","Cell Number","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 996-","Landline","Davison","Mitchell","SD","South Dakota","57301","Central / Mountain","43.69591","-98.086401"
"(605) 834-","Landline","Gregory","Saint Charles","SD","South Dakota","57571","Central / Mountain","43.248832","-99.016376"
"(605) 439-","Landline","Edmunds","Ipswich","SD","South Dakota","57451","Central / Mountain","45.421905","-99.258683"
"(605) 323-","Landline","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 427-","Landline","Lake","Madison","SD","South Dakota","57042","Central / Mountain","44.054223","-97.091339"
"(605) 414-","Unknown","Hamlin","Castlewood","SD","South Dakota","57223","Central / Mountain","44.65665","-97.116149"
"(605) 776-","Landline","Hughes","Pierre","SD","South Dakota","57501","Central / Mountain","44.334073","-100.094195"
"(605) 760-","Cell Number","Yankton","Yankton","SD","South Dakota","57078","Central / Mountain","42.94396","-97.37689"
"(605) 266-","Landline","Beadle","Hitchcock","SD","South Dakota","57348","Central / Mountain","44.567404","-98.406424"
"(605) 352-","Landline","Beadle","Huron","SD","South Dakota","57350","Central / Mountain","44.398874","-98.180113"
"(605) 899-","Unknown","Bennett","Martin","SD","South Dakota","57551","Central / Mountain","43.172158","-101.734068"
"(605) 454-","Cell Number","Bennett","Martin","SD","South Dakota","57551","Central / Mountain","43.172158","-101.734068"
"(605) 739-","Landline","Meade","Faith","SD","South Dakota","57626","Central / Mountain","45.024533","-102.026734"
"(605) 625-","Landline","Clark","Willow Lake","SD","South Dakota","57278","Central / Mountain","44.659815","-97.573152"
"(605) 370-","Cell Number","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 659-","Cell Number","Clay","Vermillion","SD","South Dakota","57069","Central / Mountain","42.854124","-96.973318"
"(605) 421-","Cell Number","Mccook","Salem","SD","South Dakota","57058","Central / Mountain","43.639298","-97.343417"
"(605) 369-","Landline","Bon Homme","Springfield","SD","South Dakota","57062","Central / Mountain","42.881672","-97.926212"
"(605) 361-","Landline","Minnehaha","Sioux Falls","SD","South Dakota","57109","Central / Mountain","43.674582","-96.79134"
"(605) 693-","Landline","Brookings","Brookings","SD","South Dakota","57006","Central / Mountain","44.355091","-96.762102"
