"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(865) 984-","Landline","Blount","Maryville","TN","Tennessee","37801","Eastern","35.688378","-84.076895"
"(931) 649-","Landline","Franklin","Estill Springs","TN","Tennessee","37330","Eastern / Central","35.270666","-86.056548"
"(865) 806-","Cell Number","Knox","Knoxville","TN","Tennessee","37916","Eastern","35.933783","-83.973635"
"(865) 200-","Unknown","Knox","Knoxville","TN","Tennessee","37916","Eastern","35.933783","-83.973635"
"(731) 669-","Landline","Carroll","Trezevant","TN","Tennessee","38258","Central","36.040631","-88.606605"
"(615) 872-","Landline","Davidson","Nashville","TN","Tennessee","37229","Central","36.186605","-86.785248"
"(901) 242-","Landline","Shelby","Memphis","TN","Tennessee","38103","Central","35.154875","-90.049631"
"(615) 541-","Landline","Davidson","Old Hickory","TN","Tennessee","37138","Central","36.137706","-86.633545"
"(615) 774-","Landline","Smith","Pleasant Shade","TN","Tennessee","37145","Central","36.346164","-85.918944"
"(931) 216-","Cell Number","Montgomery","Clarksville","TN","Tennessee","37044","Eastern / Central","36.531398","-87.353008"
"(423) 568-","Landline","Mcminn","Niota","TN","Tennessee","37826","Eastern / Central","35.542073","-84.582782"
"(901) 267-","Unknown","Shelby","Memphis","TN","Tennessee","38103","Central","35.154875","-90.049631"
"(615) 827-","Landline","Sumner","Hendersonville","TN","Tennessee","37077","Central","36.304701","-86.621095"
"(901) 331-","Cell Number","Shelby","Memphis","TN","Tennessee","38103","Central","35.154875","-90.049631"
"(423) 789-","Landline","Sullivan","Blountville","TN","Tennessee","37617","Eastern / Central","36.525039","-82.369895"
"(615) 740-","Landline","Dickson","Dickson","TN","Tennessee","37056","Central","36.146949","-87.352971"
"(423) 956-","Cell Number","Sullivan","Bristol","TN","Tennessee","37625","Eastern / Central","36.504158","-82.26446"
"(931) 469-","Landline","Franklin","Huntland","TN","Tennessee","37345","Eastern / Central","35.045745","-86.25541"
"(615) 418-","Cell Number","Davidson","Nashville","TN","Tennessee","37229","Central","36.186605","-86.785248"
"(901) 477-","Landline","Shelby","Memphis","TN","Tennessee","38103","Central","35.154875","-90.049631"
"(615) 985-","Landline","Robertson","Springfield","TN","Tennessee","37172","Central","36.51351","-86.888624"
"(931) 300-","Unknown","Lawrence","Lawrenceburg","TN","Tennessee","38464","Eastern / Central","35.235493","-87.397143"
"(901) 287-","Cell Number","Shelby","Memphis","TN","Tennessee","38103","Central","35.154875","-90.049631"
"(615) 664-","Cell Number","Davidson","Nashville","TN","Tennessee","37229","Central","36.186605","-86.785248"
"(423) 237-","Cell Number","Cocke","Newport","TN","Tennessee","37822","Eastern / Central","35.947688","-83.106554"
"(901) 729-","Landline","Shelby","Memphis","TN","Tennessee","38103","Central","35.154875","-90.049631"
"(901) 751-","Landline","Shelby","Germantown","TN","Tennessee","38183","Central","35.201738","-89.971538"
"(901) 857-","Cell Number","Shelby","Memphis","TN","Tennessee","38103","Central","35.154875","-90.049631"
"(901) 294-","Landline","Tipton","Mason","TN","Tennessee","38049","Central","35.443164","-89.563798"
"(731) 341-","Landline","Weakley","Dresden","TN","Tennessee","38225","Central","36.313605","-88.742473"
"(865) 630-","Landline","Anderson","Lake City","TN","Tennessee","37769","Eastern","36.198793","-84.118107"
"(615) 660-","Cell Number","Davidson","Nashville","TN","Tennessee","37229","Central","36.186605","-86.785248"
"(731) 782-","Landline","Henry","Cottage Grove","TN","Tennessee","38224","Central","36.401598","-88.466035"
"(865) 275-","Landline","Anderson","Oak Ridge","TN","Tennessee","37831","Eastern","36.105971","-84.195796"
"(901) 441-","Landline","Shelby","Memphis","TN","Tennessee","38103","Central","35.154875","-90.049631"
"(865) 231-","Unknown","Knox","Knoxville","TN","Tennessee","37916","Eastern","35.933783","-83.973635"
"(731) 616-","Cell Number","Madison","Jackson","TN","Tennessee","38302","Central","35.612405","-88.841225"
"(731) 973-","Landline","Weakley","Sharon","TN","Tennessee","38255","Central","36.241614","-88.860371"
"(615) 273-","Landline","Dekalb","Smithville","TN","Tennessee","37166","Central","35.958503","-85.835635"
