"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(254) 333-","Cell Number","Bell","Killeen","TX","Texas","76540","Central","31.085833","-97.357099"
"(512) 626-","Cell Number","Travis","Austin","TX","Texas","78772","Central","30.326374","-97.771258"
"(830) 264-","Landline","Atascosa","Christine","TX","Texas","78012","Central","28.785811","-98.488586"
"(325) 206-","Cell Number","Sutton","Sonora","TX","Texas","76950","Central","30.579386","-100.671422"
"(817) 864-","Landline","Tarrant","Euless","TX","Texas","76040","Central","32.821379","-97.108179"
"(956) 659-","Unknown","Cameron","Harlingen","TX","Texas","78553","Central","26.125242","-97.475663"
"(214) 402-","Cell Number","Dallas","Dallas","TX","Texas","75374","Central","32.767268","-96.777626"
"(210) 526-","Cell Number","Bexar","San Antonio","TX","Texas","78269","Central","29.437532","-98.461582"
"(210) 298-","Landline","Bexar","San Antonio","TX","Texas","78269","Central","29.437532","-98.461582"
"(214) 308-","Cell Number","Dallas","Dallas","TX","Texas","75374","Central","32.767268","-96.777626"
"(915) 590-","Landline","El Paso","El Paso","TX","Texas","79947","Central / Mountain","31.694842","-106.299987"
"(903) 271-","Cell Number","Grayson","Denison","TX","Texas","75021","Central","33.716947","-96.523482"
"(214) 270-","Landline","Dallas","Dallas","TX","Texas","75374","Central","32.767268","-96.777626"
"(512) 807-","Unknown","Travis","Austin","TX","Texas","78772","Central","30.326374","-97.771258"
"(214) 896-","Cell Number","Dallas","Grand Prairie","TX","Texas","75052","Central","32.767268","-96.777626"
"(409) 834-","Landline","Tyler","Warren","TX","Texas","77664","Central","30.634714","-94.380858"
"(512) 854-","Landline","Travis","Austin","TX","Texas","78772","Central","30.326374","-97.771258"
"(830) 242-","Cell Number","Uvalde","Knippa","TX","Texas","78870","Central","29.298401","-99.636636"
"(956) 905-","Unknown","Hidalgo","Mcallen","TX","Texas","78501","Central","26.269305","-98.224364"
"(713) 475-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(214) 594-","Landline","Dallas","Irving","TX","Texas","75039","Central","32.73178","-96.82273"
"(214) 722-","Landline","Dallas","Dallas","TX","Texas","75374","Central","32.767268","-96.777626"
"(806) 503-","Unknown","Hall","Turkey","TX","Texas","79261","Central","34.394837","-100.892561"
"(830) 290-","Cell Number","Val Verde","Del Rio","TX","Texas","78847","Central","29.763171","-101.230032"
"(903) 438-","Landline","Hopkins","Sulphur Springs","TX","Texas","75483","Central","33.168606","-95.585464"
"(512) 879-","Landline","Travis","Austin","TX","Texas","78772","Central","30.326374","-97.771258"
"(806) 994-","Cell Number","Swisher","Tulia","TX","Texas","79088","Central","34.558293","-101.803862"
"(903) 856-","Landline","Camp","Pittsburg","TX","Texas","75686","Central","32.998041","-94.952278"
"(713) 598-","Cell Number","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(817) 267-","Landline","Tarrant","Euless","TX","Texas","76040","Central","32.821379","-97.108179"
"(979) 413-","Landline","Austin","Bellville","TX","Texas","77418","Central","29.864772","-96.321766"
"(830) 676-","Landline","La Salle","Cotulla","TX","Texas","78014","Central","28.243436","-99.278563"
"(979) 479-","Cell Number","Matagorda","Bay City","TX","Texas","77414","Central","28.86362","-95.917347"
"(806) 568-","Unknown","Hockley","Levelland","TX","Texas","79336","Central","33.606901","-102.345939"
"(903) 274-","Landline","Hunt","Greenville","TX","Texas","75404","Central","33.056265","-96.080973"
"(512) 498-","Landline","Travis","Austin","TX","Texas","78772","Central","30.326374","-97.771258"
"(817) 443-","Landline","Tarrant","Fort Worth","TX","Texas","76191","Central","32.771419","-97.291484"
"(713) 876-","Cell Number","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(817) 691-","Cell Number","Tarrant","Fort Worth","TX","Texas","76191","Central","32.771419","-97.291484"
"(512) 716-","Landline","Travis","Austin","TX","Texas","78772","Central","30.326374","-97.771258"
"(325) 632-","Landline","Irion","Mertzon","TX","Texas","76941","Central","31.347682","-100.874701"
"(830) 235-","Cell Number","Burnet","Marble Falls","TX","Texas","78654","Central","30.663954","-98.161114"
"(830) 715-","Landline","Medina","La Coste","TX","Texas","78039","Central","29.311728","-98.839256"
"(254) 498-","Cell Number","Mclennan","Waco","TX","Texas","76706","Central","31.47441","-97.112326"
"(713) 405-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(214) 269-","Landline","Dallas","Dallas","TX","Texas","75374","Central","32.767268","-96.777626"
"(903) 876-","Landline","Anderson","Frankston","TX","Texas","75763","Central","31.992987","-95.499133"
"(903) 533-","Landline","Smith","Tyler","TX","Texas","75701","Central","32.288029","-95.200403"
"(512) 746-","Landline","Williamson","Jarrell","TX","Texas","76537","Central","30.811931","-97.594186"
"(409) 634-","Cell Number","Jefferson","Nederland","TX","Texas","77627","Central","29.992248","-94.195448"
"(817) 653-","Landline","Tarrant","Fort Worth","TX","Texas","76191","Central","32.771419","-97.291484"
"(817) 434-","Cell Number","Tarrant","Arlington","TX","Texas","76018","Central","32.771419","-97.291484"
"(210) 733-","Landline","Bexar","San Antonio","TX","Texas","78269","Central","29.437532","-98.461582"
"(512) 907-","Landline","Travis","Austin","TX","Texas","78772","Central","30.326374","-97.771258"
"(210) 359-","Landline","Bexar","San Antonio","TX","Texas","78269","Central","29.437532","-98.461582"
"(956) 273-","Unknown","Webb","Laredo","TX","Texas","78041","Central","27.556714","-99.475079"
"(512) 300-","Landline","Travis","Austin","TX","Texas","78772","Central","30.326374","-97.771258"
"(713) 276-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(817) 640-","Landline","Tarrant","Arlington","TX","Texas","76018","Central","32.771419","-97.291484"
"(713) 794-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(915) 269-","Cell Number","El Paso","El Paso","TX","Texas","79947","Central / Mountain","31.694842","-106.299987"
"(512) 243-","Landline","Travis","Austin","TX","Texas","78772","Central","30.326374","-97.771258"
"(903) 314-","Cell Number","Bowie","New Boston","TX","Texas","75570","Central","33.421142","-94.372021"
"(281) 533-","Landline","Fort Bend","Fulshear","TX","Texas","77441","Central","29.688985","-95.935279"
"(936) 877-","Cell Number","San Augustine","Broaddus","TX","Texas","75929","Central","31.418078","-94.182373"
"(214) 232-","Cell Number","Dallas","Grand Prairie","TX","Texas","75052","Central","32.767268","-96.777626"
"(361) 428-","Unknown","Nueces","Port Aransas","TX","Texas","78373","Central","27.770678","-97.105137"
"(713) 568-","Unknown","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(940) 322-","Landline","Wichita","Wichita Falls","TX","Texas","76305","Central","33.973736","-98.512878"
"(512) 467-","Landline","Travis","Austin","TX","Texas","78772","Central","30.326374","-97.771258"
"(512) 644-","Cell Number","Hays","San Marcos","TX","Texas","78666","Central","29.972907","-97.997166"
"(713) 295-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(254) 945-","Landline","Bosque","Valley Mills","TX","Texas","76689","Central","31.657441","-97.471686"
"(713) 269-","Cell Number","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(281) 420-","Landline","Harris","Baytown","TX","Texas","77520","Central","29.83399","-95.434241"
"(903) 785-","Landline","Lamar","Paris","TX","Texas","75460","Central","33.612433","-95.464896"
"(903) 658-","Cell Number","Rusk","Henderson","TX","Texas","75652","Central","32.213061","-94.783436"
"(830) 355-","Landline","Medina","Castroville","TX","Texas","78009","Central","29.364948","-98.909219"
"(254) 238-","Cell Number","Coryell","Copperas Cove","TX","Texas","76522","Central","31.202919","-97.930051"
"(210) 626-","Landline","Bexar","San Antonio","TX","Texas","78269","Central","29.437532","-98.461582"
"(713) 266-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(210) 274-","Cell Number","Bexar","San Antonio","TX","Texas","78269","Central","29.437532","-98.461582"
"(830) 755-","Landline","Kendall","Boerne","TX","Texas","78006","Central","29.893137","-98.685719"
"(817) 754-","Landline","Tarrant","Azle","TX","Texas","76020","Central","32.909715","-97.526302"
"(806) 397-","Unknown","Hutchinson","Fritch","TX","Texas","79036","Central","35.663213","-101.575988"
"(713) 522-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(713) 337-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(956) 231-","Landline","Webb","Laredo","TX","Texas","78041","Central","27.556714","-99.475079"
"(806) 945-","Landline","Castro","Nazareth","TX","Texas","79063","Central","34.542943","-102.09605"
"(817) 276-","Landline","Tarrant","Arlington","TX","Texas","76018","Central","32.771419","-97.291484"
"(214) 712-","Landline","Dallas","Dallas","TX","Texas","75374","Central","32.767268","-96.777626"
"(409) 764-","Cell Number","Jefferson","Port Neches","TX","Texas","77651","Central","30.005205","-94.132182"
"(830) 397-","Cell Number","Medina","Devine","TX","Texas","78016","Central","29.21041","-98.978383"
"(254) 679-","Cell Number","Coryell","Gatesville","TX","Texas","76528","Central","31.417739","-97.833033"
"(940) 594-","Cell Number","Denton","Denton","TX","Texas","76204","Central","33.20743","-97.116282"
"(432) 530-","Landline","Ector","Odessa","TX","Texas","79762","Central","31.893906","-102.353839"
"(409) 351-","Cell Number","Jefferson","Beaumont","TX","Texas","77705","Central","29.928158","-94.189854"
"(210) 863-","Cell Number","Bexar","San Antonio","TX","Texas","78269","Central","29.437532","-98.461582"
"(806) 798-","Landline","Lubbock","Lubbock","TX","Texas","79401","Central","33.607701","-101.842056"
"(817) 925-","Cell Number","Tarrant","Fort Worth","TX","Texas","76191","Central","32.771419","-97.291484"
"(830) 761-","Cell Number","Medina","La Coste","TX","Texas","78039","Central","29.311728","-98.839256"
"(817) 337-","Landline","Tarrant","Keller","TX","Texas","76248","Central","32.934629","-97.24871"
"(940) 889-","Landline","Baylor","Seymour","TX","Texas","76380","Central","33.620131","-99.263681"
"(817) 791-","Cell Number","Tarrant","Fort Worth","TX","Texas","76191","Central","32.771419","-97.291484"
"(409) 882-","Landline","Orange","Orange","TX","Texas","77632","Central","30.17752","-93.840937"
"(361) 660-","Landline","Jim Wells","Alice","TX","Texas","78332","Central","27.703829","-98.055296"
"(361) 580-","Landline","Victoria","Victoria","TX","Texas","77905","Central","28.752488","-97.033759"
"(361) 577-","Cell Number","Victoria","Victoria","TX","Texas","77905","Central","28.752488","-97.033759"
"(325) 656-","Cell Number","Tom Green","San Angelo","TX","Texas","76906","Central","31.372754","-100.495114"
"(214) 864-","Cell Number","Dallas","Grand Prairie","TX","Texas","75052","Central","32.767268","-96.777626"
"(713) 316-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(409) 283-","Landline","Tyler","Woodville","TX","Texas","75979","Central","30.758494","-94.366929"
"(940) 399-","Cell Number","Wise","Decatur","TX","Texas","76234","Central","33.260148","-97.610974"
"(254) 472-","Landline","Limestone","Mexia","TX","Texas","76667","Central","31.674789","-96.52153"
"(325) 625-","Landline","Coleman","Coleman","TX","Texas","76834","Central","31.896653","-99.400197"
"(409) 682-","Cell Number","Galveston","Galveston","TX","Texas","77551","Central","29.212008","-94.933849"
"(713) 731-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(281) 766-","Landline","Montgomery","Pinehurst","TX","Texas","77362","Central","30.179187","-95.692288"
"(210) 380-","Cell Number","Bexar","San Antonio","TX","Texas","78269","Central","29.437532","-98.461582"
"(817) 840-","Landline","Tarrant","Fort Worth","TX","Texas","76191","Central","32.771419","-97.291484"
"(903) 840-","Cell Number","Smith","Tyler","TX","Texas","75701","Central","32.288029","-95.200403"
"(830) 847-","Cell Number","Live Oak","Whitsett","TX","Texas","78075","Central","28.421814","-98.071902"
"(713) 730-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(361) 816-","Cell Number","Nueces","Corpus Christi","TX","Texas","78410","Central","27.82437","-97.584067"
"(214) 857-","Landline","Dallas","Dallas","TX","Texas","75374","Central","32.767268","-96.777626"
"(915) 782-","Landline","El Paso","El Paso","TX","Texas","79947","Central / Mountain","31.694842","-106.299987"
"(361) 470-","Unknown","Duval","Realitos","TX","Texas","78376","Central","27.660242","-98.517894"
"(214) 798-","Cell Number","Dallas","Grand Prairie","TX","Texas","75052","Central","32.767268","-96.777626"
"(281) 489-","Landline","Brazoria","Manvel","TX","Texas","77578","Central","29.478468","-95.374419"
"(281) 843-","Landline","Harris","Highlands","TX","Texas","77562","Central","29.83399","-95.434241"
"(817) 499-","Cell Number","Tarrant","Arlington","TX","Texas","76018","Central","32.771419","-97.291484"
"(713) 338-","Unknown","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(956) 640-","Unknown","Cameron","Brownsville","TX","Texas","78520","Central","26.052155","-97.514466"
"(915) 242-","Landline","El Paso","El Paso","TX","Texas","79947","Central / Mountain","31.694842","-106.299987"
"(830) 572-","Landline","Karnes","Gillett","TX","Texas","78116","Central","29.092731","-97.843908"
"(281) 429-","Landline","Montgomery","Porter","TX","Texas","77365","Central","30.21308","-95.400036"
"(713) 922-","Cell Number","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(936) 871-","Cell Number","Grimes","Anderson","TX","Texas","77830","Central","30.562982","-95.981285"
"(361) 647-","Cell Number","Jim Hogg","Hebbronville","TX","Texas","78361","Central","27.07069","-98.692717"
"(713) 513-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(806) 548-","Cell Number","Lubbock","Lubbock","TX","Texas","79401","Central","33.607701","-101.842056"
"(979) 404-","Unknown","Fayette","Fayetteville","TX","Texas","78940","Central","29.859063","-96.845436"
"(956) 434-","Cell Number","Cameron","Los Fresnos","TX","Texas","78566","Central","26.131503","-97.552425"
"(281) 452-","Landline","Harris","Channelview","TX","Texas","77530","Central","29.83399","-95.434241"
"(214) 434-","Landline","Dallas","Dallas","TX","Texas","75374","Central","32.767268","-96.777626"
"(254) 219-","Cell Number","Mclennan","Waco","TX","Texas","76706","Central","31.47441","-97.112326"
"(956) 248-","Landline","Willacy","Lyford","TX","Texas","78569","Central","26.406243","-97.791701"
"(915) 585-","Landline","El Paso","El Paso","TX","Texas","79947","Central / Mountain","31.694842","-106.299987"
"(936) 238-","Unknown","Angelina","Lufkin","TX","Texas","75915","Central","31.287257","-94.577084"
"(817) 760-","Unknown","Johnson","Cleburne","TX","Texas","76031","Central","32.317774","-97.440849"
"(214) 727-","Cell Number","Dallas","Dallas","TX","Texas","75374","Central","32.767268","-96.777626"
"(713) 817-","Cell Number","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(281) 839-","Landline","Harris","Baytown","TX","Texas","77520","Central","29.83399","-95.434241"
"(830) 743-","Cell Number","Comal","New Braunfels","TX","Texas","78135","Central","29.738502","-98.087157"
"(713) 471-","Cell Number","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(830) 560-","Landline","Guadalupe","Mc Queeney","TX","Texas","78123","Central","29.600748","-98.041576"
"(512) 496-","Cell Number","Travis","Austin","TX","Texas","78772","Central","30.326374","-97.771258"
"(432) 259-","Landline","Reeves","Pecos","TX","Texas","79772","Central","31.446678","-103.57906"
"(940) 862-","Landline","Young","Olney","TX","Texas","76374","Central","33.361214","-98.779466"
"(214) 642-","Cell Number","Dallas","Dallas","TX","Texas","75374","Central","32.767268","-96.777626"
"(817) 752-","Landline","Tarrant","Fort Worth","TX","Texas","76191","Central","32.771419","-97.291484"
"(254) 435-","Landline","Bosque","Meridian","TX","Texas","76665","Central","31.926424","-97.652901"
"(281) 516-","Landline","Harris","Tomball","TX","Texas","77377","Central","29.83399","-95.434241"
"(830) 752-","Landline","Maverick","Eagle Pass","TX","Texas","78853","Central","28.679006","-100.478373"
"(830) 635-","Landline","Atascosa","Pleasanton","TX","Texas","78064","Central","28.975023","-98.495551"
"(979) 554-","Cell Number","Fort Bend","Guy","TX","Texas","77444","Central","29.349957","-95.77215"
"(915) 720-","Landline","El Paso","El Paso","TX","Texas","79947","Central / Mountain","31.694842","-106.299987"
"(817) 534-","Landline","Tarrant","Fort Worth","TX","Texas","76191","Central","32.771419","-97.291484"
"(713) 824-","Cell Number","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(361) 480-","Unknown","Nueces","Corpus Christi","TX","Texas","78410","Central","27.82437","-97.584067"
"(432) 420-","Unknown","Winkler","Kermit","TX","Texas","79745","Central","31.808357","-103.1135"
"(512) 997-","Landline","Travis","Austin","TX","Texas","78772","Central","30.326374","-97.771258"
"(830) 336-","Landline","Kendall","Bergheim","TX","Texas","78004","Central","29.897947","-98.564153"
"(713) 343-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(361) 250-","Cell Number","Aransas","Rockport","TX","Texas","78381","Central","28.013108","-97.09364"
"(325) 944-","Landline","Tom Green","San Angelo","TX","Texas","76906","Central","31.372754","-100.495114"
"(830) 273-","Cell Number","Atascosa","Christine","TX","Texas","78012","Central","28.785811","-98.488586"
"(936) 544-","Landline","Houston","Crockett","TX","Texas","75835","Central","31.320814","-95.392816"
"(214) 372-","Landline","Dallas","Dallas","TX","Texas","75374","Central","32.767268","-96.777626"
"(409) 600-","Unknown","Jefferson","Beaumont","TX","Texas","77705","Central","29.928158","-94.189854"
"(210) 827-","Cell Number","Bexar","San Antonio","TX","Texas","78269","Central","29.437532","-98.461582"
"(361) 667-","Unknown","Brooks","Falfurrias","TX","Texas","78355","Central","27.223209","-98.145056"
"(713) 482-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(940) 255-","Cell Number","Wise","Decatur","TX","Texas","76234","Central","33.260148","-97.610974"
"(210) 220-","Landline","Bexar","San Antonio","TX","Texas","78269","Central","29.437532","-98.461582"
"(361) 561-","Landline","Nueces","Corpus Christi","TX","Texas","78410","Central","27.82437","-97.584067"
"(409) 499-","Unknown","Jefferson","Beaumont","TX","Texas","77705","Central","29.928158","-94.189854"
"(713) 640-","Landline","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(713) 816-","Cell Number","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
"(254) 764-","Landline","Erath","Dublin","TX","Texas","76446","Central","32.123145","-98.289028"
"(432) 729-","Landline","Brewster","Alpine","TX","Texas","79832","Central","30.363139","-103.653904"
"(936) 337-","Landline","Walker","New Waverly","TX","Texas","77358","Central","30.550542","-95.466582"
"(936) 687-","Landline","Houston","Grapeland","TX","Texas","75844","Central","31.495931","-95.468798"
"(281) 392-","Landline","Fort Bend","Katy","TX","Texas","77450","Central","29.83399","-95.434241"
"(806) 413-","Unknown","Parmer","Farwell","TX","Texas","79325","Central","34.524376","-102.784569"
"(956) 298-","Landline","Starr","Roma","TX","Texas","78584","Central","26.584581","-99.004493"
"(325) 597-","Landline","Mcculloch","Brady","TX","Texas","76825","Central","31.150939","-99.337237"
"(361) 262-","Cell Number","Duval","Freer","TX","Texas","78357","Central","27.899181","-98.614928"
"(940) 459-","Landline","Knox","Benjamin","TX","Texas","79505","Central","33.599303","-99.884689"
"(713) 564-","Cell Number","Harris","Houston","TX","Texas","77275","Central","29.83399","-95.434241"
