"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(801) 394-","Landline","Weber","Ogden","UT","Utah","84407","Mountain","41.238547","-111.965867"
"(801) 557-","Cell Number","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 949-","Cell Number","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 525-","Landline","Davis","Clearfield","UT","Utah","84016","Mountain","40.892995","-111.888121"
"(801) 619-","Landline","Salt Lake","Draper","UT","Utah","84020","Mountain","40.506148","-111.869671"
"(435) 714-","Cell Number","Summit","Park City","UT","Utah","84098","Mountain","40.702896","-111.548098"
"(801) 933-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 941-","Cell Number","Weber","Ogden","UT","Utah","84407","Mountain","41.238547","-111.965867"
"(801) 459-","Landline","Weber","Ogden","UT","Utah","84407","Mountain","41.238547","-111.965867"
"(801) 370-","Landline","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 567-","Landline","Salt Lake","Midvale","UT","Utah","84047","Mountain","40.608972","-111.885868"
"(801) 872-","Unknown","Davis","Bountiful","UT","Utah","84011","Mountain","40.963547","-112.115984"
"(435) 754-","Landline","Cache","Logan","UT","Utah","84321","Mountain","41.76695","-111.885084"
"(435) 298-","Unknown","Carbon","Price","UT","Utah","84501","Mountain","39.567883","-110.650901"
"(801) 265-","Landline","Salt Lake","Murray","UT","Utah","84123","Mountain","40.65963","-111.919269"
"(801) 718-","Cell Number","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(435) 456-","Landline","Wayne","Torrey","UT","Utah","84775","Mountain","38.296853","-111.413774"
"(801) 532-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 762-","Landline","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 548-","Cell Number","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 531-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 904-","Landline","Salt Lake","Murray","UT","Utah","84123","Mountain","40.65963","-111.919269"
"(801) 501-","Landline","Salt Lake","Draper","UT","Utah","84020","Mountain","40.506148","-111.869671"
"(435) 787-","Landline","Cache","Logan","UT","Utah","84321","Mountain","41.76695","-111.885084"
"(801) 515-","Landline","Utah","Springville","UT","Utah","84663","Mountain","40.180718","-111.562586"
"(801) 340-","Landline","Weber","Ogden","UT","Utah","84407","Mountain","41.238547","-111.965867"
"(801) 254-","Landline","Salt Lake","Riverton","UT","Utah","84095","Mountain","40.554098","-111.953891"
"(435) 625-","Landline","Beaver","Beaver","UT","Utah","84713","Mountain","38.315334","-112.798228"
"(801) 622-","Landline","Weber","Ogden","UT","Utah","84407","Mountain","41.238547","-111.965867"
"(801) 352-","Landline","Salt Lake","Midvale","UT","Utah","84047","Mountain","40.608972","-111.885868"
"(801) 495-","Landline","Salt Lake","Draper","UT","Utah","84020","Mountain","40.506148","-111.869671"
"(801) 447-","Landline","Davis","Farmington","UT","Utah","84025","Mountain","40.969069","-111.907344"
"(435) 865-","Landline","Iron","Cedar City","UT","Utah","84721","Mountain","37.656843","-113.3695"
"(801) 920-","Cell Number","Weber","Ogden","UT","Utah","84407","Mountain","41.238547","-111.965867"
"(801) 333-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 615-","Unknown","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 741-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(435) 704-","Cell Number","Iron","Cedar City","UT","Utah","84721","Mountain","37.656843","-113.3695"
"(801) 338-","Cell Number","Salt Lake","Murray","UT","Utah","84123","Mountain","40.65963","-111.919269"
"(801) 478-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 903-","Unknown","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 339-","Cell Number","Salt Lake","Murray","UT","Utah","84123","Mountain","40.65963","-111.919269"
"(801) 220-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 960-","Unknown","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(435) 571-","Landline","Summit","Park City","UT","Utah","84098","Mountain","40.702896","-111.548098"
"(435) 826-","Landline","Garfield","Antimony","UT","Utah","84712","Mountain","37.729535","-110.543374"
"(801) 921-","Cell Number","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 966-","Landline","Salt Lake","Kearns","UT","Utah","84118","Mountain","40.650407","-112.005421"
"(801) 363-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(435) 856-","Landline","Juab","Nephi","UT","Utah","84648","Mountain","39.757861","-111.841787"
"(801) 392-","Landline","Weber","Ogden","UT","Utah","84407","Mountain","41.238547","-111.965867"
"(801) 313-","Landline","Salt Lake","Murray","UT","Utah","84123","Mountain","40.65963","-111.919269"
"(435) 587-","Landline","San Juan","Monticello","UT","Utah","84535","Mountain","38.099745","-109.259108"
"(801) 343-","Landline","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 673-","Cell Number","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(435) 747-","Landline","Box Elder","Grouse Creek","UT","Utah","84313","Mountain","41.500586","-112.957875"
"(801) 879-","Cell Number","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 713-","Landline","Salt Lake","Murray","UT","Utah","84123","Mountain","40.65963","-111.919269"
"(801) 319-","Cell Number","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 681-","Landline","Weber","Ogden","UT","Utah","84407","Mountain","41.238547","-111.965867"
"(801) 969-","Landline","Salt Lake","Kearns","UT","Utah","84118","Mountain","40.650407","-112.005421"
"(801) 848-","Landline","Salt Lake","Holladay","UT","Utah","84121","Mountain","40.622557","-111.777749"
"(801) 776-","Landline","Davis","Clearfield","UT","Utah","84016","Mountain","40.892995","-111.888121"
"(801) 873-","Landline","Utah","Mapleton","UT","Utah","84664","Mountain","40.125168","-111.580197"
"(801) 203-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 755-","Cell Number","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 368-","Cell Number","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 287-","Landline","Salt Lake","Murray","UT","Utah","84123","Mountain","40.65963","-111.919269"
"(801) 841-","Landline","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 299-","Landline","Davis","Bountiful","UT","Utah","84011","Mountain","40.963547","-112.115984"
"(801) 693-","Landline","Davis","Bountiful","UT","Utah","84011","Mountain","40.963547","-112.115984"
"(435) 708-","Unknown","Iron","Cedar City","UT","Utah","84721","Mountain","37.656843","-113.3695"
"(801) 874-","Unknown","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 912-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(435) 795-","Landline","Millard","Fillmore","UT","Utah","84631","Mountain","39.055572","-112.467412"
"(801) 500-","Unknown","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(435) 637-","Landline","Carbon","Price","UT","Utah","84501","Mountain","39.567883","-110.650901"
"(801) 607-","Landline","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 508-","Landline","Salt Lake","Magna","UT","Utah","84044","Mountain","40.699401","-112.088875"
"(435) 647-","Landline","Summit","Park City","UT","Utah","84098","Mountain","40.702896","-111.548098"
"(801) 825-","Landline","Davis","Clearfield","UT","Utah","84016","Mountain","40.892995","-111.888121"
"(801) 649-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 285-","Unknown","Salt Lake","Midvale","UT","Utah","84047","Mountain","40.608972","-111.885868"
"(435) 263-","Unknown","Iron","Cedar City","UT","Utah","84721","Mountain","37.656843","-113.3695"
"(435) 206-","Cell Number","Cache","Logan","UT","Utah","84321","Mountain","41.76695","-111.885084"
"(801) 318-","Cell Number","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 505-","Unknown","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 362-","Cell Number","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 576-","Landline","Salt Lake","Draper","UT","Utah","84020","Mountain","40.506148","-111.869671"
"(801) 708-","Unknown","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 420-","Cell Number","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 773-","Landline","Davis","Clearfield","UT","Utah","84016","Mountain","40.892995","-111.888121"
"(801) 409-","Landline","Weber","Ogden","UT","Utah","84407","Mountain","41.238547","-111.965867"
"(801) 235-","Landline","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(435) 653-","Landline","Emery","Elmo","UT","Utah","84521","Mountain","39.403255","-110.810027"
"(435) 500-","Cell Number","Rich","Randolph","UT","Utah","84064","Mountain","41.690895","-111.184512"
"(801) 454-","Landline","Salt Lake","Midvale","UT","Utah","84047","Mountain","40.608972","-111.885868"
"(801) 373-","Landline","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 563-","Landline","Salt Lake","Midvale","UT","Utah","84047","Mountain","40.608972","-111.885868"
"(435) 940-","Landline","Summit","Park City","UT","Utah","84098","Mountain","40.702896","-111.548098"
"(435) 610-","Cell Number","Juab","Nephi","UT","Utah","84648","Mountain","39.757861","-111.841787"
"(435) 562-","Landline","Sevier","Salina","UT","Utah","84654","Mountain","38.921403","-111.908156"
"(435) 820-","Cell Number","Carbon","Price","UT","Utah","84501","Mountain","39.567883","-110.650901"
"(435) 436-","Landline","Sanpete","Mount Pleasant","UT","Utah","84647","Mountain","39.348588","-111.605642"
"(435) 387-","Landline","Beaver","Milford","UT","Utah","84751","Mountain","38.305873","-113.250981"
"(801) 869-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(435) 778-","Cell Number","Daggett","Manila","UT","Utah","84046","Mountain","40.990039","-109.704889"
"(801) 684-","Landline","Salt Lake","Kearns","UT","Utah","84118","Mountain","40.650407","-112.005421"
"(435) 621-","Cell Number","Uintah","Vernal","UT","Utah","84079","Mountain","40.160179","-109.547839"
"(801) 491-","Landline","Utah","Springville","UT","Utah","84663","Mountain","40.180718","-111.562586"
"(801) 240-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 441-","Cell Number","Salt Lake","Midvale","UT","Utah","84047","Mountain","40.608972","-111.885868"
"(801) 586-","Landline","Davis","Clearfield","UT","Utah","84016","Mountain","40.892995","-111.888121"
"(435) 701-","Cell Number","Iron","Cedar City","UT","Utah","84721","Mountain","37.656843","-113.3695"
"(801) 702-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 371-","Landline","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 659-","Landline","Weber","Ogden","UT","Utah","84407","Mountain","41.238547","-111.965867"
"(435) 650-","Cell Number","Carbon","Price","UT","Utah","84501","Mountain","39.567883","-110.650901"
"(801) 253-","Landline","Salt Lake","Riverton","UT","Utah","84095","Mountain","40.554098","-111.953891"
"(435) 202-","Cell Number","Cache","Logan","UT","Utah","84321","Mountain","41.76695","-111.885084"
"(435) 419-","Cell Number","San Juan","Monticello","UT","Utah","84535","Mountain","38.099745","-109.259108"
"(801) 472-","Cell Number","Utah","Provo","UT","Utah","84601","Mountain","40.235053","-111.695558"
"(801) 668-","Cell Number","Weber","Ogden","UT","Utah","84407","Mountain","41.238547","-111.965867"
"(435) 548-","Landline","Duchesne","Tabiona","UT","Utah","84072","Mountain","40.359782","-110.721218"
"(801) 905-","Landline","Salt Lake","Murray","UT","Utah","84123","Mountain","40.65963","-111.919269"
"(801) 243-","Cell Number","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
"(801) 506-","Landline","Salt Lake","Murray","UT","Utah","84123","Mountain","40.65963","-111.919269"
"(801) 620-","Landline","Weber","Ogden","UT","Utah","84407","Mountain","41.238547","-111.965867"
"(801) 533-","Landline","Salt Lake","S Salt Lake","UT","Utah","84165","Mountain","40.668068","-111.908297"
