"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(757) 941-","Landline","James City","Williamsburg","VA","Virginia","23188","Eastern","37.34822","-76.773832"
"(757) 258-","Landline","James City","Williamsburg","VA","Virginia","23188","Eastern","37.34822","-76.773832"
"(804) 335-","Unknown","Richmond City","Richmond","VA","Virginia","23285","Eastern","37.524246","-77.493157"
"(540) 585-","Landline","Montgomery","Christiansburg","VA","Virginia","24068","Eastern","37.154804","-80.418396"
"(703) 272-","Landline","Fairfax","Vienna","VA","Virginia","22185","Eastern","38.831813","-77.288755"
"(276) 676-","Landline","Washington","Abingdon","VA","Virginia","24212","Eastern","36.690942","-81.970764"
"(757) 318-","Landline","Virginia Beach City","Virginia Beach","VA","Virginia","23466","Eastern","36.795669","-76.012628"
"(540) 629-","Unknown","Radford City","Radford","VA","Virginia","24143","Eastern","37.122583","-80.562913"
"(804) 779-","Landline","Hanover","Mechanicsville","VA","Virginia","23111","Eastern","37.628179","-77.281955"
"(804) 467-","Cell Number","Richmond City","Richmond","VA","Virginia","23285","Eastern","37.524246","-77.493157"
"(757) 880-","Cell Number","Newport News City","Newport News","VA","Virginia","23606","Eastern","37.073526","-76.493022"
"(703) 400-","Cell Number","Arlington","Arlington","VA","Virginia","22201","Eastern","38.885484","-77.099113"
"(540) 316-","Unknown","Fauquier","Warrenton","VA","Virginia","20186","Eastern","38.689832","-77.836115"
"(757) 513-","Cell Number","Norfolk City","Norfolk","VA","Virginia","23502","Eastern","36.887433","-76.212909"
"(804) 529-","Landline","Northumberland","Callao","VA","Virginia","22435","Eastern","37.961716","-76.577422"
"(276) 530-","Landline","Buchanan","Big Rock","VA","Virginia","24603","Eastern","37.287992","-82.027408"
"(434) 476-","Landline","Halifax","Halifax","VA","Virginia","24558","Eastern","36.783814","-78.964257"
"(757) 726-","Landline","Hampton City","Hampton","VA","Virginia","23661","Eastern","37.034746","-76.385817"
"(540) 641-","Cell Number","Radford","Radford","VA","Virginia","24143","Eastern","37.122583","-80.562913"
"(540) 212-","Cell Number","Culpeper","Culpeper","VA","Virginia","22701","Eastern","38.511694","-77.9928"
"(540) 725-","Landline","Roanoke","Roanoke","VA","Virginia","24157","Eastern","37.288384","-80.067062"
"(434) 315-","Landline","Prince Edward","Farmville","VA","Virginia","23909","Eastern","37.301574","-78.394944"
"(434) 736-","Landline","Charlotte","Keysville","VA","Virginia","23947","Eastern","37.013846","-78.567247"
"(540) 866-","Landline","Frederick","Stephens City","VA","Virginia","22655","Eastern","39.163418","-78.246159"
"(804) 734-","Landline","Petersburg City","Petersburg","VA","Virginia","23803","Eastern","37.21713","-77.389253"
"(804) 647-","Cell Number","Henrico","Richmond","VA","Virginia","23285","Eastern","37.524246","-77.493157"
"(540) 302-","Landline","Roanoke City","Roanoke","VA","Virginia","24157","Eastern","37.288384","-80.067062"
"(703) 594-","Landline","Prince William","Nokesville","VA","Virginia","20182","Eastern","38.700866","-77.585708"
"(804) 421-","Landline","Richmond City","Richmond","VA","Virginia","23285","Eastern","37.524246","-77.493157"
"(276) 730-","Landline","Carroll","Hillsville","VA","Virginia","24343","Eastern","36.730347","-80.67507"
"(804) 289-","Landline","Henrico","Richmond","VA","Virginia","23285","Eastern","37.524246","-77.493157"
"(540) 296-","Landline","Bedford","Moneta","VA","Virginia","24121","Eastern","37.185024","-79.563579"
"(540) 847-","Cell Number","Fredericksburg City","Fredericksburg","VA","Virginia","22404","Eastern","38.298305","-77.489913"
"(804) 316-","Unknown","Richmond City","Richmond","VA","Virginia","23285","Eastern","37.524246","-77.493157"
"(540) 788-","Landline","Fauquier","Midland","VA","Virginia","22728","Eastern","38.602592","-77.681065"
"(757) 838-","Landline","Hampton City","Hampton","VA","Virginia","23661","Eastern","37.034746","-76.385817"
"(757) 352-","Unknown","Norfolk City","Norfolk","VA","Virginia","23502","Eastern","36.887433","-76.212909"
"(703) 939-","Cell Number","Arlington","Arlington","VA","Virginia","22201","Eastern","38.885484","-77.099113"
