"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(340) 775-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 227-","Unknown","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 642-","Cell Number","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 228-","Unknown","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 677-","Unknown","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 513-","Cell Number","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 422-","Unknown","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 778-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 201-","Unknown","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 693-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 777-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 774-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 727-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 884-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 244-","Cell Number","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 776-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 714-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 715-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 514-","Cell Number","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 690-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 643-","Cell Number","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 998-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 473-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 344-","Cell Number","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 474-","Cell Number","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 626-","Cell Number","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 770-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
"(340) 779-","Landline","Saint Thomas","Charlotte Amalie","VI","Virgin Islands","803","Atlantic","18.322285","-64.963715"
