"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(802) 766-","Landline","Orleans","Derby","VT","Vermont","5829","Eastern","44.952347","-72.218616"
"(802) 839-","Cell Number","Washington","Montpelier","VT","Vermont","5601","Eastern","44.19906","-72.559638"
"(802) 444-","Landline","Windham","Jamaica","VT","Vermont","5343","Eastern","43.012776","-72.767275"
"(802) 888-","Landline","Lamoille","Morrisville","VT","Vermont","5661","Eastern","44.560179","-72.615346"
"(802) 962-","Landline","Essex","Guildhall","VT","Vermont","5905","Eastern","44.671187","-71.662213"
"(802) 821-","Landline","Washington","Plainfield","VT","Vermont","5667","Eastern","44.283708","-72.552243"
"(802) 422-","Landline","Windsor","Bridgewater Corners","VT","Vermont","5035","Eastern","43.599795","-72.675164"
"(802) 906-","Landline","Orange","Williamstown","VT","Vermont","5679","Eastern","44.103841","-72.526916"
"(802) 779-","Landline","Rutland","Rutland","VT","Vermont","5701","Eastern","43.630346","-72.93586"
"(802) 565-","Unknown","Orange","Randolph","VT","Vermont","5060","Eastern","43.985803","-72.694098"
"(802) 438-","Landline","Rutland","Rutland","VT","Vermont","5701","Eastern","43.630346","-72.93586"
"(802) 614-","Landline","Orleans","West Charleston","VT","Vermont","5872","Eastern","44.849402","-72.03121"
"(802) 736-","Landline","Essex","Canaan","VT","Vermont","5903","Eastern","44.930787","-71.597809"
"(802) 805-","Landline","Windsor","Springfield","VT","Vermont","5156","Eastern","43.40971","-72.586064"
"(802) 367-","Landline","Bennington","Manchester Center","VT","Vermont","5255","Eastern","43.169289","-73.047358"
"(802) 285-","Landline","Franklin","East Berkshire","VT","Vermont","5447","Eastern","44.824855","-72.895849"
"(802) 606-","Landline","Essex","Lunenburg","VT","Vermont","5906","Eastern","44.680771","-71.719436"
"(802) 264-","Landline","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 455-","Landline","Orange","Williamstown","VT","Vermont","5679","Eastern","44.103841","-72.526916"
"(802) 702-","Landline","Bennington","Pownal","VT","Vermont","5261","Eastern","42.790682","-73.201254"
"(802) 243-","Landline","Orange","Newbury","VT","Vermont","5051","Eastern","44.068284","-72.118739"
"(802) 274-","Cell Number","Caledonia","Saint Johnsbury","VT","Vermont","5819","Eastern","44.426455","-72.114155"
"(802) 306-","Landline","Essex","Concord","VT","Vermont","5824","Eastern","44.581613","-71.833956"
"(802) 488-","Unknown","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 751-","Landline","Caledonia","Saint Johnsbury","VT","Vermont","5819","Eastern","44.426455","-72.114155"
"(802) 769-","Landline","Chittenden","Essex Junction","VT","Vermont","5453","Eastern","44.442117","-73.082525"
"(802) 975-","Unknown","Windsor","Ludlow","VT","Vermont","5149","Eastern","43.376744","-72.706913"
"(802) 898-","Landline","Addison","Whiting","VT","Vermont","5778","Eastern","43.893982","-73.203001"
"(802) 949-","Landline","Bennington","Pownal","VT","Vermont","5261","Eastern","42.790682","-73.201254"
"(802) 334-","Landline","Orleans","Newport","VT","Vermont","5855","Eastern","44.907921","-72.203948"
"(802) 525-","Landline","Orleans","Barton","VT","Vermont","5822","Eastern","44.73663","-72.199084"
"(802) 344-","Unknown","Windham","Saxtons River","VT","Vermont","5154","Eastern","43.164738","-72.53194"
"(802) 210-","Landline","Bennington","Arlington","VT","Vermont","5250","Eastern","43.065719","-73.134727"
"(802) 373-","Cell Number","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 394-","Landline","Bennington","West Rupert","VT","Vermont","5776","Eastern","43.026984","-73.055156"
"(802) 377-","Cell Number","Addison","Middlebury","VT","Vermont","5753","Eastern","43.991942","-73.171578"
"(802) 326-","Landline","Franklin","Richford","VT","Vermont","5476","Eastern","44.952669","-72.65435"
"(802) 846-","Landline","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 273-","Landline","Rutland","Bomoseen","VT","Vermont","5732","Eastern","43.643723","-73.209356"
"(802) 615-","Landline","Lamoille","Morrisville","VT","Vermont","5661","Eastern","44.560179","-72.615346"
"(802) 661-","Landline","Washington","Barre","VT","Vermont","5641","Eastern","44.20896","-72.607693"
"(802) 386-","Landline","Orleans","East Charleston","VT","Vermont","5833","Eastern","44.775607","-72.22641"
"(802) 591-","Unknown","Windsor","Springfield","VT","Vermont","5156","Eastern","43.40971","-72.586064"
"(802) 378-","Landline","Grand Isle","Grand Isle","VT","Vermont","5458","Eastern","44.723391","-73.303193"
"(802) 967-","Landline","Windsor","Stockbridge","VT","Vermont","5772","Eastern","43.756978","-72.730177"
"(802) 664-","Landline","Addison","New Haven","VT","Vermont","5472","Eastern","44.149509","-73.197156"
"(802) 483-","Landline","Rutland","Center Rutland","VT","Vermont","5736","Eastern","43.594106","-73.008253"
"(802) 368-","Landline","Windham","Jacksonville","VT","Vermont","5342","Eastern","42.795363","-72.817838"
"(802) 589-","Landline","Orange","Washington","VT","Vermont","5675","Eastern","44.078238","-72.426322"
"(802) 456-","Landline","Washington","East Calais","VT","Vermont","5650","Eastern","44.407044","-72.498572"
"(802) 822-","Landline","Orleans","East Charleston","VT","Vermont","5833","Eastern","44.775607","-72.22641"
"(802) 499-","Landline","Rutland","Proctor","VT","Vermont","5765","Eastern","43.601975","-73.09589"
"(802) 230-","Landline","Windsor","Windsor","VT","Vermont","5089","Eastern","43.5181","-72.418059"
"(802) 448-","Unknown","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 985-","Landline","Chittenden","Shelburne","VT","Vermont","5482","Eastern","44.42493","-73.114047"
"(802) 774-","Landline","Rutland","Rutland","VT","Vermont","5701","Eastern","43.630346","-72.93586"
"(802) 816-","Landline","Orleans","Troy","VT","Vermont","5868","Eastern","44.775607","-72.22641"
"(802) 826-","Cell Number","Washington","Montpelier","VT","Vermont","5601","Eastern","44.19906","-72.559638"
"(802) 433-","Landline","Orange","Williamstown","VT","Vermont","5679","Eastern","44.103841","-72.526916"
"(802) 619-","Landline","Orleans","Newport","VT","Vermont","5855","Eastern","44.907921","-72.203948"
"(802) 609-","Landline","Bennington","Manchester Center","VT","Vermont","5255","Eastern","43.169289","-73.047358"
"(802) 746-","Landline","Rutland","Pittsfield","VT","Vermont","5762","Eastern","43.592039","-72.818121"
"(802) 540-","Landline","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 876-","Landline","Chittenden","Essex Junction","VT","Vermont","5453","Eastern","44.442117","-73.082525"
"(802) 512-","Landline","Orleans","Craftsbury","VT","Vermont","5826","Eastern","44.641663","-72.388928"
"(802) 213-","Landline","Caledonia","Barnet","VT","Vermont","5821","Eastern","44.313675","-72.11879"
"(802) 214-","Landline","Washington","Barre","VT","Vermont","5641","Eastern","44.20896","-72.607693"
"(802) 375-","Landline","Bennington","Arlington","VT","Vermont","5250","Eastern","43.065719","-73.134727"
"(802) 350-","Cell Number","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 414-","Unknown","Rutland","Wallingford","VT","Vermont","5773","Eastern","43.477386","-73.066066"
"(802) 952-","Cell Number","Windsor","Reading","VT","Vermont","5062","Eastern","43.47559","-72.572818"
"(802) 858-","Landline","Chittenden","Underhill","VT","Vermont","5489","Eastern","44.565148","-72.907209"
"(802) 482-","Landline","Chittenden","Shelburne","VT","Vermont","5482","Eastern","44.42493","-73.114047"
"(802) 492-","Landline","Rutland","Mount Holly","VT","Vermont","5758","Eastern","43.444535","-72.802413"
"(802) 351-","Cell Number","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 891-","Landline","Chittenden","Milton","VT","Vermont","5468","Eastern","44.643418","-73.121685"
"(802) 533-","Landline","Orleans","Craftsbury","VT","Vermont","5826","Eastern","44.641663","-72.388928"
"(802) 812-","Landline","Addison","Vergennes","VT","Vermont","5491","Eastern","44.145691","-73.260487"
"(802) 497-","Unknown","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 355-","Cell Number","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 625-","Landline","Orange","Chelsea","VT","Vermont","5038","Eastern","43.994212","-72.457153"
"(802) 624-","Unknown","Orleans","Newport","VT","Vermont","5855","Eastern","44.907921","-72.203948"
"(802) 951-","Landline","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 376-","Cell Number","Windham","Bellows Falls","VT","Vermont","5101","Eastern","43.171185","-72.623106"
"(802) 723-","Landline","Orleans","East Charleston","VT","Vermont","5833","Eastern","44.775607","-72.22641"
"(802) 880-","Landline","Orleans","Derby","VT","Vermont","5829","Eastern","44.952347","-72.218616"
"(802) 263-","Landline","Windsor","Perkinsville","VT","Vermont","5151","Eastern","43.409654","-72.495851"
"(802) 961-","Cell Number","Chittenden","Essex Junction","VT","Vermont","5453","Eastern","44.442117","-73.082525"
"(802) 289-","Landline","Windham","Bellows Falls","VT","Vermont","5101","Eastern","43.171185","-72.623106"
"(802) 487-","Landline","Orleans","Newport","VT","Vermont","5855","Eastern","44.907921","-72.203948"
"(802) 301-","Landline","Rutland","Brandon","VT","Vermont","5733","Eastern","43.655139","-73.121251"
"(802) 304-","Landline","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 519-","Landline","Lamoille","Waterville","VT","Vermont","5492","Eastern","44.736083","-72.703199"
"(802) 484-","Landline","Windsor","Reading","VT","Vermont","5062","Eastern","43.47559","-72.572818"
"(802) 683-","Cell Number","Rutland","Rutland","VT","Vermont","5701","Eastern","43.630346","-72.93586"
"(802) 901-","Landline","Caledonia","West Burke","VT","Vermont","5871","Eastern","44.683041","-71.936817"
"(802) 877-","Landline","Addison","Vergennes","VT","Vermont","5491","Eastern","44.145691","-73.260487"
"(802) 223-","Landline","Washington","Montpelier","VT","Vermont","5601","Eastern","44.19906","-72.559638"
"(802) 612-","Landline","Chittenden","Milton","VT","Vermont","5468","Eastern","44.643418","-73.121685"
"(802) 618-","Landline","Windham","Newfane","VT","Vermont","5345","Eastern","43.013138","-72.678725"
"(802) 229-","Landline","Washington","Montpelier","VT","Vermont","5601","Eastern","44.19906","-72.559638"
"(802) 224-","Landline","Washington","Montpelier","VT","Vermont","5601","Eastern","44.19906","-72.559638"
"(802) 662-","Landline","Chittenden","Essex Junction","VT","Vermont","5453","Eastern","44.442117","-73.082525"
"(802) 459-","Landline","Rutland","Proctor","VT","Vermont","5765","Eastern","43.601975","-73.09589"
"(802) 238-","Cell Number","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 552-","Landline","Washington","Montpelier","VT","Vermont","5601","Eastern","44.19906","-72.559638"
"(802) 236-","Cell Number","Rutland","Rutland","VT","Vermont","5701","Eastern","43.630346","-72.93586"
"(802) 442-","Landline","Bennington","Bennington","VT","Vermont","5201","Eastern","42.934076","-73.105382"
"(802) 262-","Landline","Washington","Montpelier","VT","Vermont","5601","Eastern","44.19906","-72.559638"
"(802) 855-","Cell Number","Rutland","Rutland","VT","Vermont","5701","Eastern","43.630346","-72.93586"
"(802) 466-","Landline","Franklin","Swanton","VT","Vermont","5488","Eastern","44.902128","-72.948391"
"(802) 588-","Landline","Orange","Wells River","VT","Vermont","5081","Eastern","44.119395","-72.088869"
"(802) 553-","Landline","Caledonia","West Burke","VT","Vermont","5871","Eastern","44.683041","-71.936817"
"(802) 453-","Landline","Addison","Bristol","VT","Vermont","5443","Eastern","44.157814","-73.071813"
"(802) 647-","Landline","Orleans","Derby Line","VT","Vermont","5830","Eastern","44.97035","-72.036632"
"(802) 864-","Landline","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 467-","Landline","Caledonia","West Burke","VT","Vermont","5871","Eastern","44.683041","-71.936817"
"(802) 362-","Landline","Bennington","Manchester Center","VT","Vermont","5255","Eastern","43.169289","-73.047358"
"(802) 494-","Landline","Orleans","Craftsbury","VT","Vermont","5826","Eastern","44.641663","-72.388928"
"(802) 221-","Landline","Windham","Newfane","VT","Vermont","5345","Eastern","43.013138","-72.678725"
"(802) 451-","Landline","Windham","Brattleboro","VT","Vermont","5301","Eastern","42.884281","-72.760753"
"(802) 434-","Landline","Chittenden","Richmond","VT","Vermont","5477","Eastern","44.387289","-72.953283"
"(802) 517-","Landline","Windham","Jamaica","VT","Vermont","5343","Eastern","43.012776","-72.767275"
"(802) 327-","Landline","Orleans","North Troy","VT","Vermont","5859","Eastern","44.937769","-72.433354"
"(802) 388-","Landline","Addison","Middlebury","VT","Vermont","5753","Eastern","43.991942","-73.171578"
"(802) 556-","Unknown","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 383-","Landline","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 439-","Landline","Orange","Corinth","VT","Vermont","5039","Eastern","44.033236","-72.293631"
"(802) 660-","Landline","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 227-","Landline","Caledonia","Danville","VT","Vermont","5828","Eastern","44.437306","-72.123508"
"(802) 745-","Landline","Caledonia","Saint Johnsbury","VT","Vermont","5819","Eastern","44.426455","-72.114155"
"(802) 899-","Landline","Chittenden","Underhill","VT","Vermont","5489","Eastern","44.565148","-72.907209"
"(802) 244-","Landline","Washington","Waterbury","VT","Vermont","5671","Eastern","44.259518","-72.585018"
"(802) 369-","Cell Number","Windsor","White River Junction","VT","Vermont","5001","Eastern","43.591821","-72.463589"
"(802) 873-","Landline","Orleans","Derby Line","VT","Vermont","5830","Eastern","44.97035","-72.036632"
"(802) 895-","Landline","Orleans","West Charleston","VT","Vermont","5872","Eastern","44.849402","-72.03121"
"(802) 231-","Cell Number","Bennington","Dorset","VT","Vermont","5251","Eastern","43.261817","-73.139173"
"(802) 870-","Landline","Addison","Vergennes","VT","Vermont","5491","Eastern","44.145691","-73.260487"
"(802) 267-","Landline","Rutland","Proctor","VT","Vermont","5765","Eastern","43.601975","-73.09589"
"(802) 616-","Landline","Orange","Newbury","VT","Vermont","5051","Eastern","44.068284","-72.118739"
"(802) 688-","Cell Number","Bennington","Manchester Center","VT","Vermont","5255","Eastern","43.169289","-73.047358"
"(802) 773-","Landline","Rutland","Rutland","VT","Vermont","5701","Eastern","43.630346","-72.93586"
"(802) 526-","Landline","Windsor","Norwich","VT","Vermont","5055","Eastern","43.717918","-72.3612"
"(802) 722-","Landline","Windham","Westminster","VT","Vermont","5158","Eastern","43.082635","-72.474882"
"(802) 847-","Landline","Chittenden","Burlington","VT","Vermont","5402","Eastern","44.442117","-73.082525"
"(802) 441-","Landline","Lamoille","Wolcott","VT","Vermont","5680","Eastern","44.539539","-72.487589"
"(802) 295-","Landline","Windsor","White River Junction","VT","Vermont","5001","Eastern","43.591821","-72.463589"
"(802) 290-","Cell Number","Windsor","White River Junction","VT","Vermont","5001","Eastern","43.591821","-72.463589"
"(802) 724-","Landline","Bennington","Dorset","VT","Vermont","5251","Eastern","43.261817","-73.139173"
"(802) 775-","Landline","Rutland","Rutland","VT","Vermont","5701","Eastern","43.630346","-72.93586"
"(802) 778-","Landline","Washington","Montpelier","VT","Vermont","5601","Eastern","44.19906","-72.559638"
"(802) 275-","Landline","Windham","Brattleboro","VT","Vermont","5301","Eastern","42.884281","-72.760753"
"(802) 219-","Landline","Essex","Guildhall","VT","Vermont","5905","Eastern","44.671187","-71.662213"
"(802) 767-","Landline","Windsor","Stockbridge","VT","Vermont","5772","Eastern","43.756978","-72.730177"
"(802) 463-","Landline","Windham","Bellows Falls","VT","Vermont","5101","Eastern","43.171185","-72.623106"
"(802) 235-","Landline","Rutland","Middletown Springs","VT","Vermont","5757","Eastern","43.478301","-73.060391"
"(802) 294-","Landline","Rutland","Wells","VT","Vermont","5774","Eastern","43.429363","-73.161826"
"(802) 312-","Landline","Caledonia","Danville","VT","Vermont","5828","Eastern","44.437306","-72.123508"
