"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(509) 698-","Landline","Yakima","Selah","WA","Washington","98942","Pacific","46.544316","-120.396038"
"(360) 820-","Cell Number","Whatcom","Lynden","WA","Washington","98264","Pacific","48.932328","-122.436249"
"(253) 343-","Unknown","Pierce","Tacoma","WA","Washington","98412","Pacific","47.066193","-122.113223"
"(206) 738-","Cell Number","King","Seattle","WA","Washington","98117","Pacific","47.432251","-121.803388"
"(425) 894-","Cell Number","King","Bellevue","WA","Washington","98009","Pacific","47.432251","-121.803388"
"(509) 995-","Cell Number","Spokane","Spokane","WA","Washington","99260","Pacific","47.653568","-117.431742"
"(360) 629-","Landline","Snohomish","Marysville","WA","Washington","98270","Pacific","48.049576","-122.161951"
"(206) 332-","Landline","King","Seattle","WA","Washington","98117","Pacific","47.432251","-121.803388"
"(206) 357-","Landline","King","Seattle","WA","Washington","98117","Pacific","47.432251","-121.803388"
"(509) 302-","Cell Number","Franklin","Pasco","WA","Washington","99301","Pacific","46.42066","-118.899447"
"(360) 752-","Landline","Whatcom","Bellingham","WA","Washington","98226","Pacific","48.768396","-122.486483"
"(253) 852-","Landline","King","Kent","WA","Washington","98031","Pacific","47.379972","-122.16538"
"(509) 622-","Landline","Spokane","Spokane","WA","Washington","99260","Pacific","47.653568","-117.431742"
"(253) 351-","Landline","King","Auburn","WA","Washington","98001","Pacific","47.465495","-121.821908"
"(509) 368-","Landline","Spokane","Spokane","WA","Washington","99260","Pacific","47.653568","-117.431742"
"(253) 886-","Landline","King","Auburn","WA","Washington","98001","Pacific","47.465495","-121.821908"
"(425) 918-","Landline","Snohomish","Lynnwood","WA","Washington","98046","Pacific","48.037258","-121.682271"
"(206) 275-","Landline","King","Seattle","WA","Washington","98117","Pacific","47.432251","-121.803388"
"(206) 993-","Landline","King","Seattle","WA","Washington","98117","Pacific","47.432251","-121.803388"
"(206) 550-","Cell Number","King","Seattle","WA","Washington","98117","Pacific","47.432251","-121.803388"
"(425) 308-","Cell Number","Snohomish","Everett","WA","Washington","98208","Pacific","47.897284","-122.190392"
"(360) 570-","Landline","Thurston","Olympia","WA","Washington","98599","Pacific","46.978118","-122.702393"
"(509) 590-","Landline","Spokane","Spokane","WA","Washington","99260","Pacific","47.653568","-117.431742"
"(360) 367-","Cell Number","King","Enumclaw","WA","Washington","98022","Pacific","47.234107","-121.903936"
"(206) 686-","Landline","King","Seattle","WA","Washington","98117","Pacific","47.432251","-121.803388"
"(360) 419-","Landline","Skagit","Mount Vernon","WA","Washington","98273","Pacific","48.435248","-122.208184"
"(509) 312-","Cell Number","Kittitas","Ellensburg","WA","Washington","98926","Pacific","47.028084","-120.48998"
"(206) 225-","Landline","Kitsap","Seattle","WA","Washington","98117","Pacific","47.432251","-121.803388"
"(360) 581-","Cell Number","Grays Harbor","Aberdeen","WA","Washington","98520","Pacific","47.002735","-123.67129"
"(360) 272-","Landline","King","Enumclaw","WA","Washington","98022","Pacific","47.234107","-121.903936"
"(360) 552-","Landline","Mason","Belfair","WA","Washington","98528","Pacific","47.432465","-122.928877"
"(360) 692-","Landline","Kitsap","Silverdale","WA","Washington","98315","Pacific","47.690048","-122.712678"
"(509) 694-","Landline","Spokane","Spokane","WA","Washington","99260","Pacific","47.653568","-117.431742"
"(360) 606-","Cell Number","Clark","Vancouver","WA","Washington","98665","Pacific","45.689187","-122.661608"
"(253) 277-","Landline","King","Kent","WA","Washington","98031","Pacific","47.379972","-122.16538"
"(360) 486-","Landline","Thurston","Olympia","WA","Washington","98599","Pacific","46.978118","-122.702393"
"(509) 478-","Landline","Whitman","Thornton","WA","Washington","99176","Pacific","47.12196","-117.433708"
"(253) 929-","Landline","King","Auburn","WA","Washington","98001","Pacific","47.465495","-121.821908"
"(425) 348-","Landline","Snohomish","Everett","WA","Washington","98208","Pacific","47.897284","-122.190392"
"(360) 471-","Cell Number","Kitsap","Bremerton","WA","Washington","98310","Pacific","47.606478","-122.634712"
"(509) 275-","Landline","Spokane","Spokane","WA","Washington","99260","Pacific","47.653568","-117.431742"
"(253) 309-","Cell Number","Pierce","Tacoma","WA","Washington","98412","Pacific","47.066193","-122.113223"
"(360) 747-","Cell Number","Cowlitz","Longview","WA","Washington","98632","Pacific","46.181872","-123.057597"
"(360) 504-","Landline","Clallam","Port Angeles","WA","Washington","98363","Pacific","48.055733","-123.91784"
"(206) 666-","Landline","King","Seattle","WA","Washington","98117","Pacific","47.432251","-121.803388"
"(253) 234-","Landline","King","Kent","WA","Washington","98031","Pacific","47.379972","-122.16538"
"(425) 828-","Landline","King","Kirkland","WA","Washington","98083","Pacific","47.432251","-121.803388"
"(509) 575-","Landline","Yakima","Yakima","WA","Washington","98909","Pacific","46.637538","-120.794978"
"(425) 422-","Cell Number","Snohomish","Everett","WA","Washington","98208","Pacific","47.897284","-122.190392"
"(360) 944-","Landline","Clark","Vancouver","WA","Washington","98665","Pacific","45.689187","-122.661608"
"(509) 334-","Landline","Whitman","Pullman","WA","Washington","99164","Pacific","46.838747","-117.644337"
"(206) 953-","Cell Number","King","Seattle","WA","Washington","98117","Pacific","47.432251","-121.803388"
"(509) 362-","Cell Number","Spokane","Deer Park","WA","Washington","99006","Pacific","47.73874","-117.442395"
"(360) 740-","Landline","Lewis","Chehalis","WA","Washington","98532","Pacific","46.615653","-123.024845"
"(509) 844-","Landline","Spokane","Spokane","WA","Washington","99260","Pacific","47.653568","-117.431742"
"(509) 201-","Cell Number","Kittitas","Ellensburg","WA","Washington","98926","Pacific","47.028084","-120.48998"
"(425) 395-","Landline","King","Issaquah","WA","Washington","98027","Pacific","47.497419","-122.010699"
"(509) 210-","Landline","Spokane","Liberty Lake","WA","Washington","99019","Pacific","47.651635","-117.085845"
"(360) 903-","Cell Number","Clark","Vancouver","WA","Washington","98665","Pacific","45.689187","-122.661608"
"(360) 720-","Cell Number","Island","Oak Harbor","WA","Washington","98277","Pacific","48.319858","-122.629353"
"(253) 268-","Landline","Pierce","Puyallup","WA","Washington","98371","Pacific","47.212822","-122.317148"
"(253) 948-","Landline","Pierce","Tacoma","WA","Washington","98412","Pacific","47.066193","-122.113223"
"(206) 318-","Landline","King","Seattle","WA","Washington","98117","Pacific","47.432251","-121.803388"
"(509) 924-","Landline","Spokane","Spokane","WA","Washington","99260","Pacific","47.653568","-117.431742"
"(425) 266-","Landline","Snohomish","Everett","WA","Washington","98208","Pacific","47.897284","-122.190392"
"(253) 229-","Cell Number","Pierce","Tacoma","WA","Washington","98412","Pacific","47.066193","-122.113223"
"(509) 757-","Landline","Spokane","Spokane","WA","Washington","99260","Pacific","47.653568","-117.431742"
