"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(608) 249-","Landline","Dane","Madison","WI","Wisconsin","53785","Central","43.06956","-89.423861"
"(920) 202-","Cell Number","Outagamie","Appleton","WI","Wisconsin","54911","Central","44.275702","-88.370856"
"(715) 912-","Landline","Eau Claire","Eau Claire","WI","Wisconsin","54703","Central","44.80456","-91.477897"
"(608) 705-","Unknown","Green","Browntown","WI","Wisconsin","53522","Central","42.563199","-89.778793"
"(920) 740-","Cell Number","Outagamie","Appleton","WI","Wisconsin","54911","Central","44.275702","-88.370856"
"(608) 328-","Landline","Green","Monroe","WI","Wisconsin","53566","Central","42.612966","-89.656994"
"(608) 447-","Unknown","Rock","Janesville","WI","Wisconsin","53545","Central","42.710981","-89.112201"
"(262) 654-","Landline","Kenosha","Kenosha","WI","Wisconsin","53144","Central","42.618427","-87.948079"
"(262) 335-","Landline","Washington","West Bend","WI","Wisconsin","53095","Central","43.422223","-88.195862"
"(920) 305-","Cell Number","Kewaunee","Kewaunee","WI","Wisconsin","54216","Central","44.438185","-87.592719"
"(262) 662-","Landline","Waukesha","Big Bend","WI","Wisconsin","53103","Central","42.882441","-88.205514"
"(262) 706-","Landline","Waukesha","Big Bend","WI","Wisconsin","53103","Central","42.882441","-88.205514"
"(920) 245-","Landline","Dodge","Watertown","WI","Wisconsin","53098","Central","43.276444","-88.715408"
"(920) 347-","Landline","Brown","De Pere","WI","Wisconsin","54115","Central","44.453629","-87.978279"
"(608) 356-","Landline","Sauk","Baraboo","WI","Wisconsin","53913","Central","43.446602","-89.863957"
"(414) 908-","Landline","Milwaukee","Milwaukee","WI","Wisconsin","53225","Central","43.115159","-88.040188"
"(920) 799-","Landline","Fond Du Lac","Malone","WI","Wisconsin","53049","Central","43.875302","-88.287108"
"(920) 710-","Unknown","Outagamie","Hortonville","WI","Wisconsin","54944","Central","44.342058","-88.588244"
"(920) 657-","Landline","Manitowoc","Two Rivers","WI","Wisconsin","54241","Central","44.225538","-87.627759"
"(262) 846-","Landline","Kenosha","Salem","WI","Wisconsin","53168","Central","42.574598","-88.137535"
"(262) 548-","Landline","Waukesha","Waukesha","WI","Wisconsin","53187","Central","43.018696","-88.302997"
"(920) 220-","Cell Number","Jefferson","Johnson Creek","WI","Wisconsin","53038","Central","43.092348","-88.743276"
"(262) 953-","Landline","Waukesha","Waukesha","WI","Wisconsin","53187","Central","43.018696","-88.302997"
"(414) 651-","Cell Number","Milwaukee","Milwaukee","WI","Wisconsin","53225","Central","43.115159","-88.040188"
"(920) 283-","Cell Number","Sheboygan","Sheboygan","WI","Wisconsin","53083","Central","43.775428","-87.860803"
"(414) 502-","Unknown","Milwaukee","Milwaukee","WI","Wisconsin","53225","Central","43.115159","-88.040188"
"(715) 846-","Cell Number","Marathon","Wausau","WI","Wisconsin","54403","Central","44.952863","-89.531804"
"(715) 696-","Landline","Florence","Florence","WI","Wisconsin","54121","Central","45.845525","-88.284254"
"(920) 692-","Cell Number","Milwaukee","Manawa","WI","Wisconsin","54949","Central","44.488057","-88.926954"
"(262) 613-","Cell Number","Waukesha","Waukesha","WI","Wisconsin","53187","Central","43.018696","-88.302997"
"(262) 470-","Cell Number","Waukesha","North Prairie","WI","Wisconsin","53153","Central","42.940971","-88.401712"
"(608) 261-","Landline","Dane","Madison","WI","Wisconsin","53785","Central","43.06956","-89.423861"
