"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(304) 516-","Cell Number","Upshur","Buckhannon","WV","West Virginia","26201","Eastern","38.975479","-80.240664"
"(304) 385-","Landline","Wayne","Dunlow","WV","West Virginia","25511","Eastern","38.132114","-82.418277"
"(304) 717-","Unknown","Greenbrier","Rupert","WV","West Virginia","25984","Eastern","37.968468","-80.669597"
"(304) 896-","Landline","Logan","Logan","WV","West Virginia","25601","Eastern","37.865036","-82.025158"
"(304) 965-","Landline","Kanawha","Elkview","WV","West Virginia","25071","Eastern","38.386942","-81.450424"
"(304) 722-","Landline","Kanawha","Saint Albans","WV","West Virginia","25177","Eastern","38.31461","-81.636926"
"(304) 231-","Landline","Ohio","Wheeling","WV","West Virginia","26003","Eastern","40.102703","-80.647599"
"(304) 536-","Landline","Greenbrier","White Sulphur Springs","WV","West Virginia","24986","Eastern","37.782726","-80.312877"
"(304) 478-","Landline","Tucker","Parsons","WV","West Virginia","26287","Eastern","39.096016","-79.678724"
"(304) 735-","Landline","Preston","Eglon","WV","West Virginia","26716","Eastern","39.458091","-79.688154"
"(304) 927-","Landline","Roane","Spencer","WV","West Virginia","25276","Eastern","38.777675","-81.364262"
"(304) 321-","Landline","Pendleton","Franklin","WV","West Virginia","26807","Eastern","38.648787","-79.327196"
"(304) 761-","Cell Number","Jackson","Ripley","WV","West Virginia","25271","Eastern","38.791845","-81.728065"
"(304) 817-","Landline","Mercer","Bluefield","WV","West Virginia","24701","Eastern","37.332725","-81.160066"
"(304) 742-","Landline","Nicholas","Craigsville","WV","West Virginia","26205","Eastern","38.329918","-80.645376"
"(304) 603-","Landline","Preston","Tunnelton","WV","West Virginia","26444","Eastern","39.458091","-79.688154"
"(304) 412-","Cell Number","Cabell","Huntington","WV","West Virginia","25774","Eastern","38.413384","-82.277401"
"(304) 427-","Cell Number","Monongalia","Morgantown","WV","West Virginia","26508","Eastern","39.595329","-79.922871"
"(304) 888-","Cell Number","Mercer","Bluefield","WV","West Virginia","24701","Eastern","37.332725","-81.160066"
