"Prefix","Usage","County","City","ShortState","LongState","Zip","Timezone","Latitude","Longitude"
"(307) 278-","Landline","Johnson","Buffalo","WY","Wyoming","82834","Mountain","44.122611","-106.561068"
"(307) 765-","Landline","Big Horn","Greybull","WY","Wyoming","82426","Mountain","44.477394","-108.130553"
"(307) 259-","Cell Number","Natrona","Casper","WY","Wyoming","82605","Mountain","42.966192","-106.807047"
"(307) 473-","Landline","Carbon","Casper","WY","Wyoming","82605","Mountain","42.966192","-106.807047"
"(307) 203-","Cell Number","Teton","Jackson","WY","Wyoming","83002","Mountain","43.50537","-110.786527"
"(307) 758-","Landline","Sheridan","Clearmont","WY","Wyoming","82835","Mountain","44.770346","-106.425278"
"(307) 854-","Unknown","Fremont","Riverton","WY","Wyoming","82501","Mountain","43.180647","-108.925734"
"(307) 437-","Landline","Natrona","Midwest","WY","Wyoming","82643","Mountain","43.405584","-106.278264"
"(307) 787-","Landline","Uinta","Lyman","WY","Wyoming","82937","Mountain","41.331817","-110.303367"
"(307) 685-","Landline","Campbell","Gillette","WY","Wyoming","82716","Mountain","44.377283","-105.550237"
"(307) 790-","Cell Number","Crook","Sundance","WY","Wyoming","82729","Mountain","44.352274","-104.420625"
"(307) 721-","Landline","Albany","Laramie","WY","Wyoming","82073","Mountain","41.307065","-105.624667"
"(307) 386-","Landline","Lincoln","La Barge","WY","Wyoming","83123","Mountain","42.206598","-110.286804"
"(307) 752-","Cell Number","Sheridan","Sheridan","WY","Wyoming","82801","Mountain","44.780378","-106.837563"
"(307) 744-","Cell Number","Weston","Newcastle","WY","Wyoming","82701","Mountain","43.8397","-104.567814"
"(307) 754-","Landline","Park","Powell","WY","Wyoming","82435","Mountain","44.615962","-108.948914"
"(307) 422-","Landline","Platte","Chugwater","WY","Wyoming","82210","Mountain","41.74064","-104.871308"
"(307) 977-","Cell Number","Albany","Laramie","WY","Wyoming","82073","Mountain","41.307065","-105.624667"
"(307) 282-","Cell Number","Crook","Sundance","WY","Wyoming","82729","Mountain","44.352274","-104.420625"
"(307) 309-","Unknown","Converse","Glenrock","WY","Wyoming","82637","Mountain","42.780251","-105.871922"
"(307) 526-","Landline","Fremont","Lander","WY","Wyoming","82520","Mountain","42.920832","-108.591264"
"(307) 797-","Cell Number","Natrona","Casper","WY","Wyoming","82605","Mountain","42.966192","-106.807047"
"(307) 255-","Cell Number","Uinta","Evanston","WY","Wyoming","82930","Mountain","41.233758","-110.664401"
"(307) 649-","Landline","Laramie","Carpenter","WY","Wyoming","82054","Mountain","41.097376","-104.356347"
"(307) 622-","Unknown","Campbell","Gillette","WY","Wyoming","82716","Mountain","44.377283","-105.550237"
"(307) 834-","Landline","Laramie","Meriden","WY","Wyoming","82081","Mountain","41.513944","-104.441122"
"(307) 660-","Cell Number","Campbell","Gillette","WY","Wyoming","82716","Mountain","44.377283","-105.550237"
"(307) 939-","Landline","Campbell","Gillette","WY","Wyoming","82716","Mountain","44.377283","-105.550237"
"(307) 699-","Cell Number","Teton","Jackson","WY","Wyoming","83002","Mountain","43.50537","-110.786527"
"(307) 886-","Landline","Lincoln","Afton","WY","Wyoming","83110","Mountain","42.711296","-110.619734"
"(307) 730-","Cell Number","Teton","Jackson","WY","Wyoming","83002","Mountain","43.50537","-110.786527"
"(307) 426-","Unknown","Laramie","Cheyenne","WY","Wyoming","82001","Mountain","41.25173","-104.56264"
"(307) 708-","Cell Number","Uinta","Evanston","WY","Wyoming","82930","Mountain","41.233758","-110.664401"
"(307) 340-","Cell Number","Niobrara","Manville","WY","Wyoming","82227","Mountain","42.73001","-104.702397"
"(307) 723-","Cell Number","Lincoln","Kemmerer","WY","Wyoming","83101","Mountain","42.368433","-110.514132"
"(307) 401-","Cell Number","Goshen","Torrington","WY","Wyoming","82240","Mountain","42.072314","-104.187474"
"(307) 431-","Cell Number","Washakie","Worland","WY","Wyoming","82401","Mountain","44.008105","-108.141457"
"(307) 703-","Cell Number","Albany","Laramie","WY","Wyoming","82073","Mountain","41.307065","-105.624667"
"(307) 738-","Landline","Johnson","Kaycee","WY","Wyoming","82639","Mountain","43.720933","-106.541709"
"(307) 529-","Unknown","Laramie","Cheyenne","WY","Wyoming","82001","Mountain","41.25173","-104.56264"
"(307) 779-","Cell Number","Platte","Wheatland","WY","Wyoming","82201","Mountain","42.013984","-104.967405"
"(307) 715-","Cell Number","Goshen","Torrington","WY","Wyoming","82240","Mountain","42.072314","-104.187474"
"(307) 354-","Cell Number","Sweetwater","Rock Springs","WY","Wyoming","82901","Mountain","41.634515","-109.149045"
"(307) 440-","Unknown","Big Horn","Basin","WY","Wyoming","82410","Mountain","44.346935","-108.165824"
"(307) 281-","Cell Number","Crook","Sundance","WY","Wyoming","82729","Mountain","44.352274","-104.420625"
"(307) 472-","Landline","Carbon","Casper","WY","Wyoming","82605","Mountain","42.966192","-106.807047"
"(307) 469-","Landline","Big Horn","Hyattville","WY","Wyoming","82428","Mountain","44.217942","-107.681792"
"(307) 238-","Landline","Lincoln","Afton","WY","Wyoming","83110","Mountain","42.711296","-110.619734"
"(307) 871-","Cell Number","Sweetwater","Green River","WY","Wyoming","82935","Mountain","41.51437","-109.427616"
"(307) 710-","Cell Number","Carbon","Rawlins","WY","Wyoming","82301","Mountain","41.538075","-106.921959"
"(307) 768-","Landline","Sweetwater","Rock Springs","WY","Wyoming","82901","Mountain","41.634515","-109.149045"
"(307) 749-","Cell Number","Sublette","Pinedale","WY","Wyoming","82941","Mountain","42.849757","-109.938968"
"(307) 761-","Cell Number","Albany","Laramie","WY","Wyoming","82073","Mountain","41.307065","-105.624667"
"(307) 739-","Landline","Teton","Jackson","WY","Wyoming","83002","Mountain","43.50537","-110.786527"
"(307) 884-","Cell Number","Lincoln","Afton","WY","Wyoming","83110","Mountain","42.711296","-110.619734"
"(307) 731-","Cell Number","Big Horn","Lovell","WY","Wyoming","82431","Mountain","44.584242","-108.264522"
"(307) 332-","Landline","Fremont","Lander","WY","Wyoming","82520","Mountain","42.920832","-108.591264"
"(307) 717-","Cell Number","Converse","Douglas","WY","Wyoming","82633","Mountain","42.894084","-105.389691"
